day,colony,intruder,intruder_CODE,code,order,treatment,wood,behaviour,size,count,dur_total,dur_mean,proportion,size,difference,inbred,shared_GP,Notes,Parent_colony_1,Parent_colony_2,Intruder_parent_colony_1,Intruder_parent_colony_2
monday,C134,C395,3706,4841,10,1,S,Allogrooming,0,39.247,9.812,7.603,26.2,0.882352941,-0.133333333,1,0,,RW2,RW2,JEB2,CEB5
monday,C94,C307,6377,5468,2,1,D,Allogrooming,-1,4.743,4.743,NA,3.2,0.675,-0.433333333,1,0,,RW1,RW1,H6,H50
monday,C307,C94,5468,6377,2,1,D,Allogrooming,1,18.501,6.167,6.144,12.3,0.888888889,0.133333333,0,0,,H6,H50,RW1,RW1
monday,C42,C42,6394,6394,10,0,C,Allogrooming,0,22.746,4.549,4.337,15.2,0.96,0.266666667,0,C,,RW4,RW5,RW4,RW5
monday,C37,C37,6820,6820,10,0,C,Allogrooming,0,0,0,NA,0,1.058823529,0.066666667,NA,C,,RW5,NA,RW5,NA
monday,C106,C113,(0)3055,7106,4,1,D,Allogrooming,-1,109.584,12.176,9.128,73.1,0.677419355,0.333333333,1,0,,Col 1,Col 1,RW2,RW2
monday,C358,C82,1447,7647,5,1,D,Allogrooming,0,17.248,17.248,NA,11.5,0.9375,0.1,1,0,,CEB9,CEB9,RW1,RW1
monday,C409,C409,8259,8259,1,0,C,Allogrooming,0,0,0,NA,0,0.888888889,-0.1,1,C,,CEB5,CEB5,CEB5,CEB5
monday,C348,C355,1591,8721,8,1,S,Allogrooming,0,0,0,NA,0,0.909090909,-0.1,1,1,Check CBE/CEB,CEB9,CEB9,H2,CBE9
monday,C93,C93,9123,9123,10,0,C,Allogrooming,0,0,0,NA,0,0.87804878,-0.1,1,C,,RW2,RW2,RW2,RW2
monday,C2,C2,9560,9560,9,0,C,Allogrooming,0,0,0,NA,0,0.923076923,0.1,NA,C,,NA,NA,NA,NA
monday,C104,C79,1453,9599,6,1,S,Allogrooming,0,0,0,NA,0,1.090909091,0.066666667,1,0,,JNK,JNK,RW1,RW1
monday,C217,C108,1305,9603,3,1,D,Allogrooming,0,0,0,NA,0,1.08,-0.033333333,1,0,,CEB5,CEB5,Col 1,Col 1
monday,C113,C106,7106,(0)3055,4,1,D,Allogrooming,0,0,0,0,0,0.970588235,-0.233333333,1,0,,RW2,RW2,Col 1,Col 1
