# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1438233811
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_noinbred_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-125.827,0.992664,0.0568574,6,63,0,150.697,-0.44284,0.132357,-0.239143,0.176522,0.582772,-1.91276,-0.199032,0.339689,-1.46902,0.519117,0.0183223,-0.447877,-1.03335,0.70468,-1.16271,-0.159636,1.05707,0.143617,-0.096049,1.78606,-0.231508,-0.498568,-0.453119,0.150592,-0.212746,-0.694138,0.457355,0.46346,-0.297884,0.285965,-0.43962,0.755102,0.883307,-0.535288,0.130856,0.00426379,1.36246,-0.628178,0.492392,-1.59165,0.966483,-0.11535,0.352576,0.726827,0.413822,0.610572,-0.688406,-0.11327,0.844612,0.556159,-0.61642,-0.236961,0.424138,-0.442508,0.500768,-0.517193,-0.70294,-1.06532,0.298062,0.347592,0.0931552,-0.784086,-1.32791,0.452615,0.194217,0.345906,-0.347564,-1.55417,-0.602435,0.959803,2.01017,-1.84247,0.322338,0.472818,0.974659,-1.25353,0.565109,1.50547,-1.51724,1.43279,1.1125,-0.965441,-0.698932,0.481524,-2.34632,0.0503175,-0.208479,0.431661,0.994485,-1.469,0.639225,-0.50326,0.218628,0.0805744,1.37978,0.577642,1.35278,1.04623,1.46884,0.110964,-0.269893,0.512564,0.0601379,-0.382492,1.49063,0.572145,-0.911438,1.56796,-0.410018,-0.447549,-1.27161,0.769181,-5.80517,-7.56924,-0.922026,-4.10142,0.523305,-1.70584,0.0963484,0.0123357,-1.06311,1.04213,-1.02384,0.0468477,-0.976556,-1.3497,-1.01774,0.258599,0.166316,-0.265859,-0.528305,1.88707,-0.0711124,-0.336321,-0.275308,0.281022,0.00389063,-0.6581,-0.153681,-0.464724,-1.18937,0.544858,-0.256891,1.18076,1.17782,-0.478656,-2.19632,0.00426379,1.50224,-0.473898,-0.412316,-2.35784,1.44641,-0.312522,0.690901,0.471663,-0.144489,0.908081,-1.27474,-0.45149,0.844612,-0.963022,-4.73814,-0.236961,-3.6115,1.32297,2.34579,-1.19141
-128.32,0.990347,0.0568574,6,63,0,158.347,-0.628776,0.474097,0.0233959,0.891549,0.71949,0.610639,-0.53659,0.710589,-0.824779,-1.87433,0.384415,-0.328875,0.550968,1.38834,0.0263132,-1.06765,1.65987,-0.127555,-0.234139,1.5893,-0.0262774,-0.481764,-0.0280753,-0.492246,-0.922763,-0.057078,0.196606,0.376771,0.0726481,-0.774664,-0.123445,-1.34196,-1.31556,0.837245,-0.161043,0.00774083,-1.65145,0.0301856,-0.181471,1.15963,-1.21763,0.534991,-0.44847,-0.187438,-0.537056,-0.408241,0.332292,-0.099753,-0.993224,0.321453,-0.81124,0.233171,0.402183,-2.99024,-1.31217,0.340096,-0.461783,0.245886,-0.136702,-6.10244,-0.126778,0.267584,1.98976,0.150454,-0.768769,-1.06817,-0.512583,0.541626,0.220231,-0.475809,-1.37988,0.479663,-0.877945,-0.557017,-0.781232,2.28901,0.474419,-1.64866,0.541838,1.73927,2.76676,-0.383336,1.37001,0.734389,-0.246855,0.810234,0.288065,-0.849865,1.32903,0.129147,0.187421,0.225562,0.781764,1.50083,-0.873858,1.5408,0.436692,-0.984137,0.153364,-1.34009,0.23439,-1.31616,1.57837,1.95435,0.575361,0.676034,-0.491581,0.265586,-1.44046,0.934804,1.40446,-2.03313,3.73763,2.86372,-2.47879,13.2492,5.3904,3.26742,-0.459099,3.32521,0.682608,-1.85844,-1.7558,0.248931,0.99731,1.41178,0.727317,-0.480121,1.95246,-1.61279,-1.84602,2.72681,1.08959,-0.430559,0.385104,-0.189014,-0.360675,0.527034,0.296236,1.91118,-3.76024,-0.746887,0.228829,-1.32848,-1.30577,1.79308,-4.35997,0.00774083,-1.64478,0.192531,-0.142801,1.26422,-1.15249,0.582976,-0.404836,-0.127502,-0.753784,-0.386655,0.225388,-0.055539,-0.993224,0.704849,0.257361,0.233171,8.47152,-0.858377,-1.47441,11.4567
-135.661,0.925736,0.0568574,6,63,0,159.42,0.584224,1.34229,-0.215915,-0.873432,-0.551156,-1.26413,0.206569,0.0592864,0.248646,1.72313,0.362423,-0.392709,-0.594236,-0.935915,-0.438191,1.06887,-0.348917,0.395312,0.469169,-0.716446,0.728661,0.413614,-0.287458,0.557248,0.63974,-0.107671,0.534946,0.0215241,0.115316,0.747663,-0.272181,1.37234,1.24862,-0.948646,0.538354,0.0210684,1.56778,0.0656947,0.869068,-0.371592,0.0604698,-0.324227,-0.393689,0.231594,-0.0424541,-0.199556,-0.460149,0.255929,1.03676,0.0597095,-1.12221,-0.205714,-1.29587,-0.237107,1.03739,-2.02842,-0.53216,2.31565,-0.084833,1.25553,0.306604,-0.38951,1.07477,0.654842,0.363865,-0.671827,-0.0987191,-0.227757,-0.921666,-1.17988,0.675931,-1.20733,-1.17583,-0.449542,-1.50049,-0.225186,1.17229,-0.225251,0.395778,0.554728,0.385777,1.17814,-1.44021,-0.107566,-2.52108,-0.189917,-2.22106,-0.564653,-0.603603,-0.475947,-2.14129,0.245621,-0.0279849,0.633255,-0.706521,-0.319988,0.152092,-1.92901,0.261708,-1.27006,-0.00305293,-1.27279,0.709882,1.342,-0.176626,-0.802712,0.326954,0.58993,0.41354,-1.21303,-1.37666,-1.18877,0.0735064,2.00975,-0.476673,-4.37217,-0.557089,-1.25984,0.21005,0.053418,0.257002,1.73116,0.365748,-0.383388,-0.591341,-0.970498,-0.433515,1.07312,-0.349092,0.399268,0.472955,-0.714409,0.730416,0.416798,-0.282816,0.556277,0.643859,-0.0994726,0.515886,0.0139683,0.122031,0.750901,-0.267536,1.37583,1.25169,-0.949038,0.510713,0.0210684,1.56351,0.0701146,0.794854,-0.475774,0.118133,-0.361076,-0.356251,0.250354,-0.0114348,-0.168688,-0.430811,0.26386,1.03676,-0.250926,-0.818991,-0.205714,-0.691414,-0.25718,1.46301,-6.21962
-151.07,0.994208,0.0568574,6,63,0,168.628,0.449797,1.26507,-0.135247,-0.864769,-1.1577,-0.0710016,0.329976,-2.18118,-0.315972,1.28628,-0.169178,-1.11159,-0.980466,0.656991,-0.718269,-1.23644,-0.165276,-1.24315,1.41107,1.70853,0.504165,0.891806,0.482783,0.123467,0.379019,0.286488,0.976506,2.27007,1.1636,-1.18977,2.61017,-1.29086,-1.08984,-0.179171,1.05984,-1.1074,-0.403918,2.56593,0.677062,0.393978,-0.16439,0.44138,-0.462475,0.26425,0.878227,-1.10224,-0.223338,1.56992,0.3568,0.218768,-0.814013,1.87357,0.621331,0.372014,0.0512567,-1.039,2.31085,2.82393,-0.101211,-4.51345,-0.543246,-1.17385,0.289004,-0.506315,0.375377,1.99196,0.422773,-0.316019,-0.602482,-1.08352,-0.380727,1.28753,-0.343877,0.444379,0.610148,-0.427484,0.843825,0.539106,-0.139103,0.595388,0.769955,0.0616959,0.347769,0.287438,0.254362,0.801473,0.0200219,1.44349,1.17104,-0.991736,0.493818,-0.165319,1.66802,0.207135,0.270539,-0.882543,0.64247,-0.39491,-0.00248105,0.563678,0.22623,0.0127598,-0.2369,0.538467,1.08035,0.396171,-0.261796,0.0553347,0.656012,1.6166,1.42688,-1.52028,3.33572,3.36658,0.326097,-7.00382,-1.26484,0.115323,0.479077,-3.17837,0.00983321,1.68691,-0.0364985,-0.69679,-0.922743,0.137687,-0.496391,-1.11201,-0.20815,-1.12244,1.62949,1.89584,0.566944,1.01074,0.699749,0.0591185,0.591311,0.696,0.726184,2.54769,1.54652,-1.14002,2.84108,-1.22304,-1.05046,-0.226623,0.629232,-1.1074,-0.604642,2.8866,-0.174262,0.279813,0.395182,0.51726,-0.0172554,0.556767,1.3468,-0.823384,0.019121,1.72753,0.3568,0.414453,0.205781,1.87357,4.1284,0.843478,-0.734723,6.22465
-152.383,0.998729,0.0568574,6,63,0,185.777,0.149399,0.427051,-0.603224,-0.500228,0.370937,-0.152127,0.353495,-1.65316,-0.83912,1.26676,1.75345,-1.0558,-2.42671,-1.20559,-0.141326,0.757695,-1.02295,1.40485,-1.18063,-0.772221,-0.382272,-0.889372,0.527029,-1.57975,-1.49631,0.795557,0.380597,-1.28705,0.430541,-0.0159715,-1.98404,-1.22393,0.289998,-2.16575,0.538421,-0.380951,-0.551204,0.0992389,0.658209,-1.78168,-1.05816,0.879847,-0.552674,1.96828,0.253563,1.88297,-0.186335,-0.23328,-0.0350591,1.83634,0.465348,0.397892,-1.2351,-0.396198,-0.0671203,-2.06967,-0.878082,2.41136,-0.57605,-9.76274,-1.27677,-0.0582568,0.339914,-2.29683,-0.319881,1.31532,-0.160762,-1.10593,-0.899845,0.338724,-0.709236,-1.409,-0.153212,-1.31881,1.52756,1.64208,0.481916,0.90131,0.519469,0.396155,0.562558,0.264644,0.95187,2.18835,1.23717,-1.2281,2.60969,-1.28139,-1.06031,-0.0609447,0.922331,-1.09389,-0.43245,2.87762,0.470271,0.547008,-0.0708233,0.227176,-0.439797,0.0974365,1.00981,-1.13243,-0.178497,1.55441,0.369659,-0.284613,-0.858413,1.84193,0.363751,0.0324372,-0.335101,-1.23253,-0.551281,-1.80525,-1.81095,-5.2413,0.363776,-0.147981,0.357585,-1.65644,-0.830933,1.27516,1.75553,-1.04688,-2.42274,-1.22237,-0.136864,0.761678,-1.03118,1.40796,-1.1791,-0.774316,-0.387644,-0.885358,0.5315,-1.58676,-1.49216,0.801982,0.350758,-1.29224,0.432172,-0.0118829,-1.97959,-1.21987,0.29419,-2.16119,0.507345,-0.380951,-0.554606,0.101579,0.597771,-1.80607,-1.01561,0.82163,-0.538097,1.95468,0.261406,1.9126,-0.165145,-0.240208,-0.0350591,1.6938,0.539999,0.397892,-0.714441,-0.396961,-0.291935,-6.81032
-145.338,0.998194,0.0568574,6,63,0,182.575,0.706401,0.167421,-0.00749872,0.0149126,-0.644498,-1.35829,2.06431,0.161378,-0.157399,0.597917,-1.08356,0.972141,-0.839761,-0.3099,-0.0487678,0.422055,-1.26066,-0.0838353,0.938461,2.05973,-1.21978,1.04791,1.51876,-0.506498,-0.074215,0.948936,-0.1251,-0.142636,0.912451,-0.747712,-1.42737,-0.877433,0.745275,-1.03376,1.40883,0.0273507,1.37283,-0.0838719,-0.181538,1.54237,-0.507155,0.981355,0.512236,0.260048,-0.0995247,-0.56217,0.858648,-0.80506,0.319474,1.59728,-1.83877,0.919611,1.04812,-3.19393,0.431106,-1.10305,-0.869775,-0.017116,1.70594,6.86369,-0.67312,-0.266722,0.293397,1.78263,0.657893,-1.35511,-2.06922,1.11915,2.32436,1.23307,0.0509287,-0.78681,1.03572,-1.57658,1.56311,1.20423,0.000235433,1.14533,-0.241715,1.65485,1.61028,-0.689249,-0.564127,1.35655,-0.258276,-0.295492,1.61806,0.965321,-0.180101,1.95439,-0.194994,0.370691,1.11674,-0.166569,-0.847291,2.71725,0.959574,-0.600027,0.735611,-2.15475,-0.377944,-2.22236,0.494542,0.0358741,0.141694,-1.82775,-1.60799,-0.200139,-0.463894,-0.847505,-0.0919231,3.75681,3.20429,-3.78151,0.863397,-0.704287,-0.565442,-1.10241,2.37406,0.0159775,0.356014,1.15487,-1.89273,1.55183,-0.70054,-0.90553,0.245697,0.723368,-2.83877,-0.131742,1.08206,2.31898,-1.12516,1.30777,1.80689,-0.309051,0.152021,1.50368,-0.0140375,-0.456346,1.38849,-0.600998,-1.29921,-0.621894,0.989717,-0.821104,1.19656,0.0273507,1.37877,-0.0742237,-0.178548,1.54277,-0.488021,0.98621,0.525472,0.242928,-0.0903184,-0.551777,0.848327,-0.811351,0.319474,2.62609,-1.28883,0.919611,7.2207,-0.964737,1.17106,7.8694
-144.938,0.995191,0.0568574,6,63,0,179.844,0.133583,0.690056,-0.30789,0.0486887,-0.612578,0.936237,1.13925,0.0390477,2.42153,-0.328692,-1.16599,0.695407,-0.699779,1.95785,-0.55367,-0.994555,-0.585597,0.254072,0.69825,2.50402,-0.503311,-0.00545504,1.9953,0.47926,1.58949,0.316723,0.312624,0.279725,0.46002,-0.743458,0.409687,-1.4755,0.614309,-1.01548,1.28797,0.295796,-0.575504,-0.368976,-0.895557,0.948634,-1.17788,-0.00942587,-0.169874,1.30568,0.45063,-0.689627,0.856462,-0.122459,0.0441676,2.15006,-1.3028,0.995557,-1.92078,-4.24758,-0.564317,-1.13478,3.9926,-4.4674,0.993322,-0.819001,-0.305517,-2.36857,1.88733,0.163668,-1.91175,1.17893,-0.508393,0.744658,-0.514405,-1.55826,0.423677,1.60604,-1.23875,-0.327876,0.671362,0.705451,-1.13381,1.36729,0.417728,-1.2825,-1.57725,1.12033,-0.544391,-0.402745,0.917315,-0.350381,-2.11644,0.117611,0.486958,-0.482757,0.701567,-0.162544,2.44122,0.264286,0.621658,1.32744,0.311311,1.54064,0.815647,-0.877136,-0.668719,-0.163312,0.41888,-0.912922,0.390101,0.818021,-0.995635,0.399336,1.94563,0.326893,1.6525,0.786268,1.85754,1.6911,-0.883747,0.600507,-0.603405,0.950059,1.14812,0.0407258,2.44854,-0.307878,-1.16941,0.721829,-0.693366,1.88622,-0.540032,-0.980998,-0.626425,0.258711,0.699649,2.49231,-0.488987,0.001157,2.00796,0.485544,1.60265,0.337053,0.299423,0.281421,0.464342,-0.736759,0.422158,-1.46681,0.621276,-1.01341,1.25152,0.295796,-0.574958,-0.365984,-0.896735,0.945405,-1.17246,-0.00899536,-0.165497,1.30176,0.451317,-0.68706,0.857207,-0.123465,0.0441676,2.04306,-0.86006,0.995557,-0.93489,-1.00207,-1.23809,-3.39573
-143.503,0.997902,0.0568574,6,63,0,175.591,-0.915907,0.489863,0.0799306,0.0516539,1.09197,-1.4902,-0.451972,-0.444508,0.0283646,-1.34498,1.504,-0.558494,-0.351115,0.58308,1.51806,-0.159807,2.0417,0.738305,-1.5061,-0.738432,-0.61635,1.34658,0.122742,0.212369,-0.223587,0.270605,1.02266,0.941511,0.61209,-0.494418,0.720134,0.191752,-1.7852,-1.20615,0.351222,-0.678485,0.928689,0.981539,0.564706,1.11012,-0.0391969,-0.750864,1.56309,-0.634863,0.674037,0.31439,-0.658268,-0.913261,2.53424,0.99967,-1.30629,0.126805,0.312645,-0.838975,-0.764529,-0.0911996,0.973269,1.66394,-1.75649,3.36177,-0.0121096,0.865841,1.27887,-0.825496,3.10731,-0.332066,-1.24466,1.18477,-0.748214,0.719625,0.136567,-0.811594,-1.21299,0.254117,0.247611,0.791676,-0.54268,0.390718,2.26857,0.854703,1.95417,0.739196,-0.168892,0.663171,0.657465,-0.796777,0.754095,-1.41391,0.282115,-1.50735,-0.0924282,0.0965205,-0.711247,0.337296,-2.29428,1.21932,-0.438505,-0.366226,1.03095,-0.356046,0.532719,-0.403172,0.488551,-0.74809,0.403333,1.82542,-1.49179,1.0242,-1.25574,1.29614,-1.00538,4.47031,-9.66114,-4.35359,-0.406783,-0.827831,2.11827,-1.30411,-0.268261,-2.99093,0.993948,-1.21063,1.2623,0.215698,-0.297071,-2.83004,2.54314,0.35781,1.66764,0.419865,-2.59403,-6.37476,-1.33086,1.84189,0.470209,0.720658,0.104567,0.866233,0.274923,1.0045,0.549875,-0.413779,1.16445,0.47541,-1.77178,-2.20873,-3.40363,-0.678485,0.466615,1.52239,-1.31038,0.834005,0.504629,-1.05504,2.05035,-2.39444,0.355386,0.531853,-0.818258,-1.30036,2.53424,-1.30557,-3.0445,0.126805,6.37946,0.566719,-0.568323,11.1322
-147.348,0.992205,0.0568574,6,63,0,171.217,-0.151046,1.31106,-0.330918,-0.536714,-0.348798,-0.0656707,0.190201,1.19583,-0.992949,-0.556989,0.573583,0.558831,0.207053,1.86603,-0.890474,-1.57756,-1.35077,-0.326412,1.16223,2.22575,0.620491,0.130366,0.633068,-0.953798,-2.22308,-0.256917,0.356259,0.137175,-1.518,-0.900787,-0.131253,-0.894216,0.760462,1.81251,2.8177,1.83792,0.994109,0.205975,-0.166202,-1.09254,-1.2128,1.75037,-0.640282,0.0595213,0.892359,-1.57861,-0.117114,0.270057,-0.605748,0.155513,-0.821498,-0.511958,-0.528008,-0.980392,1.29348,-1.09981,-0.799222,-0.164748,0.752106,-1.00835,1.35684,-1.3894,-0.312577,-0.850282,0.162709,-1.37153,2.06555,0.494843,-0.258675,0.710409,1.77544,-0.351505,1.02738,0.840749,-1.29375,-0.202946,-0.127724,1.72123,0.773011,0.120633,-0.697492,0.778724,0.987045,0.859661,0.191616,-0.765221,1.10257,0.030368,-1.57382,-0.686131,1.41968,0.175244,1.26088,1.27588,0.26721,0.712904,-0.187225,-0.570469,1.78374,-0.913468,0.909813,-0.0295902,-0.649985,-0.852443,2.54586,0.0252559,0.23834,-0.0948333,-0.601966,-0.455897,0.0220227,1.33241,-5.42982,2.69095,-0.546094,-8.33562,-0.442853,-0.0149903,0.210124,1.02586,-0.913064,-0.487931,0.562924,0.673965,0.215252,1.3743,-0.830816,-1.53399,-1.48243,-0.313922,1.17636,2.23532,0.633184,0.13973,0.684812,-0.991586,-2.19324,-0.184882,0.147459,-0.0862051,-1.50874,-0.892493,-0.0791629,-0.877706,0.768857,1.79006,2.3942,1.83792,0.930532,0.179164,-0.498802,-1.47328,-1.11503,1.68237,-0.558209,0.0149988,0.923176,-1.53566,-0.110734,0.25112,-0.605748,-4.15066,-3.07613,-0.511958,-2.84875,-0.561255,3.82795,-2.35828
-139.923,0.999815,0.0568574,6,63,0,171.7,-0.348531,0.696445,0.485384,-0.0106113,0.0365786,0.733975,1.25632,0.14804,-0.525247,0.764173,-0.19321,-2.21397,-0.224873,0.508267,-1.34841,-0.181449,1.79626,-0.10346,0.98141,-0.629584,-1.17572,-0.585605,0.266319,0.684994,0.541213,-0.45567,0.11386,0.449012,0.981489,-0.359666,0.132754,1.51338,-0.722899,-2.17412,-1.74599,-2.74248,0.144973,0.501379,0.826512,1.12247,-0.278974,-0.577371,-1.28354,-0.370721,-1.12027,-0.305461,-0.0613844,-0.214547,1.96363,1.67409,0.209671,-0.361898,-0.849882,0.104748,-0.935469,-0.884487,1.19125,-4.95534,-0.823931,7.04157,1.04716,-0.70309,-0.952393,-1.70441,0.971962,-0.238737,-0.62376,0.0500177,-0.251467,-0.523214,1.31211,1.64365,1.71701,0.265892,-2.04212,-2.1531,-0.573264,-0.00790912,-1.22603,0.882646,2.13849,-0.0610331,-0.402813,1.2853,1.20893,1.05832,-0.305715,0.240498,-0.552728,-1.13968,-0.897066,-0.477793,-0.94544,-0.252218,0.095231,3.021,0.684622,-2.26,0.612255,0.709482,-1.15746,1.46578,-0.0230429,-0.443147,-0.0864037,0.295434,-0.138982,0.748311,-1.05154,0.201341,-0.203917,0.765884,-3.34938,-0.289383,1.12824,1.33474,0.00759621,0.795094,1.29792,0.10966,-0.433403,0.859646,-0.258268,-2.14094,-0.200807,0.216369,-1.29019,-0.126059,1.45378,-0.105463,0.992378,-0.887526,-1.14225,-0.561739,0.317622,0.712911,0.594585,-0.381741,-0.0181572,0.431632,0.913699,-0.33662,0.183735,1.54442,-0.704078,-2.23042,-1.92658,-2.74248,-0.0237381,0.656558,0.524549,0.624346,0.259285,-0.723333,-0.910718,-1.79801,-1.29267,-0.0649238,-0.173072,-0.205426,1.96363,0.87317,0.476918,-0.361898,-0.93583,-0.535661,-1.89238,-3.34449
