# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1438233811
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_noinbred_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-137.604,0.990672,0.0928597,5,63,0,167.068,0.300181,0.842815,-0.398795,0.189055,-0.952066,0.502296,0.555735,1.71474,-1.80384,0.243331,-0.723931,-0.205046,2.71519,1.4284,1.00078,0.292255,0.281446,1.08596,-1.62907,0.202162,-0.945042,0.256732,0.0764615,1.69318,-0.591744,-0.215629,-0.238989,0.512584,-0.495563,-0.57607,0.680749,-0.397147,0.383965,0.146667,1.49757,-0.187447,0.322159,0.249593,-0.672015,0.190968,2.29005,-0.400271,0.959502,-1.03502,-0.453606,1.82474,0.274909,-0.481529,-0.982452,0.457836,-0.845351,-0.536357,-0.109753,-1.24518,0.957021,-0.904496,0.300127,-1.71132,2.16163,-1.83379,0.262186,0.198181,-0.0137843,0.823376,-0.384675,0.457471,-1.44495,-0.770655,-0.026698,2.86066,-0.062036,-0.761592,-1.9138,0.0683651,-1.55975,-1.31575,-1.49649,-0.764258,-0.457427,-0.243269,1.04151,-2.10588,0.379428,-0.00194503,0.540393,-1.27049,0.699679,0.0509293,0.926326,-1.19092,-0.174443,-0.839201,1.44184,1.01222,-0.933721,-1.92205,0.164827,-0.543671,-0.552072,1.49705,-1.00109,-0.884319,0.507089,0.0489594,0.476043,1.472,-2.15066,-0.783635,0.130292,-0.854517,-1.65345,-1.52718,2.72755,2.19772,-1.15368,3.03364,-0.83285,0.640667,0.63006,1.80865,-1.56685,0.416681,-0.8616,0.0357661,2.77468,0.86719,1.13798,0.431576,0.00630423,1.12404,-1.76513,0.112082,-0.809753,0.289833,0.185608,1.80874,-0.475948,-0.00900562,-0.298782,0.539982,-0.466274,-0.548422,0.785824,-0.319155,0.425594,0.157837,1.24252,-0.187447,0.329266,0.350737,-0.655447,0.14205,2.46126,-0.366822,1.10277,-1.1186,-0.483357,1.88382,0.262027,-0.52599,-0.982452,1.27594,1.16057,-0.536357,-0.929635,0.0367643,0.282778,-2.85275
-143.143,0.996771,0.0928597,5,31,0,165.197,-0.525836,0.412283,-0.484661,-0.0902181,0.140113,-1.51871,-1.61126,1.51071,-0.517453,1.86719,-0.227179,-1.00961,1.80281,0.731369,-0.0860289,-0.683942,0.957871,-0.161911,-2.67297,0.844522,-0.882301,0.272451,-0.0641219,0.00841132,-0.813639,0.967787,1.6401,-0.469953,-0.163089,-1.66524,0.43527,-0.270667,1.70159,-0.567645,1.40001,-0.775598,0.387609,0.0725032,0.23993,1.69296,1.49063,-0.382519,1.12297,0.488341,0.0527922,1.34519,-1.5867,-1.44788,1.13174,1.08655,-1.1312,-0.316113,0.433771,-1.32907,-0.257764,-0.649938,0.130409,0.446285,-1.17046,1.82921,-1.26452,1.35971,1.26417,1.43869,-1.28251,-0.212807,-1.12582,0.432673,2.33053,0.468125,1.31416,0.872333,-0.578447,1.20095,-1.05866,-0.386624,-0.91928,0.250144,0.252262,1.86111,-0.202061,-0.358149,-1.21152,0.476878,-0.831479,0.00532051,0.712398,-0.224538,-0.0758445,0.344979,0.564857,0.120641,0.109548,0.274033,-0.851158,-0.483541,2.00864,-0.282967,0.641128,-1.27971,-0.588359,1.56391,0.979791,-0.0203749,-1.56124,-0.609424,-0.319856,-0.470649,0.491815,0.0401767,0.499654,-1.17685,-4.48719,-5.69094,-2.33793,-3.81034,-0.191322,-1.34489,-1.53389,1.67657,-0.0652879,2.55275,-0.874166,-0.584183,2.03406,-0.669335,0.244015,-0.440101,0.137992,-0.398258,-3.3851,0.528231,-1.45541,0.410443,0.174841,-0.135076,-0.652834,1.48139,1.45849,-1.32945,-0.775745,-1.62277,0.699616,-0.0724299,1.97993,-0.732646,0.23195,-0.775598,0.241059,0.0740833,0.111088,1.55329,1.67342,-0.374591,1.19703,0.338773,-0.163899,1.47923,-1.69857,-1.56362,1.13174,-0.0690744,-1.75199,-0.316113,1.23031,-0.26581,-0.78063,0.0126292
-144.112,0.965081,0.0928597,6,63,0,175.567,0.518015,0.0801742,-0.0458276,0.0564825,-0.609751,-0.0832533,1.18392,-0.101322,-0.845423,-2.65306,0.0772089,1.24155,-0.00271081,1.40597,-1.71309,1.65389,-0.980132,0.269243,1.82615,-0.556963,1.10069,2.09454,-0.707106,0.556231,0.620782,-2.36614,0.00755176,0.285879,1.11956,1.38613,0.0243496,0.640459,-1.28458,-0.741396,-1.01138,-0.579945,0.160785,-1.88482,-0.540969,0.807504,-0.218608,-0.281639,-0.490785,1.08381,0.557712,-1.09776,-0.418211,1.37063,-0.298774,0.821892,-0.54275,-0.076189,-0.29256,-0.0422121,-1.05582,-0.874401,0.0922795,-2.56753,-2.74107,2.00862,-0.204529,-1.8487,-1.18816,1.73088,-0.346861,0.612305,-0.350365,-0.442081,1.8476,0.849726,-0.932024,0.743444,0.535124,-0.0310412,-2.11027,0.637151,-0.309656,0.852288,-0.365164,0.324609,-0.552393,-0.125042,2.02216,-0.569255,0.795128,-1.22786,0.513211,0.303426,1.33069,-1.14804,0.790358,-1.28346,0.858299,-1.23806,-0.113206,1.50489,1.97,-0.532175,1.52083,0.707162,0.224764,1.16759,-2.14757,-0.947382,1.1634,1.27511,0.352271,-0.492707,0.748581,0.495237,-0.613421,4.60676,3.41438,-5.28694,0.0734698,-4.47692,-0.818331,0.0215294,1.28927,-0.11292,-0.638525,-2.48628,0.0331932,1.45856,0.0908848,1.44182,-1.61047,1.76937,-1.41994,0.301094,1.90682,-0.712618,1.24921,2.20655,-0.621172,0.610096,0.714024,-2.32082,-0.135889,0.362502,1.20652,1.49462,0.135274,0.745233,-1.21026,-0.622702,-1.45171,-0.579945,0.531161,-1.98069,-0.851549,1.15434,0.307559,-0.356794,-0.00749119,0.461432,0.771138,-0.781038,-0.313615,1.44537,-0.298774,0.792877,-0.0302804,-0.076189,1.29649,-0.528534,-0.954083,1.49865
-149.128,0.9917,0.0928597,6,63,0,174.059,0.230557,1.05467,-0.0077895,0.268325,1.05323,-0.0123395,-1.71408,0.580403,0.770417,2.31829,-0.691863,-1.45186,-0.127181,-0.937847,1.65879,-1.03039,1.39407,0.211813,-1.95765,1.28943,-0.91007,-2.01859,0.592071,-0.52368,-0.337092,2.21907,0.407095,-0.358741,-1.04405,-1.40606,0.0433474,-0.49174,1.35712,1.49803,1.14725,-0.252742,-1.18501,1.87499,0.783925,-0.809458,-0.292368,0.241154,0.131281,-0.526638,-0.523489,0.327942,0.928533,-1.08297,0.821929,-0.231091,0.82599,0.277203,-0.189725,-0.912478,-0.761017,-1.11828,1.46202,1.76983,-1.22215,1.45108,1.04812,-0.0768953,-1.6577,1.31436,-0.785504,-1.08715,-1.04348,-0.101107,-0.422536,0.527298,-0.187284,1.90316,-0.0284139,1.74521,0.0421947,1.12413,0.790972,0.966797,-0.258822,0.190992,1.2579,-0.615054,0.471115,-0.112725,0.418333,0.29176,0.687685,0.594314,0.357647,2.08362,-0.78008,-2.58029,-1.6636,-0.350397,-0.338096,-0.69393,-0.629523,-0.879213,-0.349142,-0.751556,0.537073,-1.3743,1.66658,1.18467,1.5288,0.954737,0.915546,0.45763,-0.169386,0.348096,-0.945654,-1.16819,1.57347,8.23834,-0.195543,6.44598,1.17058,0.0698458,-1.69337,0.6545,0.936233,2.43826,-0.684224,-1.3068,-0.0953217,-1.76417,1.73803,-0.951091,1.15565,0.26304,-1.94182,1.19069,-0.816333,-2.00056,0.671473,-0.466535,-0.253755,2.36263,0.41285,-0.312077,-1.09525,-1.38551,0.120418,-0.467848,1.39585,1.43834,1.15889,-0.252742,-1.22564,1.98797,0.875491,-1.09557,-0.134658,0.307206,0.265959,-0.652887,-0.539731,0.401411,0.972572,-1.09259,0.821929,-0.647748,1.47728,0.277203,0.652188,0.102795,0.101433,3.22664
-140.622,0.995765,0.0928597,5,31,0,174.086,-0.315221,0.0716335,-0.487493,0.0018072,-0.780135,0.122933,1.80534,0.222682,-0.776803,-1.11394,0.252888,0.317272,-0.0751561,1.27784,1.24331,0.318111,1.85223,0.418438,0.926987,-1.59879,-0.352078,0.526252,-1.38926,0.978125,0.517182,-1.53252,0.314406,-1.25619,1.04997,-1.67838,-1.06183,0.570866,-0.153233,-1.10703,-0.214105,-0.266738,0.64427,-0.127078,0.34309,-0.341145,0.385801,1.63504,-1.15796,1.69247,0.412777,-0.360268,0.937873,1.39847,1.11962,0.983175,0.042137,-0.143295,0.773339,0.328924,0.478666,-1.73621,-0.316706,4.86573,0.2114,1.94503,1.09292,0.0207465,-1.6639,0.603558,0.652867,2.5325,-0.839153,-1.36242,-0.0982223,-1.20714,1.70329,-1.11995,1.26989,0.221847,-2.07132,1.42096,-0.935393,-1.88399,0.632279,-0.54963,-0.309707,2.33664,0.322061,-0.36179,-1.28074,-1.41982,0.0349815,-0.571534,1.37157,1.56571,1.01118,-0.250748,-1.49801,2.02517,0.758541,-0.930797,-0.232885,0.147038,0.286818,-0.498444,-0.489845,0.459537,0.929619,-1.10101,0.809298,-0.680352,1.08269,0.30598,-0.0571241,-0.710204,-0.842329,-3.97589,-1.75506,-3.70675,-1.16226,-3.80874,-0.929946,0.182335,1.86601,0.198826,-0.66442,-1.01161,0.227515,0.430211,-0.0204993,1.10222,1.30467,0.376873,1.71172,0.434223,0.915723,-1.89876,-0.390235,0.582843,-1.34049,0.936108,0.576513,-1.53261,0.134227,-1.40834,1.00463,-1.63031,-1.0062,0.629239,-0.100743,-1.0744,-0.630769,-0.266738,0.64239,-0.157649,0.137621,-0.440539,0.502795,1.55446,-1.08102,1.4457,0.375341,-0.261114,0.966771,1.36128,1.11962,0.437037,0.103562,-0.143295,1.29615,-0.313882,0.0795581,-6.94022
-139.06,0.990498,0.0928597,6,63,0,166.598,0.163812,-0.156894,-0.752987,0.128912,-1.18242,0.22048,0.302127,-1.33506,-0.98419,-1.27865,-0.0835264,-0.7926,-0.0984819,-0.0340093,-0.0309572,0.234979,1.39204,-0.404187,2.98071,0.131598,-0.041487,1.02142,-0.647106,0.0854553,-0.461916,-1.07816,0.489389,0.12308,0.370721,0.139415,-1.28082,-0.106463,-3.15838,-1.79251,1.24923,-0.333422,0.83088,-0.507506,0.293979,-0.369116,-0.277017,1.33531,-0.951241,0.464433,0.0108309,-0.508392,1.85463,0.505916,0.822389,0.909201,-0.418801,-0.338816,0.0284259,0.0403576,0.936649,-0.896737,0.382063,1.68368,-0.247013,4.39339,0.627446,-0.149671,-1.99156,-0.76487,0.235038,0.417951,-0.382585,-0.931021,-0.0812465,-1.18991,-1.55069,-0.371269,-1.40047,-0.722009,0.484535,2.40425,0.365241,-0.249125,1.1687,-1.04664,-0.932487,1.23902,-0.0825891,1.80358,-1.14985,1.77031,0.490789,-0.911438,-1.38252,0.242447,1.38447,0.129363,-0.369178,-0.133071,-0.0238314,0.205175,-0.756859,-1.20183,0.71876,-1.48986,-0.487455,0.012733,-0.127536,-1.19491,-0.851919,-1.29346,-0.471593,-0.0296331,-1.92937,-0.0689995,-1.11402,3.21479,3.48405,-5.98927,-2.13126,-3.45122,-1.21613,0.379109,0.4568,-1.4686,-0.726206,-1.04143,-0.0864635,-0.569162,0.0410769,-0.474265,0.118444,0.386311,1.26833,-0.360668,3.00029,0.0462803,0.0870603,1.16353,-0.558089,0.0531528,-0.341248,-0.983423,0.541907,0.0934866,0.382686,0.275602,-1.18767,0.044552,-3.09668,-1.60972,0.781976,-0.333422,1.26038,-0.274046,0.003042,-0.196834,0.257166,1.46218,-0.676776,0.347157,0.0758372,-0.236221,2.03693,0.0924272,0.822389,3.48823,0.600812,-0.338816,-1.79045,-0.172428,3.46926,-1.28135
-140.928,0.995733,0.0928597,5,31,0,171.369,0.0824989,0.63837,0.545237,0.366473,1.71152,-0.69322,-1.41885,1.35058,-0.38524,1.43145,-0.341072,-0.146879,-1.73943,1.04673,-1.19067,-1.7313,0.872731,-0.228518,-1.81878,1.32719,-0.15932,-1.55112,0.97012,-0.393825,-2.03728,-0.478106,1.05402,0.777721,0.630351,-0.633264,1.58323,-0.129813,1.60961,1.54411,-0.537432,-0.250354,0.0444355,0.791202,0.05643,-0.300568,-0.163859,0.606097,0.531766,0.451051,1.24984,0.494937,-0.432303,0.914566,0.397402,0.387142,0.0803849,0.668012,0.41644,-1.31678,-1.83829,-0.827226,1.36259,-6.7542,-1.19191,1.90644,-0.981786,0.210025,-0.367631,-0.976654,-1.01798,0.197841,-0.789928,-0.509825,-1.31916,-0.852305,-0.666538,-0.411038,0.621332,-0.85583,2.70428,-0.531871,-0.033484,0.41991,0.335836,-0.250359,-1.81917,-1.9877,1.73202,1.25638,0.701318,0.0929214,0.112833,0.149648,-2.46734,-0.778084,0.365105,-0.592242,1.14204,-0.125801,0.368702,-0.683087,-0.281406,2.19521,-0.681987,0.428263,1.20279,-0.167329,1.92906,1.24828,1.30735,-0.447686,0.915133,0.00257063,-0.807648,-0.538715,1.05583,-0.530271,3.52751,3.21345,1.29397,5.92212,2.14004,-0.461925,-1.35817,1.64048,0.0921568,1.87426,-0.674835,0.25162,-1.69532,0.0774569,-1.04477,-1.52802,-0.13252,-0.266552,-1.90857,1.03296,0.18776,-1.50184,1.2123,-0.171445,-1.87093,-0.210789,1.32573,0.986055,0.760077,-0.559757,1.84044,-0.0295632,1.78635,1.70836,-0.875377,-0.250354,0.0716905,0.922138,0.0995354,-0.388748,-0.0175252,0.717921,0.679713,0.266867,1.25301,0.596996,-0.49021,0.944029,0.397402,0.356251,0.355744,0.668012,0.334052,-0.452408,-0.830735,0.441271
-132.656,0.982092,0.0928597,5,31,0,167.331,-0.348002,0.362024,-0.289298,0.0293102,-0.631647,1.32776,0.113806,0.47913,0.241965,-1.53241,0.444537,-0.263259,-1.00433,-0.503338,-1.67085,0.275238,0.754224,-1.16701,0.361335,-0.707365,-1.28309,-0.238154,-1.03437,-0.48411,0.690642,-1.70604,-0.705079,0.899417,0.914727,-0.876088,1.69079,-1.24543,0.508057,-0.547481,-0.0313543,0.0491598,-0.148971,0.495178,-0.289246,0.0504758,-1.56494,0.262502,-0.821799,1.7942,-0.278725,-1.91165,-0.512774,0.45519,0.676152,1.0622,-0.217832,1.16205,-1.41269,-0.16636,0.0817278,-0.542653,0.295293,-2.56225,-0.901906,-4.85922,-2.17179,0.850676,1.40744,-1.4838,-0.0325946,-2.13865,0.728527,-0.183015,1.54024,-0.0771357,0.803329,1.88728,-0.215485,0.081407,2.07768,-1.41289,-0.256251,1.43594,-1.32718,0.22184,2.09098,0.0833955,-1.2577,-0.780231,-0.510373,0.454067,-1.52236,-0.28528,-1.63976,-1.81722,1.00064,0.272788,-0.0692284,-0.919944,0.0825789,0.61662,-0.355355,-0.558797,-1.02722,0.106779,-1.16579,-1.34059,0.453811,-0.757103,-0.268814,0.721955,-0.462316,-0.410407,-1.50228,1.59527,2.38896,0.711573,-3.23803,-2.97163,-2.38164,-4.44336,-0.6281,1.39228,0.154661,0.409879,0.340879,-1.44815,0.367207,-0.166511,-0.982801,-0.809193,-1.61074,0.324715,0.664211,-1.19834,0.330014,-0.740507,-1.28537,-0.211294,-1.0078,-0.498668,0.749324,-1.68839,-0.862699,0.863712,0.858666,-0.84987,1.75742,-1.21923,0.524027,-0.525195,-0.384286,0.0491598,-0.174134,0.886645,-1.39096,-0.475988,-1.16405,-0.0124523,-0.417334,1.59763,-0.487459,-1.71778,-0.81578,0.134977,0.676152,-0.100675,-1.06206,1.16205,-0.762084,-1.35102,-0.966139,-2.81737
-133.768,0.994315,0.0928597,5,31,0,161.258,-0.537244,0.164342,0.654187,0.462357,-0.84484,-0.0510258,-0.739766,-0.938847,-1.38878,-1.16474,0.819744,0.163594,-0.47649,1.81633,0.737491,-1.05078,-0.383358,1.19206,-0.513384,1.94906,-0.304241,0.111273,-0.732177,-0.416172,-0.681469,0.778777,2.84313,0.286679,2.76229,-0.773687,-1.66203,0.0824725,-0.523257,0.094902,0.0211532,-0.553733,0.0674832,0.17213,1.05161,0.87324,-0.664731,-0.364882,-0.251973,1.64703,0.523887,0.258205,1.1321,0.5545,2.06339,-0.425583,-1.33963,-1.23145,-1.1285,0.65175,-0.00789886,-0.0470937,0.153906,0.081147,2.19266,-2.65093,0.767495,-1.93339,-0.277037,-0.622522,-0.293424,1.57231,0.000665411,-0.049827,1.03993,1.36115,1.28005,-0.402928,0.807497,1.2242,-0.125648,0.570128,1.67503,0.139492,1.14655,0.497322,-0.997543,1.68392,0.29831,-1.37559,-1.70826,1.02174,-1.69525,1.29915,-0.453658,0.8403,0.35864,0.0358651,1.57428,-1.66988,-1.77357,0.0228862,1.5742,0.0368887,0.237323,-0.0809929,-0.328572,1.61783,1.66714,0.015698,-1.02791,0.688061,-1.45585,-1.10813,-0.08561,0.704671,-0.132025,-0.201833,-3.07364,-4.66063,0.205246,-2.98468,-1.21454,0.197906,-0.572759,-1.00667,-1.21006,-1.01238,0.639907,0.224765,-0.364142,1.43898,0.911979,-0.997831,-0.719773,1.20917,-0.625846,2.03899,-0.35197,0.137889,-0.695283,-0.373053,-0.616825,0.663157,2.47617,0.166651,2.65045,-0.755237,-1.48888,0.0996289,-0.496343,-0.0889671,-0.173268,-0.553733,-1.30468,-1.44007,1.96321,0.803052,-1.13523,-2.76192,0.498372,1.21205,-0.218637,1.06517,0.833304,0.0146665,2.06339,-3.18468,-1.40835,-1.23145,-3.16782,0.909805,1.25841,-2.11715
-142.19,0.919857,0.0928597,6,63,0,168.144,-0.596676,0.718344,-0.242097,-0.321605,0.597916,-0.664172,1.37008,0.691318,-0.136975,0.399909,-0.444717,-0.550861,0.310811,-0.439987,-1.66183,0.889221,-0.863195,0.448951,2.19414,-0.987139,0.326903,-0.221421,0.420981,1.3725,0.840426,-0.724221,-1.61907,-0.303519,-0.991791,0.445866,-0.583624,-0.699141,-0.628361,-2.13569,-0.0376324,1.09528,-0.10218,-2.51107,0.911071,1.44593,-0.295141,-1.0285,0.383997,-0.157126,-0.911914,-1.11519,-1.09157,1.3229,-2.0151,0.858748,0.0952768,0.0909923,-2.47486,-1.08584,0.795663,-0.723391,-1.61655,2.02094,3.29578,-1.29198,0.340127,-0.180382,-0.370851,1.40054,0.464048,0.354236,-0.0361337,-0.0736637,0.0962443,0.406787,-0.288969,-0.212832,2.05049,-1.54013,-1.18194,-0.471346,-0.517854,-0.0897152,0.237941,-0.674355,-0.446465,-0.631441,-2.69067,0.197418,-2.5591,0.541232,1.70538,0.812133,1.01416,1.62174,0.410733,-0.361012,0.062813,0.246259,-1.98364,-0.110164,0.204863,0.0889082,-0.869047,-0.252797,0.473345,-0.158592,0.351424,-1.19414,-0.89777,1.48022,-0.0209181,2.07185,0.577329,0.396111,-0.288446,1.38294,-3.2925,-2.037,-1.27238,-8.63959,0.570277,-0.648886,1.38087,0.669709,-0.111417,0.424756,-0.453271,-0.518336,0.316259,-0.507996,-1.64418,0.903691,-0.908719,0.451681,2.19462,-1.00382,0.331535,-0.215311,0.435057,1.37344,0.850372,-0.705177,-1.68676,-0.326756,-0.992861,0.452287,-0.56915,-0.689443,-0.622788,-2.13324,-0.131306,1.09528,-0.135157,-2.56629,0.553272,1.25116,-0.07078,-1.21208,0.577072,-0.348581,-0.898859,-1.01544,-1.09308,1.28637,-2.0151,-2.47835,-0.00426361,0.0909923,-0.77506,-1.07096,-1.65931,-2.59648
