# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1640674464
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_full_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,z_beta.4,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_z_beta.4,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_z_beta.4,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-148.569,0.996028,0.077483,6,63,0,177.351,-0.253875,1.08846,-0.0188711,0.287636,-0.0390759,-0.876451,1.45774,-0.831488,0.403225,0.151351,0.305343,-2.4633,-2.15287,0.147121,-0.134878,-0.188712,-0.543265,-1.00322,-1.33993,1.61277,-0.581197,-0.539269,1.17517,-0.916003,-1.20497,0.948441,-1.05873,0.459557,0.55779,1.13835,0.629874,-0.716647,-1.83472,-0.109855,-0.709224,3.00368,-0.824433,-0.548526,-0.241808,0.411339,0.789004,-0.148416,0.0159922,-0.267531,1.14081,1.62828,0.357317,2.14386,1.22364,1.36838,0.116884,-0.126347,1.33448,-0.955149,0.182641,0.572904,-1.12919,0.765385,2.5614,0.972877,-6.85501,-0.991697,-3.70186,-0.769601,-0.533777,0.373354,0.244953,-0.982486,-0.400321,-2.00501,-0.41323,0.0554729,0.845161,-0.378236,0.0807001,0.910354,-0.95452,0.753743,-0.684181,-0.997044,1.43495,-1.09149,-1.28038,-1.02871,0.673321,0.217732,0.573257,-2.49735,-0.520935,-1.32267,0.686417,0.934648,-0.230063,-0.304645,0.170244,-1.49412,-0.728944,0.765938,0.479277,-0.348791,0.355872,-0.0592331,0.189949,0.166787,-0.101154,0.117275,0.342014,0.517833,-0.648144,1.90129,1.10935,0.225246,0.897451,-0.256898,-2.02786,4.88474,-0.562235,6.58359,1.46022,-0.891063,1.49376,-0.818733,0.403258,0.222066,0.355257,-2.44943,-2.09825,0.166136,-0.421378,-0.152532,-0.509375,-1.21873,-1.31296,1.63085,-0.6776,-0.517782,1.1858,-0.88153,-1.2156,0.982464,-1.03612,0.316054,0.563055,1.17804,0.640006,-0.680742,-1.82471,-0.0976293,-0.759088,2.96501,-0.824433,-0.782188,-0.167955,0.442976,0.108166,0.186464,-0.241486,-0.0261036,0.279697,1.81725,0.526268,2.33058,1.25909,1.36838,-3.01829,1.86947,1.33448,-0.552072,-0.502512,0.154792,-2.01616
-142.032,0.999646,0.077483,6,63,0,175.822,0.342153,0.340719,-0.0167238,-0.216654,-0.060007,0.5989,-0.705563,1.54825,-0.784619,-1.47006,-0.921432,1.69144,1.84766,0.597712,1.69217,0.324855,-0.46076,2.1964,0.769376,0.242017,1.28091,0.980612,-2.28411,-1.52922,-0.144992,0.320769,0.768656,0.483315,0.0346827,-1.14412,0.156656,0.287553,1.15306,-0.588948,1.50676,-0.945125,1.17632,-0.0512043,1.29259,-0.785537,-0.109535,-0.0899287,0.957308,0.432741,1.05051,-0.256839,-0.692669,0.129682,0.352399,0.121572,0.0595704,-1.8717,-0.521664,-1.66321,-0.965658,0.0670577,-1.06237,-0.0871371,2.15686,0.981182,0.145818,-5.6244,-1.37583,1.55713,0.355817,-0.868267,-0.54896,0.117787,-2.12336,-0.603886,0.687163,0.140825,0.233542,-0.805091,0.385006,-0.981297,2.34867,-0.017279,0.223157,-0.159322,-1.59352,-1.60488,1.59418,-0.44054,0.759952,0.568368,0.933617,1.01615,-0.341591,-1.31841,-0.524767,0.0951074,2.68319,-0.0659928,-0.723062,0.546396,-0.371675,0.49119,0.163839,0.718177,0.31106,2.02436,2.0043,0.258066,2.67829,1.82379,1.70764,-0.345438,-0.30053,1.28871,1.77504,0.507083,0.0798994,-1.64348,-0.43206,-2.58641,0.194916,-1.63833,-4.9032,0.591294,-0.687787,1.56354,-0.825964,-1.43745,-0.89022,1.67318,1.88713,0.609486,1.61055,0.343707,-0.442606,2.15823,0.767438,0.247043,1.26766,0.991475,-2.27353,-1.51415,-0.132808,0.337006,0.800699,0.475852,0.00199046,-1.15956,0.168158,0.304267,1.16869,-0.578198,1.5197,-1.0739,1.17632,-0.0263479,1.34848,-1.06086,-0.236075,0.0646049,0.980759,0.569707,0.980787,-0.271664,-0.612398,0.112748,0.315717,0.121572,0.0375951,-2.02965,-0.521664,-0.876606,-0.390502,0.363686,-1.70931
-140.74,0.998351,0.077483,6,63,0,167.792,0.357061,0.393941,-0.426333,0.0727161,0.243169,0.485658,0.658105,1.25215,0.0818059,0.849041,-1.14665,0.606449,0.829088,-0.734803,0.884142,0.0421072,1.04589,0.49969,1.14096,-0.445207,-0.985267,0.0889938,-1.99744,0.381149,0.33216,1.19797,1.14997,1.08466,-0.385457,-0.953106,-0.780154,0.357965,0.927537,1.42258,1.7332,0.894522,-0.692022,-2.60645,0.696167,0.0658756,0.443505,-0.330856,-0.26903,0.495759,1.83758,-0.0555187,-0.728278,1.40692,1.62394,-0.0263437,0.163248,-0.21222,0.347862,-2.53869,-0.273522,0.863212,-0.916393,-0.410356,1.17107,-0.324703,0.719228,3.43867,-0.449068,1.09331,-1.14228,1.0669,1.84096,0.505516,-1.64682,-1.59327,-1.11995,-1.41286,-0.355675,0.878873,-2.05153,-0.357476,-0.473181,-2.09502,-1.05181,1.61844,2.28902,0.409384,0.207072,-0.318293,0.0705725,-0.235525,0.851226,-0.539716,-0.180245,-0.859294,1.09327,-0.870346,1.57267,-1.42213,-1.14184,-1.20546,1.09174,0.395717,-0.176457,-1.19191,-0.378199,-0.187422,0.343272,0.348809,0.725893,0.301728,-0.153289,0.485525,1.36217,0.782145,0.0399211,0.734731,0.159848,2.15391,3.41735,0.640538,-1.95322,3.7132,1.53607,0.499006,0.669589,1.26001,0.0906143,0.871536,-1.12939,0.608861,0.849839,-0.726748,0.847472,0.0530165,1.05707,0.469981,1.14729,-0.447961,-0.996738,0.092391,-1.99313,0.390533,0.336731,1.2095,1.16267,1.06926,-0.37575,-0.958072,-0.775499,0.368824,0.93533,1.42926,1.732,0.876354,-0.692022,-2.6834,1.00906,0.162085,0.445936,0.0761741,-0.292667,0.834643,1.54551,-0.121501,-0.517779,1.56865,1.57523,-0.0263437,-0.536354,3.67357,0.347862,-0.891601,-0.3117,0.431912,-1.43273
-142.34,0.998365,0.077483,6,63,0,170.58,0.356054,0.274315,0.420535,-0.817055,0.399416,-0.928718,-1.22293,-1.3715,-0.246878,-0.944762,0.932711,-0.624811,-1.03699,1.01594,-0.245461,-0.373916,-1.13451,-0.474766,-1.14315,0.298272,0.229135,-0.138268,1.76019,-1.11832,-0.290847,-0.784297,-1.3655,-0.376623,0.309943,1.06261,0.58636,-0.438511,-1.24449,-1.55106,-1.43358,-0.914472,0.670695,2.48183,-1.36628,-0.037348,-0.413192,-0.62991,0.215336,-1.31062,-1.23506,0.728245,0.250659,-1.26638,-0.68142,-0.105149,0.319001,-1.48069,-0.209494,-0.325299,-0.0336371,0.212687,-1.70177,1.8167,-1.94515,-3.53612,-1.00871,4.58806,-1.03,-1.65574,-0.282748,-0.0959026,1.49938,-0.297373,-0.633757,0.873389,0.851505,-0.367465,-0.798171,0.359418,-1.72838,-0.435392,-0.934047,-2.24798,-0.113408,-1.3289,-1.11796,0.334229,2.15276,0.0447577,2.28741,0.135471,-1.32114,-0.596008,-0.254508,-1.09357,-0.855532,1.57735,-1.27054,-0.539486,-0.636059,0.155358,-0.468944,0.862398,0.0365418,1.45309,-0.554455,1.68528,-0.948516,-0.124617,-0.0232125,0.725919,-0.438991,-0.27098,-1.79558,0.499131,-0.00739026,0.195553,-0.47918,-0.999012,-0.108138,0.471106,1.28375,-3.34491,1.29658,-0.950603,-1.20129,-1.35528,-0.266958,-0.902652,0.968952,-0.705626,-0.991829,1.03002,-0.440391,-0.355446,-1.11274,-0.50999,-1.17545,0.318287,0.222296,-0.108684,1.77807,-1.10126,-0.267999,-0.764892,-1.32299,-0.33697,0.289242,1.03541,0.603116,-0.422184,-1.22933,-1.53816,-1.43467,-0.980963,0.670695,2.51952,-1.34308,-0.102551,-0.607232,-0.499145,0.287638,-1.19669,-1.26951,0.719254,0.320334,-1.39895,-0.722837,-0.105149,0.225133,-1.42406,-0.209494,-0.310563,0.14484,0.123212,-5.09753
-149.359,0.990624,0.077483,6,63,0,177.768,0.793361,0.16928,-0.832305,-0.0454686,0.238509,-1.4487,1.80184,-0.159721,0.914914,0.00809863,-0.911312,1.24687,2.13215,0.633329,0.777049,-1.05095,0.0852035,0.0123675,0.489079,-1.18988,-0.991123,-0.521211,-1.66543,1.48451,1.98629,1.77263,1.90432,0.145899,0.656116,0.119327,0.528941,1.35875,0.90134,0.483877,0.0200396,-1.58155,1.622,-1.87201,-0.574385,0.764351,0.0997687,0.259835,-0.470406,0.598147,-1.32605,-0.996779,-0.771493,-0.580247,-1.03469,-0.4239,-0.0932046,-1.10145,0.168571,-1.24599,-3.08496,0.161243,-0.472245,-1.36578,3.78203,0.433565,-1.10449,-2.69282,1.606,0.494684,1.54881,-0.0343827,0.893597,-0.682516,0.221386,-0.234851,-1.41924,0.149508,0.79313,1.1395,0.877398,1.01094,0.225888,0.242983,0.348708,-1.15028,0.890458,-0.191974,0.0462576,0.648961,0.444436,-0.669868,-1.15183,-0.941885,-0.485105,0.886046,1.3883,1.52689,1.85977,-1.6954,-1.9413,1.74749,-0.186922,0.414259,0.492613,-0.0406598,1.10316,2.03073,-0.634344,-0.0747805,1.60459,1.32486,0.287907,1.41283,-2.0448,0.166701,-0.518658,-0.00649443,-0.61333,1.89639,3.02826,-4.96172,-4.20055,5.84605,0.94437,-1.39043,1.9031,-0.0916883,1.00126,0.194586,-0.788412,1.2328,2.31707,0.687959,0.462895,-0.964222,0.178852,-0.310892,0.504918,-1.25538,-1.15141,-0.474332,-1.62111,1.56094,2.01714,1.86934,2.04067,0.0411314,0.723575,0.0632736,0.588477,1.43286,0.979129,0.544688,0.099738,-1.93302,1.622,-1.85416,-0.537545,0.749116,0.116008,0.321139,-0.477086,0.641981,-1.39114,-1.01349,-0.740527,-0.571281,-1.06423,-0.4239,-0.201068,1.13224,0.168571,0.987008,-0.869137,-2.27529,3.37711
-150.687,0.998845,0.077483,6,63,0,176.596,-0.443304,0.864446,0.598859,-0.592128,-0.0534459,1.24234,-1.45105,0.00308929,-1.82078,-0.039745,0.854312,-0.892313,-1.93966,-1.44151,-0.185954,0.630806,-0.117741,0.400904,-0.559811,1.2817,1.30208,0.218024,1.60087,-0.2478,-1.59108,-2.22161,-2.49612,-0.119457,-0.761741,0.223011,-0.482435,-1.40555,-0.845327,-0.466753,-0.141886,1.63283,-1.698,1.80134,0.371842,-0.475291,0.380037,-0.877707,0.845551,-1.18239,1.70772,0.538084,1.13039,0.970649,1.64058,0.519749,0.876815,-0.0789993,0.0623339,0.695664,-0.505605,-0.830342,-1.32423,-1.23155,2.61295,-1.06015,-0.828137,3.82379,-0.726637,1.56781,-0.57957,-1.54191,0.545897,0.110479,0.92425,2.64085,-1.60442,0.022041,-1.15647,0.199014,1.039,-0.326072,-0.0243393,0.202627,-0.859042,-0.343375,2.63516,1.43805,-0.757237,-0.911292,0.188898,-0.259066,0.558698,0.317153,-0.0266539,0.486759,0.39878,-0.487824,-0.784696,-0.505107,-0.633226,0.58109,0.24531,0.477901,-0.163858,1.776,-0.442764,-1.45194,-1.58935,1.01983,0.18147,1.14781,0.165666,0.251139,-1.11409,0.619912,-0.217198,0.103723,0.574117,-4.91523,-4.09044,4.4989,3.28608,-5.75543,-1.94795,1.14184,-1.37531,0.047206,-2.70022,0.155257,1.04132,-1.19886,-1.72015,-1.41671,-1.69414,0.745471,-0.0141366,0.291361,-0.624208,1.41018,1.35226,0.315334,1.67714,-0.14148,-1.50199,-2.16881,-2.36542,-0.0249012,-1.33245,0.105311,-0.446294,-1.31361,-0.818668,-0.433633,-0.351282,1.3774,-1.698,1.73435,0.36702,-0.780618,-0.169563,-0.772522,0.917046,-1.05682,1.71753,0.541036,1.19988,0.866526,1.64206,0.519749,0.545861,-0.214117,0.0623339,2.25527,-0.765178,-0.843611,-2.37397
-148.844,0.994566,0.077483,6,63,0,179.898,-0.362623,0.862254,-0.0173955,-0.945899,0.387966,-0.355338,0.438174,-0.521744,1.35934,-0.860795,-0.851796,1.49847,1.89285,1.037,2.7936,-1.03256,-0.635516,0.323535,0.588413,-0.478095,0.564486,-0.647436,-1.43768,0.256597,1.41547,1.45277,2.02959,0.746786,1.02252,1.17948,0.359954,-0.141026,0.432087,0.550033,-0.0769694,0.305468,1.50769,-2.335,-0.887745,0.600237,0.142049,-0.26923,-0.703728,1.08585,-1.09476,0.10673,-1.69672,-0.790389,-1.2785,-0.519061,0.769106,0.189818,-0.0975999,-0.641152,-2.75051,-0.0452585,-1.04562,-2.70497,-2.51394,-3.77893,-0.480993,5.15541,-1.35378,1.46713,0.016085,0.27211,-0.788862,-1.98132,0.216377,-1.56559,0.791196,-0.413388,-0.661615,0.0281913,0.862644,0.604703,-1.03342,-1.1847,0.766171,-1.91055,2.65801,-0.0546603,0.389236,-0.914791,-0.485234,-0.330328,-0.713767,-1.14544,1.97076,-0.473605,-0.892452,-0.165997,0.293947,0.842278,0.105493,0.32115,1.72408,0.499843,1.09427,0.238846,-0.306427,0.108643,1.27369,-0.249511,1.88929,0.417584,0.138009,0.052233,0.0393154,-2.0436,-0.80705,-0.388118,-0.0454811,3.20077,-0.943237,7.20564,0.335812,-7.3129,4.31432,-0.380025,0.493389,-0.51071,1.34374,-0.757025,-0.804241,1.42191,2.01835,1.04865,2.21488,-0.992465,-0.582326,0.294335,0.562375,-0.428422,0.579069,-0.62729,-1.43002,0.296686,1.47702,1.50771,2.15049,0.837135,0.999827,1.06131,0.370194,-0.101886,0.44468,0.560711,-0.179436,0.155202,1.50769,-2.35224,-0.880963,0.588152,0.0869429,-0.241575,-0.688879,1.11319,-1.09178,0.0982301,-1.68517,-0.801422,-1.28557,-0.519061,-0.0538618,0.715424,-0.0975999,-1.91957,-0.911158,-0.57743,-1.51032
-152.129,0.99829,0.077483,6,63,0,181.251,1.00805,0.560296,0.0865194,0.394543,0.0439954,0.827261,-0.0753085,0.450407,-1.43381,0.682687,0.545727,-1.27331,-2.22823,-1.33991,-2.44245,1.08872,0.46143,-0.0737231,-0.675904,0.802789,-0.509266,0.900733,1.28899,-0.220058,-0.551987,-1.46542,-2.57899,-0.310824,-1.19016,-1.0743,-0.706458,-0.108797,-0.409752,-0.717844,0.1361,0.497728,-1.51845,2.24026,0.770884,-0.270637,0.0715614,-0.0811965,1.32352,-1.20008,1.66992,-0.211714,1.36064,0.656611,1.26038,0.639744,-1.5413,-0.185646,0.315141,-2.0513,-0.514764,-1.14521,-1.40481,0.768275,3.62308,2.51217,-1.79006,4.74791,-0.203671,-2.09572,-0.0477662,-0.145728,-1.05277,0.879157,-1.2288,-0.443635,0.354006,-0.854569,-0.537921,0.572391,-3.01231,0.232431,-1.74313,0.130068,-0.47776,0.676077,-0.414315,-2.22331,-0.730005,0.829067,-0.88773,0.950752,-0.078321,1.02825,-0.840478,-0.7102,1.60249,0.245675,-0.685461,0.238525,-0.497403,0.544293,1.33598,-1.16498,1.38476,-0.0890993,0.298237,0.386737,0.513741,0.233391,-0.129985,0.61938,-0.316623,2.19749,-0.658882,-0.677987,-0.336785,-1.54917,0.488039,0.856658,4.69822,0.0214423,-0.0835744,4.77274,1.02341,0.836605,-0.0679622,0.456703,-1.42497,0.697438,0.559533,-1.26896,-2.21522,-1.33343,-2.45632,1.09605,0.468804,-0.104256,-0.669981,0.806076,-0.523164,0.913494,1.29577,-0.212632,-0.549222,-1.45802,-2.56976,-0.316649,-1.18082,-1.06661,-0.69975,-0.101355,-0.403481,-0.71126,0.145647,0.496896,-1.51845,2.33803,0.876436,-0.16997,0.0956885,0.0617373,1.34091,-1.09274,1.49798,-0.160826,1.45046,0.734498,1.28337,0.639744,-1.52162,0.148913,0.315141,-0.893607,-0.340458,-0.774293,-0.253703
-147.708,0.992178,0.077483,6,63,0,181.384,-0.680248,0.88319,-0.077352,-0.231946,0.0330222,-0.674802,-0.237759,-0.51154,1.86561,-1.0398,-1.14902,1.73694,1.64837,1.14467,2.99395,-1.1896,-0.299342,1.11796,0.986808,-1.12363,0.685728,-0.618726,-1.08586,-0.175735,0.426235,1.25767,2.0621,0.491312,1.88117,1.33177,0.667931,-0.38641,0.0932629,0.937692,0.34966,1.22633,1.76642,-2.07246,-0.868251,0.830611,0.432234,-0.290337,-1.4478,1.00107,-1.48262,-0.221927,-1.73465,-1.00283,-1.36614,-0.645233,1.6288,0.29981,-0.294044,-0.177522,-1.31062,0.344248,-0.821195,0.265942,1.61912,-2.21227,0.709972,7.51837,-2.45281,-1.48733,0.403811,0.362718,-0.404962,-1.0553,1.3727,-0.456432,0.539238,0.0657168,1.0611,1.25044,0.735345,0.88814,-1.52733,-0.394788,-0.434924,1.64038,0.8111,0.28127,-0.232433,-0.125375,-1.76409,-0.0306336,0.955031,1.14483,-0.537541,-0.900028,1.024,1.76253,1.04417,0.583928,0.499365,0.214513,0.277968,2.40131,0.191827,-0.422689,0.983911,-0.699345,1.53056,0.707749,2.03769,0.0582678,1.08879,0.85068,-1.40644,-1.22585,-0.755926,-0.416628,1.79292,3.59787,2.98144,3.93777,-0.0997766,-1.44453,0.368443,-0.738873,-0.100334,-0.458242,1.91994,-0.812158,-1.01693,1.71291,1.94707,1.18419,2.57581,-1.06366,-0.165991,0.941038,1.01152,-1.11951,0.628212,-0.56348,-1.06775,-0.0738849,0.545363,1.38444,2.34045,0.468826,1.91926,1.43475,0.699663,-0.286574,0.150541,0.973192,0.265713,0.915752,1.76642,-2.13506,-0.810837,0.809509,0.369039,-0.11247,-1.40685,1.17002,-1.52596,-0.18753,-1.67503,-0.989887,-1.36146,-0.645233,1.75295,2.09373,-0.294044,-1.10847,-0.703257,1.15097,-2.25888
-142.278,0.992737,0.077483,6,63,0,177.437,0.0894013,0.393464,-0.0392997,-0.217425,0.125718,-0.324898,-0.814066,1.29312,-0.922171,-0.675045,0.751469,-0.412931,-2.29245,-0.849695,-0.238841,0.138465,-0.552802,0.294933,-0.196848,0.135814,-0.12051,-0.50524,2.02087,0.446912,-0.966525,-1.44709,-1.76655,-0.45149,-0.00327606,-1.10935,-0.24246,-0.298331,-0.220193,-0.860001,0.0134474,-0.350391,-1.53279,1.39457,0.00154678,1.71041,1.47002,1.27835,1.1283,-1.88866,1.21682,0.858973,2.37368,0.0619566,2.31195,-0.0945785,0.848125,-1.09349,-0.117504,-0.81244,-1.1944,0.236549,-0.785699,-0.215583,-2.60252,0.882024,-0.677256,-7.15197,1.12027,0.131972,-1.18851,-2.47368,0.659746,-0.104471,-1.1596,-0.863845,-0.953537,-0.333233,0.771974,0.0260045,0.420928,-0.961699,2.03209,0.0293569,1.15876,-0.748654,-0.47807,-0.457249,-1.08649,-2.61888,-0.754206,-3.48362,0.41739,-0.805403,0.582053,-0.282672,-0.575624,-0.31028,-0.455437,-0.908984,1.6001,0.776325,-2.16644,-1.40891,-1.51097,0.737688,-0.0870234,1.54381,0.225549,0.569398,1.41583,-0.00417115,0.87429,-0.110593,-1.63358,0.448739,-1.24,0.19485,-0.356842,-2.62572,0.78687,-2.07396,0.327823,-1.23429,-1.35455,-0.313642,-0.734946,1.35881,-1.00964,-0.536259,0.873644,-0.540819,-2.17209,-0.822431,-0.565023,0.215814,-0.473918,0.152366,-0.232502,0.145337,-0.170578,-0.440392,2.06468,0.508697,-0.918007,-1.39339,-1.65453,-0.430651,-0.068775,-1.15375,-0.20873,-0.243228,-0.161696,-0.826029,0.0587372,-0.676885,-1.53279,1.45445,0.084157,1.5267,1.36796,1.48657,1.18844,-1.7433,1.12295,0.848591,2.47175,-0.031056,2.24735,-0.0945785,1.3779,-1.17715,-0.117504,-0.840277,-1.06369,0.807668,-1.62741
