# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1985537789
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_null_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled.1,p_gamma.1,p_aux_unscaled.1,g_gamma.1,g_aux_unscaled.1
-86.6861,0.997059,0.197767,3,11,0,87.4785,0.324757,-0.842707,0.872991,-3.85226,0.222704,0.484518
-87.1316,0.99673,0.197767,3,15,0,87.2855,0.515167,-1.0892,1.19363,-1.4517,2.82592,-1.50577
-87.2539,0.999373,0.197767,4,15,0,87.5327,0.377766,-1.24703,2.97425,0.142449,0.848146,-3.15375
-87.8018,0.995029,0.197767,4,31,0,88.9639,0.691509,-1.06085,-4.80208,-2.90848,5.10804,-0.661024
-88.8584,0.995568,0.197767,5,31,0,89.4206,0.865222,-1.07389,4.20901,-0.339872,6.96374,0.100159
-87.8065,0.999978,0.197767,4,15,0,89.1401,-0.00473537,-0.736565,-6.5106,0.229817,-6.57948,2.13342
-87.2551,0.999101,0.197767,4,15,0,88.3856,0.540932,-0.746244,4.75753,-2.84732,4.14293,1.69158
-86.8022,0.999896,0.197767,4,15,0,87.4156,0.323965,-1.06661,-3.69198,-1.89262,0.183452,-1.53048
-87.1539,0.996141,0.197767,4,15,0,87.7282,0.468316,-0.663414,4.18956,0.669706,3.06305,2.21833
-87.4167,0.995384,0.197767,3,15,0,88.2049,0.123986,-1.23113,3.18322,3.01285,-2.61937,-2.83068
-87.9019,0.997262,0.197767,4,15,0,88.4763,-0.0474989,-1.12674,3.16626,-2.23919,-5.71596,-1.31037
-86.7835,0.998529,0.197767,3,15,0,88.5517,0.239676,-0.779157,-6.24673,-3.23842,-1.38735,1.08377
-86.8799,0.997241,0.197767,4,15,0,87.3485,0.158328,-0.931832,-3.33498,1.51844,-2.67579,-0.153708
-87.6144,0.994255,0.197767,3,15,0,88.0843,-0.00941818,-1.05276,-3.11027,-1.79151,-5.34347,-0.766212
-88.121,0.997261,0.197767,4,15,0,89.0557,0.484265,-0.393199,-5.03399,-1.63904,4.08389,4.48647
-87.7395,0.999922,0.197767,4,15,0,88.6131,0.555807,-0.576931,0.447579,-4.09258,4.99634,3.21912
-88.2068,0.990503,0.197767,2,7,0,88.8894,0.618034,-0.543989,-4.38396,-1.23617,6.33876,3.76356
-88.7285,0.993669,0.197767,2,3,0,88.7662,0.651529,-0.473466,-0.0765729,0.851536,7.35817,4.53387
-86.7232,0.997169,0.197767,3,11,0,89.4078,0.251552,-0.833364,-7.28062,-4.4388,-1.11022,0.593995
-87.662,0.993058,0.197767,3,7,0,87.7244,0.123793,-0.53243,1.40751,0.0602769,-4.38116,3.41988
-88.2311,0.997423,0.197767,4,15,0,88.4522,0.674003,-1.32145,-1.42627,-1.74205,3.93189,-3.23082
-88.5434,0.995424,0.197767,4,31,0,89.8481,0.315908,-1.53991,6.40513,-0.566723,0.0588168,-5.81255
-87.1703,0.999967,0.197767,4,15,0,88.8083,0.145232,-0.679362,1.63963,5.47755,-3.49995,2.11806
-86.8913,0.99787,0.197767,4,15,0,88.1768,0.156508,-0.873955,1.05398,-4.91443,-2.82879,0.372811
-86.9177,0.999366,0.197767,4,15,0,87.2253,0.241699,-1.11297,2.22028,-1.71782,-1.03523,-1.92158
-87.3616,0.996884,0.197767,4,15,0,87.7203,0.563003,-1.13876,3.07489,1.09345,3.30134,-1.84662
-86.8319,0.996465,0.197767,4,15,0,88.5035,0.401057,-1.04645,4.71667,-4.33507,1.32905,-1.30358
-87.487,0.987791,0.197767,3,13,0,89.7815,0.6307,-1.02478,8.50319,0.684988,4.50499,-0.559094
-86.7859,0.99592,0.197767,4,15,0,88.7065,0.263139,-1.04317,7.81364,-0.266291,-0.756098,-1.30168
-86.9315,0.99845,0.197767,4,15,0,87.1754,0.477891,-0.830721,2.61818,-0.743647,2.85972,0.768951
-88.4303,0.992843,0.197767,3,15,0,88.8821,0.715732,-1.33008,-0.62819,2.91286,4.28912,-3.16603
-89.5583,0.995821,0.197767,3,7,0,89.8181,0.904566,-1.39184,-1.50887,1.90741,5.57755,-2.95789
-86.8899,0.99462,0.197767,3,15,0,91.3182,0.362266,-0.687638,9.47419,-5.5761,0.984857,1.85436
-86.7275,0.99982,0.197767,3,7,0,86.943,0.296101,-0.787434,1.37431,1.73666,-0.304391,0.974155
-86.9389,0.998412,0.197767,4,15,0,87.0314,0.492119,-0.931796,0.713288,-1.21578,2.85986,-0.112229
-87.433,0.996721,0.197767,3,15,0,88.0547,0.172236,-0.546206,3.77759,-1.83087,-3.20073,3.1831
-87.1793,0.998086,0.197767,4,31,0,88.0147,0.557086,-0.866902,2.794,-3.37652,4.02057,0.654686
-87.3914,0.999568,0.197767,4,15,0,87.7746,0.406848,-1.27983,-3.40382,-0.612735,1.1761,-3.4297
-87.0975,0.999812,0.197767,4,15,0,88.0432,0.232382,-1.18807,-4.56909,2.36759,-1.10575,-2.59931
-86.7657,0.999972,0.197767,3,7,0,87.1363,0.336567,-1.03802,1.31981,2.47021,0.37831,-1.26848
-86.9087,0.99929,0.197767,4,15,0,86.9814,0.191566,-1.06414,1.21954,-0.709403,-1.87568,-1.41717
-87.8741,0.99459,0.197767,3,15,0,88.1886,0.153752,-1.37934,0.0257581,-2.46425,-1.93281,-4.24641
-87.5337,0.999981,0.197767,3,7,0,87.9168,0.142815,-1.28376,0.649287,2.67243,-2.24461,-3.35244
-86.7789,0.993147,0.197767,3,15,0,89.5609,0.387834,-0.785972,-4.91917,-6.24921,1.3809,1.02115
-86.8607,0.999201,0.197767,4,15,0,87.021,0.449692,-0.993606,1.76178,1.10135,2.10891,-0.757486
-87.0463,0.999155,0.197767,4,15,0,87.1533,0.106745,-0.958253,-0.330449,-1.41409,-3.55058,-0.273739
-86.77,0.999108,0.197767,4,15,0,87.34,0.399639,-0.815181,-4.08584,-0.940877,1.55821,0.776184
-87.0022,0.990401,0.197767,3,15,0,88.5698,0.45431,-0.720391,-4.13707,-4.46047,2.68165,1.6948
-86.7848,0.999992,0.197767,4,15,0,87.1188,0.356499,-1.04466,-2.56457,-1.56901,0.675482,-1.32124
-86.9667,0.990756,0.197767,3,15,0,88.7951,0.158915,-1.05518,-7.63112,0.00669383,-2.42444,-1.28006
-87.0345,0.998997,0.197767,4,31,0,87.3256,0.466773,-1.10374,-2.49643,-1.35777,2.1613,-1.73679
-87.9032,0.992243,0.197767,3,15,0,89.1612,0.222335,-0.385506,-3.08014,4.30583,-2.27524,4.37782
-88.1377,0.996658,0.197767,1,3,0,88.3051,0.207273,-0.342304,-0.942429,1.6413,-2.73453,4.73289
-87.7585,0.982093,0.197767,3,15,0,91.1106,0.68467,-0.930795,-5.68264,6.71962,5.59663,0.555637
-87.7943,0.999889,0.197767,4,15,0,88.5233,0.459193,-1.36629,-4.80648,-0.264708,1.66538,-4.1574
-88.2163,0.998749,0.197767,4,31,0,88.6469,0.286839,-1.48044,-3.60602,0.656653,-0.254721,-5.27997
-88.4757,0.998289,0.197767,3,7,0,88.6673,0.34275,-1.52722,1.0642,1.73585,0.332088,-5.69678
