# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1610726768
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_treatonly_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,z_b.49,z_b.50,z_b.51,z_b.52,z_b.53,z_b.54,z_b.55,z_b.56,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_z_b.49,p_z_b.50,p_z_b.51,p_z_b.52,p_z_b.53,p_z_b.54,p_z_b.55,p_z_b.56,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_z_b.49,g_z_b.50,g_z_b.51,g_z_b.52,g_z_b.53,g_z_b.54,g_z_b.55,g_z_b.56,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-165.083,1,0.0529938,6,63,0,202.138,0.0131067,1.03503,-1.29131,-0.575831,0.0844168,2.10223,0.515108,1.0852,0.131156,0.0998984,-0.364819,-0.019579,-0.810631,-0.867359,2.77741,0.561539,0.652425,-1.09014,0.896882,-0.968945,-0.605587,0.6371,0.565012,0.126229,0.156476,-0.595351,-1.27284,0.246698,0.641026,-0.340079,-0.95964,1.40923,1.2072,0.0534456,-0.117021,-0.665483,0.756627,0.0747486,-0.447413,-1.01561,0.798522,1.36549,-0.846225,0.132116,-2.07105,-0.00384318,0.278511,0.823721,-0.91414,-0.589364,1.72889,-0.445624,-0.877772,-0.914205,-0.0104372,0.073648,-0.572308,-0.716353,-2.35476,-0.730452,-0.65366,-0.982923,-1.09588,4.1129,0.510595,2.35513,2.52151,1.25414,-1.41094,-0.541981,1.295,0.173844,0.294816,2.03404,-1.26959,0.401153,-0.622599,-0.150632,-0.878986,-0.260927,-0.36687,0.474499,-1.5181,-0.110882,3.41879,-0.296235,0.503528,-1.85866,1.04581,0.501489,-0.84651,1.02503,0.76774,1.19862,-0.124284,0.198551,0.312522,-1.29128,1.10171,0.200647,0.325378,0.0937562,-0.676165,0.710049,-1.18597,0.521183,-0.700353,-1.84067,0.134307,-1.01977,-0.467095,1.46658,1.48069,-0.729172,1.75815,-0.265299,0.599097,0.112352,1.71273,-1.03466,-1.99169,-1.11859,-1.18799,0.290147,-0.715176,5.86715,-1.28885,-0.565103,0.087655,2.09524,0.524295,1.10852,0.146885,0.0983588,-0.342764,-0.0227026,-0.80725,-0.856371,2.7825,0.468114,0.663907,-1.07868,0.8973,-1.01889,-0.601059,0.644743,0.544464,0.137181,0.159959,-0.584296,-1.26764,0.257991,0.639984,-0.322087,-0.971244,1.41302,1.20704,0.0616863,-0.113563,-0.654481,0.76108,0.0784129,-0.477156,-1.02611,0.765362,1.36549,-0.981065,0.246968,-2.20393,-0.357619,0.508736,0.857727,-0.720318,-0.858059,1.75505,-0.333579,-0.845444,-0.896746,-0.0104372,-0.686768,0.0484952,-0.716353,-0.926356,-0.0882167,-0.891156,-2.7103
-174.543,0.996211,0.0529938,6,63,0,202.318,-0.800678,0.844444,-0.926476,2.0452,-1.47239,-1.89132,-1.7253,0.294699,1.10792,0.344168,-1.88567,1.92853,0.302808,0.109267,-2.46641,-0.117816,-0.585829,2.49054,-0.0714383,-0.303596,-0.15822,0.162584,-0.54079,0.603146,1.13465,-1.45114,-0.634605,0.236224,-0.248039,-0.576202,-2.31933,-2.34544,0.0464484,0.221633,0.284677,0.251252,-0.471364,-0.472326,1.12054,1.31206,-0.308503,0.34169,-1.03053,-1.79199,-0.200057,-0.525183,0.186875,0.054435,0.238801,-0.357851,-0.667382,-0.571289,0.100478,-0.0562425,-1.31646,1.57203,0.155992,-0.562906,-0.530811,-0.979488,0.0767033,-1.2022,-1.55885,4.67915,-1.66572,0.0133164,-0.580074,1.57894,-0.172528,1.31603,0.433743,0.169628,-0.955494,0.630193,-0.884732,-0.87634,2.04336,0.255785,0.476168,-0.690352,1.01908,-1.23557,-0.710099,0.729001,0.553967,0.288887,0.400154,-0.944474,-1.52734,0.393849,0.590982,-0.513177,-1.82776,0.693029,1.27073,0.121506,-0.0347703,-0.573423,0.739838,0.0064775,-0.322193,-0.933392,0.546501,1.56572,-1.08473,-0.252634,-2.60774,-0.34118,0.544146,0.964654,-0.759613,-0.793737,1.8172,-0.535374,-0.931903,-1.07851,-0.426282,0.76574,-1.71249,-0.983503,-1.49971,-0.175529,1.52617,-1.21544,-8.15087,0.679053,-1.01023,2.0915,-1.45612,-2.00866,-1.70072,0.37927,1.17116,0.302361,-1.80743,1.87764,0.317842,0.149078,-2.45676,-0.6073,-0.543104,2.53753,-0.127119,-0.620185,-0.162503,0.157002,-0.700934,0.627331,1.14989,-1.41454,-0.623728,0.274597,-0.298029,-0.528376,-2.51955,-2.33554,-0.0326191,0.18118,0.298342,0.291311,-0.452506,-0.459477,0.943053,1.26872,-0.546284,0.34169,-1.12138,-1.80166,-0.386846,-0.802823,0.287891,-0.0579447,0.322065,-0.643989,-0.783765,-0.527046,0.0806497,-0.0904716,-1.31646,-0.826969,-0.0483261,-0.562906,0.283064,-0.143006,-3.72346,-6.44608
-177.751,0.995424,0.0529938,6,63,0,209.452,-0.450315,0.801764,-0.74073,1.85368,-1.16407,-2.66947,-1.77879,-0.0737913,1.58072,0.305816,-1.94951,0.856378,0.314256,0.045565,-1.90966,0.184848,0.200653,2.1169,-0.717209,-0.308947,-0.417815,1.75084,-0.84383,0.327142,1.39738,-1.16927,-0.301344,1.18345,0.796928,-1.66939,-2.13822,-2.58181,-0.0492997,0.803487,0.344524,0.148048,-0.130403,-0.228538,0.154791,0.694029,-0.294554,-0.366635,-1.23212,-1.20027,-1.10758,-0.461231,0.149231,0.409019,-0.0295594,-1.20878,-1.26873,0.219999,0.323324,-0.405385,-1.16829,2.03159,-0.59072,-1.60042,-0.376028,-1.11668,-0.269785,-1.28209,3.6115,-1.02822,0.600816,-0.937905,0.843551,-0.621357,0.437482,-0.657983,0.493382,-0.152884,0.443877,-2.2053,-0.0716458,-0.148818,1.56656,0.576035,1.26342,-1.44636,-1.29139,0.182436,-0.306042,2.54847,-0.410843,-0.696591,0.142142,0.929675,0.746567,1.17329,1.66842,-1.50933,1.03838,0.339145,-0.150643,0.981768,0.0077273,-0.234281,0.740242,0.597679,-1.97857,-1.55762,0.192124,-1.25868,-0.108706,1.52239,-1.63437,0.34853,-0.140938,0.668249,-0.534117,-1.54832,-0.950409,1.67856,0.296016,-0.622548,0.629259,1.13148,-1.66977,-1.28984,0.0685805,-0.157409,-0.0781591,0.908466,-5.1181,0.839455,-0.779731,1.90099,-1.14328,-2.80255,-1.74657,0.0131923,1.65362,0.274575,-1.86789,0.806946,0.333258,0.0865252,-1.89691,-0.231165,0.246568,2.16498,-0.770255,-0.581106,-0.417595,1.7613,-0.988097,0.363098,1.41718,-1.12928,-0.28204,1.2263,0.780578,-1.62011,-2.28578,-2.56899,-0.10819,0.796397,0.36191,0.189188,-0.105592,-0.210887,-0.0194346,0.662948,-0.522582,-0.366635,-1.28231,-1.1793,-1.24729,-0.626381,0.230092,0.366211,0.0387666,-1.39107,-1.33119,0.260112,0.317594,-0.425647,-1.16829,0.978043,-0.606182,-1.60042,0.499719,-0.097738,-2.36769,-5.95839
-170.462,0.998763,0.0529938,6,63,0,201.25,-0.223084,0.936015,0.708442,1.5345,-0.931564,-1.81959,-1.20015,-0.306309,0.542948,-0.337696,-1.10081,1.33821,-0.567596,-0.133358,-0.750166,1.16908,-0.105101,1.51347,-1.13039,-0.278551,-0.804283,1.40067,-1.49732,-0.190443,2.1012,-0.712245,-0.606607,0.771266,1.13386,-1.41512,-0.917414,-3.10901,1.64822,1.19566,1.26923,0.181546,-0.89891,-0.939379,0.397563,0.193144,-0.27512,-0.235122,-0.65885,-0.915215,0.0209311,-0.751483,1.06273,0.351206,-0.753761,-0.753258,-0.431352,0.648195,-1.07755,0.0137506,-0.487034,1.37258,-0.068625,-1.71412,0.220756,-1.15981,0.335525,-1.23173,2.35564,1.6131,1.71418,-1.17195,0.689684,2.07908,1.24316,-0.224495,-1.8614,-0.743582,1.59476,0.0622735,-1.23742,-0.22214,1.8556,0.901931,-0.36618,-1.64724,-0.162774,0.341111,-0.108992,-1.13713,-0.337729,-0.747288,0.143724,0.988402,-0.179445,-0.87686,-0.0600846,0.947479,2.17112,0.689569,1.7384,0.0466616,0.71661,-0.0678391,-0.771513,-0.719065,0.293817,-0.860248,0.284114,0.291364,1.33571,0.806099,1.86166,-0.0795118,0.796051,-0.233275,-0.720657,1.18047,1.57964,0.385059,-1.29788,0.655528,1.15921,-1.32128,0.945209,0.633775,0.289359,0.0972443,2.06179,2.95748,0.308588,3.39515,0.786323,1.63495,-0.88823,-1.98691,-1.13489,-0.121357,0.691445,-0.384165,-0.926759,1.35081,-0.537511,-0.0450245,-0.720239,0.637811,-0.0095361,1.61438,-1.18439,-0.606747,-0.796729,1.45942,-1.74724,-0.0812521,2.15645,-0.625168,-0.555691,0.863793,1.16807,-1.29073,-1.05248,-3.09253,1.70564,1.29963,1.31646,0.271516,-0.852802,-0.908804,0.184301,0.152777,-0.547436,-0.235122,-0.667148,-0.849252,-0.0534575,-0.830584,1.15758,0.364451,-0.675062,-0.868893,-0.420653,0.68965,-1.07977,0.0199805,-0.487034,0.715708,0.728748,-1.71412,0.796803,-0.5255,-0.557645,-5.75693
-158.872,0.998656,0.0529938,6,63,0,195.366,0.121112,0.618816,-1.21322,-0.28366,0.28449,0.44817,0.317712,-1.67035,-1.19775,-0.372113,0.472146,-0.939106,0.20962,0.333127,0.765772,0.238724,-0.47418,-0.647321,0.721214,1.69406,0.514172,-0.825758,1.62272,-1.77333,-0.883369,-1.37077,0.796233,-0.827878,-1.89619,0.313374,0.424067,0.90902,-1.69215,-0.08777,-2.66662,-0.305125,2.61203,-1.69518,0.0722198,0.713767,1.53433,-0.11981,0.768444,-0.232459,0.471224,1.16602,-1.5671,-0.0243752,-1.60994,0.586089,-0.239363,-0.941342,0.431288,0.189988,-0.269137,0.23349,-0.408127,0.680714,-1.75695,-0.607206,-0.213564,0.353818,-0.996811,-1.58636,-0.13398,-2.02716,0.650513,2.53785,0.967327,0.711144,-0.690507,0.989201,0.570075,-0.666998,0.539972,-0.314459,0.388618,-0.374891,-0.0900868,-1.84457,1.1144,0.126064,0.671035,-1.16251,1.61563,0.625908,-2.25758,1.09603,0.315959,-0.636415,-0.220593,1.09803,1.30853,2.97772,-1.00547,-1.36716,-0.381883,-0.377511,-0.0880224,1.52722,-0.0540959,-0.713588,0.499479,0.310521,-0.315809,1.07946,-0.0834885,-0.229189,-1.82432,-0.290376,1.05624,-0.240127,2.68198,-0.934484,1.24169,-0.155239,0.657287,-1.39336,-1.66368,1.53158,-0.70988,-1.78025,-0.0222929,2.13206,3.50815,-1.42616,-1.30608,-0.0406283,0.409506,0.453269,0.45021,-1.45378,-0.928487,-0.436953,0.667549,-1.22026,0.280234,0.536126,0.817183,-0.170609,-0.198325,-0.542648,0.879325,1.4373,0.602804,-0.860943,1.60508,-1.66004,-0.813149,-1.29476,0.771116,-0.70373,-2.07953,0.423946,0.16041,0.941826,-1.75398,-0.233619,-2.61785,-0.115654,2.67093,-1.67708,-0.0717305,0.89852,1.20727,-0.11981,1.48801,0.1254,0.616751,1.69597,-0.8062,-0.582015,-0.928524,1.2419,-1.60339,-0.44771,0.729363,0.176799,-0.269137,-0.868639,4.70807,0.680714,-1.97416,-1.20246,-2.53769,-4.30936
-145.013,0.997915,0.0529938,6,63,0,176.738,-0.865675,1.11531,0.639248,-0.878976,-0.124317,0.246917,-0.787259,0.617157,0.129378,0.967931,-0.564745,1.71848,0.138721,-1.18015,-0.691703,2.13311,-1.4415,0.211756,-0.403492,0.24911,-1.06587,-0.0124851,-0.411718,-0.105394,0.696611,0.0282579,-0.0989778,-0.935559,1.72618,-0.216826,0.497787,-0.549781,2.05982,1.03426,1.25442,-0.243789,0.565689,-0.189621,0.764629,-0.159008,0.631584,0.705513,0.104202,0.0984397,-0.00468555,-0.482491,-1.10499,0.172356,-0.747167,0.770673,-0.160142,-0.0726308,0.382326,-0.439407,1.43603,0.722625,-0.394156,0.0417898,-0.504381,-0.411926,-0.593288,0.395327,1.54459,-2.08208,-1.61116,0.447198,0.812456,0.155384,0.323247,-0.0836933,-0.283871,-0.31474,1.66041,0.353351,0.424609,0.47138,0.625822,0.145373,-0.484418,-0.461826,0.0595403,-0.387592,-0.643792,-1.35843,0.975419,-2.63849,-0.622175,-1.17923,1.1343,-1.03432,-1.23885,0.201951,-0.412016,0.828659,-0.811842,0.992888,-2.31838,0.401146,3.30295,-1.95753,-0.287827,1.38289,0.273267,0.156355,0.199716,1.37967,-0.0232668,0.930135,-2.44336,1.2137,0.377358,-2.23324,1.3584,-0.337894,-0.218004,-0.15994,0.327345,-0.904567,1.218,0.777332,-0.733476,0.0534041,-0.311697,0.602241,-2.62542,6.63516,0.997826,-0.402036,-0.0400551,-0.800505,-0.717666,1.77733,0.724022,1.14696,-0.0487311,2.21899,0.202203,-0.823844,-0.67339,0.0829306,-1.20981,0.657307,-0.982088,-1.02878,-1.4802,-0.253746,-1.46086,0.0688163,0.775292,0.454641,-0.213251,-0.682306,2.54656,-0.133518,-0.158761,-0.527187,2.48754,1.41735,1.37937,0.366415,0.619971,-0.158616,-0.0164107,-0.456481,-1.63537,0.705513,-0.550314,1.26995,-3.02454,-2.30416,-0.156633,1.36021,-0.0478361,-0.818379,0.231413,0.515609,0.193863,-0.598675,1.43603,-1.44373,-0.268069,0.0417898,-3.41053,-2.09527,-2.06265,-7.12212
-148.18,0.994522,0.0529938,6,63,0,178.686,-0.811475,1.30704,0.945365,0.542259,0.721353,0.539324,-0.147856,-0.818154,-0.886405,0.0679084,-0.114521,1.80284,0.0598499,-1.22933,-0.785962,2.5488,0.146776,-0.0605065,0.173577,-0.645517,0.0354462,0.152515,0.0972335,0.220182,0.657503,0.241192,0.16257,-1.47522,0.866993,-0.377896,0.163458,-0.339638,0.908159,1.63175,0.0684147,-0.303455,-0.00301996,0.0809739,0.593553,-1.15557,0.924142,-0.167581,-0.0272962,-0.797492,0.425719,-0.277571,-2.05838,0.425539,-1.31612,0.453078,-0.484954,-0.234681,0.24443,0.174109,2.05155,0.369496,-0.482234,-0.168457,-0.549591,-0.222824,-0.228881,0.597422,-0.37888,1.26756,0.131872,1.92055,0.945701,0.474639,1.0283,-2.35412,-1.87726,-1.59558,0.677835,-0.796273,-0.206853,0.189766,0.0994174,0.123673,2.23751,-0.580432,1.03702,-0.651394,1.75213,0.389585,1.1373,0.39983,-0.315415,0.157513,0.571475,-0.358855,-2.21155,0.062666,-0.710495,0.462326,-2.2361,0.297036,-2.15447,-0.257121,-1.09453,0.513098,-0.292336,-1.48568,0.671216,-1.50724,-0.215937,-1.45074,0.877201,1.32543,-0.862927,-0.893458,-0.641449,-0.397662,-1.01084,-0.536319,-0.16808,0.642895,0.400511,-1.29472,-0.421506,-0.277289,-0.494446,-0.660087,0.98573,-0.577984,-4.86341,6.08602,0.503422,2.05373,1.00655,0.296761,-0.114975,-0.430235,-0.483642,-0.657132,0.219069,2.44278,0.0966989,-0.936821,-0.780621,1.55036,1.05439,0.0386175,0.685995,-5.0061,-0.0228053,-0.409307,-0.341598,0.580056,0.703729,0.69425,-0.385687,-1.43288,1.98114,-1.18735,-0.205786,-0.327406,-0.298065,2.2467,0.0936142,0.31372,0.00120176,0.0999218,-0.489371,-1.86561,-0.243729,-0.167581,-1.08496,-2.05567,0.961212,-3.0215,-2.96734,2.37608,-1.45649,-4.18791,-0.61756,0.465323,-0.790497,2.02115,2.05155,-5.83496,-1.12075,-0.168457,0.532138,2.57379,-2.18919,3.76343
-150.9,0.906409,0.0529938,6,63,0,177.41,-0.0948016,1.32899,0.683127,0.81049,1.40261,-0.00121224,-0.0764224,-1.12081,-0.84848,0.147457,-0.310681,1.6019,0.128286,-1.34192,-0.342059,2.3092,-0.619251,0.494442,0.288442,-0.384387,-0.0302653,-0.215582,-0.308753,-0.0462052,1.11699,-0.160607,-0.067542,-1.68534,0.123369,-0.5555,0.904477,0.313278,1.18238,1.67102,-0.442095,-0.722582,-0.10682,-0.566451,0.00637038,-1.43571,0.538872,-0.228144,-0.714525,-0.746531,0.555445,-0.020387,-1.70867,-0.114106,-1.40677,1.03255,-0.733717,-0.0338349,0.0694821,-0.180158,2.12116,0.233601,-0.894919,0.748276,-0.462158,-0.685064,-0.484754,0.474501,4.17299,-0.42611,-0.728653,0.11104,0.895203,-1.06045,0.151301,-0.460596,0.225769,0.308826,-0.474052,-0.908892,0.152466,-0.021361,1.03346,-0.703017,-1.57686,1.21942,0.126751,1.48909,-0.0985342,-0.677721,-0.9219,-0.631555,0.906075,-1.08506,-0.451102,-0.014472,-1.66961,-0.139893,1.53918,1.34832,0.473924,-0.487545,-1.07407,-0.831148,-0.235948,-1.57211,-0.922496,-0.213797,-0.583347,-0.0850934,-1.23986,0.454735,0.368874,1.0852,1.20304,-1.37494,0.0665378,2.01654,-0.343187,0.409454,-0.186446,-1.09733,-0.357727,1.33383,-0.914284,1.69163,0.456125,-0.41199,-0.738767,-1.16434,5.11302,10.9339,1.46504,2.23998,1.92656,-0.492681,0.00130863,-0.60733,-0.468145,-0.236577,0.431209,2.37803,0.173923,-0.881957,-0.326985,1.78617,0.220534,1.23671,1.40914,-1.81462,0.0271109,-0.627173,-0.421146,0.104353,1.18199,0.416292,-0.0835106,-1.58479,0.244259,-0.696165,1.25163,0.363741,1.52497,3.26885,-0.428249,-0.0317909,-0.0804744,-0.545356,-1.99067,-2.22129,-0.586978,-0.228144,-2.35617,-0.355777,0.824407,0.249301,-0.74516,0.616028,-0.606371,1.5079,-0.191269,0.556704,-0.155388,0.809051,2.12116,2.26101,2.15354,0.748276,4.41848,-2.44738,-2.63867,1.43979
-160.461,0.982866,0.0529938,6,63,0,185.465,-0.194063,0.310413,-0.300117,-0.581439,-1.9974,1.09056,-0.807111,-1.51385,-0.698252,0.0904015,0.306154,-0.368473,0.236308,-0.428768,0.717782,0.666176,-0.226598,-0.345825,-0.370779,1.69292,0.228259,-0.772276,1.28758,-0.113712,-1.2453,0.0746682,0.243899,1.12488,0.0360405,0.123768,-0.10658,0.26764,-0.98326,-1.72307,-0.756634,-0.086126,0.281706,0.687863,2.36118,2.05406,1.43825,0.121005,0.123123,-0.784574,-0.907116,1.12879,-0.238104,-0.0976567,-1.19805,-0.267701,0.127185,-0.396412,0.331136,-2.38684,-0.390387,0.478474,-0.170754,0.364416,-0.569286,-1.1234,1.16652,-0.884128,-1.01566,-8.09208,-0.914366,-1.53046,-0.467635,-0.7489,0.422426,1.79983,0.838275,0.241461,-1.07418,-1.95143,-0.356863,1.39302,-0.142105,-0.0448052,0.0412641,-1.0896,0.163746,0.313604,-0.416169,1.27193,-0.0980308,-0.172386,-0.92002,-0.396844,-0.195301,0.823562,-0.0940178,0.177998,-1.1333,-0.676238,0.0808473,0.0236196,0.809554,0.254716,-0.167149,0.305007,-0.99782,0.905856,0.47602,0.201974,0.997971,1.10241,-0.132059,0.213255,1.60742,-0.174197,1.55544,-1.48884,1.50944,-0.224374,-0.287246,1.35845,-2.21345,0.612155,-1.16496,-1.08081,-0.240119,0.646824,-1.57277,-1.42621,-0.473269,-6.21401,-0.3423,-0.505374,-1.9442,1.01587,-0.704506,-1.3831,-0.571191,0.00886664,0.447564,-0.46012,0.285353,-0.367048,0.768879,0.394419,-0.145362,-0.267516,-0.470224,1.45094,0.222816,-0.796995,1.17761,-0.0546205,-1.20521,0.138592,0.278462,1.19284,-0.0054543,0.226291,-0.231898,0.314503,-1.10488,-1.81356,-0.713843,-0.0226427,0.348884,0.737097,2.32082,2.15308,1.10831,0.121005,0.177342,-0.703192,-1.06534,1.0553,-0.0681468,-0.141882,-1.06214,-0.42986,0.0574378,-0.278751,0.30934,-2.47572,-0.390387,-1.08755,0.808752,0.364416,-1.66024,-0.677576,1.29425,-6.7488
-161.267,0.996634,0.0529938,6,63,0,193.693,-0.834126,1.40594,1.23354,-0.93126,-1.27874,0.407639,0.266979,0.528602,0.112643,0.72083,-0.242572,0.236447,-0.183696,-1.39969,-1.69688,1.54115,-0.562104,0.234905,0.878233,0.942877,0.165656,1.21135,0.36462,0.0750367,1.09341,-2.15579,-1.24356,-1.25017,0.272501,0.526137,0.712763,-1.60383,1.52077,0.987188,0.785384,-0.287159,-0.637084,-1.09463,-0.984185,-0.165954,0.645064,-0.113596,1.61559,-1.06654,1.05372,0.151525,-2.06139,-0.190169,-1.08261,-1.64947,1.11768,1.20225,-0.387789,0.058511,-1.31112,1.18292,-1.52895,-0.30729,-0.0360962,-1.73905,-0.671152,0.193285,-1.40621,-7.33733,1.39467,-0.365463,-2.65679,1.61688,-0.529258,-0.10341,-0.129098,-0.31438,1.37785,-0.697851,0.302408,-0.784334,0.17637,0.0146347,0.309238,0.310732,-1.70634,0.125096,0.05373,0.047774,-0.791226,0.825721,-1.01783,-0.265035,-0.788625,0.852371,-0.132836,1.59421,-1.5011,-0.240263,-0.58696,-1.51164,-0.421794,0.0265623,0.244241,0.62474,0.945155,2.87322,0.374549,0.0967224,0.405594,-0.582004,-0.97626,1.35817,-0.178145,-0.435174,-1.33982,-2.23084,0.271351,-0.153228,-0.0875325,-2.73996,-0.830084,-0.865207,0.482414,0.256829,-0.0266828,1.25973,-0.330405,-4.55258,0.736339,10.6319,2.86321,-0.24003,-1.25254,-0.674487,0.39366,2.19762,0.663565,0.158938,0.856861,0.377737,-0.170663,-1.32268,-1.6938,-0.965166,0.214003,1.1671,1.62561,-0.110081,-0.178044,1.8208,-0.676835,1.03251,1.17792,-2.09663,-1.65087,-1.14823,0.452591,1.78618,0.772683,-1.60033,1.89995,2.45734,0.845401,-0.0399356,-0.608558,-1.0883,-3.76399,-0.795369,-1.92284,-0.113596,1.2728,-0.739902,0.519563,-0.0376178,-1.5499,-0.00989822,-0.887607,-1.87864,1.41564,1.22407,-0.550363,0.168547,-1.31112,1.63711,-1.44377,-0.30729,1.29393,-2.81106,-0.0818464,0.0618846
