# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1985537789
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_null_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled.1,p_gamma.1,p_aux_unscaled.1,g_gamma.1,g_aux_unscaled.1
-87.1791,0.999661,0.409774,3,15,0,91.941,0.527876,-0.760991,-3.22705,-8.38178,3.87554,1.52019
-86.9877,0.998214,0.409774,3,15,0,87.7234,0.168561,-1.08549,2.77684,-2.7821,-2.21203,-1.57553
-87.0065,0.999451,0.409774,3,7,0,87.0581,0.447565,-0.707715,0.402993,-0.857831,2.58253,1.79197
-86.8729,0.999495,0.409774,3,7,0,87.1261,0.33466,-0.686208,2.29045,1.15748,0.441057,1.85322
-86.7027,0.978003,0.409774,2,7,0,87.816,0.37273,-0.898332,-1.2349,4.10969,1.02169,0.0100406
-89.8366,0.866865,0.409774,2,5,0,91.8934,0.344693,-1.7333,-0.715906,-5.69033,0.302589,-7.49332
-89.6858,0.992035,0.409774,2,3,0,90.5251,0.45865,-1.70056,1.74838,3.42919,1.25553,-7.13888
-90.2914,0.971737,0.409774,3,7,0,92.359,0.679495,-0.235564,7.74604,-1.47843,9.41279,6.61289
-87.5499,0.997484,0.409774,3,7,0,91.1056,0.464416,-1.3005,6.599,5.84804,1.81652,-3.54866
-87.8601,0.991412,0.409774,3,7,0,88.4518,0.0842516,-0.530714,4.28818,-0.0618165,-5.33931,3.56013
-87.1189,1,0.409774,2,3,0,87.8351,0.155335,-0.68767,-3.03706,2.58003,-3.2626,2.02219
-86.7195,0.999724,0.409774,3,7,0,87.1827,0.269626,-0.983318,-2.89116,1.75643,-0.687508,-0.762997
-87.0652,0.989083,0.409774,3,7,0,87.1293,0.496813,-1.07801,0.616712,0.907379,2.60915,-1.44267
-87.1232,0.995399,0.409774,3,15,0,87.4111,0.0898063,-0.872467,2.31728,-1.35175,-4.11153,0.555993
-87.2791,0.993235,0.409774,3,7,0,87.7848,0.376068,-0.53808,-3.81701,0.766989,1.39177,3.12275
-87.3078,0.999504,0.409774,2,3,0,87.3256,0.381722,-0.531586,0.0971825,0.526114,1.52117,3.18163
-86.7529,0.996021,0.409774,2,7,0,87.5952,0.245596,-0.802437,2.33067,3.25486,-1.25023,0.872946
-87.012,0.989389,0.409774,3,7,0,87.302,0.469021,-0.739631,1.00868,2.0206,2.90679,1.55719
-88.1523,0.964238,0.409774,3,7,0,88.7717,0.299019,-1.46863,-2.55153,-2.55085,-0.124105,-5.17684
-86.9047,0.992793,0.409774,2,7,0,88.7137,0.287562,-0.670426,0.102946,5.35761,-0.510943,1.99104
-86.6773,0.988295,0.409774,3,7,0,87.4976,0.336273,-0.884822,-0.442069,3.5943,0.41477,0.112052
-86.9689,0.992033,0.409774,3,15,0,86.9696,0.158036,-1.05519,-0.128544,0.0478904,-2.43897,-1.27848
-87.6468,0.961998,0.409774,2,7,0,88.6188,-0.0161092,-1.04747,5.48226,-0.290796,-5.48579,-0.689579
-88.4682,0.979815,0.409774,3,15,0,89.3012,0.235182,-1.52163,-4.25193,-1.99774,-0.798774,-5.62215
-88.3736,0.997631,0.409774,3,7,0,88.9607,0.366122,-1.50712,2.38584,2.5319,0.574607,-5.51002
-87.124,0.962894,0.409774,1,3,0,89.6809,0.329858,-1.21267,-1.42623,6.28794,0.246853,-2.86025
-87.4014,0.981245,0.409774,3,7,0,88.2952,0.60384,-0.847527,3.58402,-2.76202,4.79831,0.995345
-88.6511,0.982091,0.409774,3,7,0,88.9651,-0.100265,-0.695764,-2.60408,-1.23355,-8.95432,2.9882
-86.8506,0.997775,0.409774,3,7,0,88.9442,0.415892,-0.763499,7.41067,-2.27887,1.91233,1.25246
-88.1096,0.93103,0.409774,2,7,0,89.7202,0.524858,-1.40946,1.11588,-4.99242,2.26494,-4.44378
-87.0136,0.910222,0.409774,2,7,0,92.4197,0.516625,-0.93318,-0.972585,9.23641,3.22264,-0.066214
-86.7052,0.946139,0.409774,3,15,0,89.6106,0.261693,-0.949935,-9.49864,-0.230892,-0.840699,-0.456662
-86.7284,0.968795,0.409774,3,7,0,87.9616,0.391778,-0.874204,-0.531862,4.40754,1.36012,0.242684
-87.9211,0.969116,0.409774,3,7,0,88.003,0.466096,-0.423169,-1.14832,0.791512,3.58808,4.20239
-87.732,1,0.409774,1,1,0,87.9225,0.438366,-0.447516,1.64713,1.28012,2.90487,3.94682
-87.7905,0.999802,0.409774,2,3,0,87.857,0.41484,-0.417544,-1.38823,-0.268014,2.41963,4.14086
-88.8489,0.974882,0.409774,3,15,0,89.538,0.499564,-1.56255,1.2537,3.18325,1.77155,-5.87215
-89.4801,0.990293,0.409774,3,7,0,90.6214,0.348,-1.68421,5.81979,0.907095,0.342622,-7.07088
-88.4575,0.998461,0.409774,2,3,0,89.6771,0.381807,-1.52037,-1.13407,-4.32409,0.724189,-5.61988
-86.6945,0.985632,0.409774,2,7,0,89.2742,0.35364,-0.940956,0.830363,-6.37086,0.682265,-0.384523
-86.8743,0.974584,0.409774,2,7,0,87.5994,0.441398,-0.789701,-2.85331,-2.71136,2.32227,1.06197
-87.2705,0.928482,0.409774,3,7,0,89.7665,0.166837,-0.607502,4.33733,5.47797,-3.19047,2.6822
