# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=737855710
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_noint_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,z_b.49,z_b.50,z_b.51,z_b.52,z_b.53,z_b.54,z_b.55,z_b.56,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_z_b.49,p_z_b.50,p_z_b.51,p_z_b.52,p_z_b.53,p_z_b.54,p_z_b.55,p_z_b.56,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_z_b.49,g_z_b.50,g_z_b.51,g_z_b.52,g_z_b.53,g_z_b.54,g_z_b.55,g_z_b.56,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-153.345,0.995653,0.0484959,6,63,0,185.941,0.00758568,1.13287,-0.320384,-0.864581,0.591026,1.08517,0.361688,-0.246166,0.014249,0.34096,-0.42623,-1.9095,0.476967,-0.49985,-0.816389,0.853124,2.38947,0.0605423,-1.19773,-0.224359,0.65734,0.149631,0.599129,1.05879,-0.442058,-1.04005,0.329026,-0.20268,-0.972061,0.0782408,-0.0299727,0.617883,1.20731,-0.901308,0.0537823,0.145042,-0.388609,-0.872718,1.18732,0.616972,0.502299,1.33583,-1.28753,0.147766,0.596873,-0.483528,0.951435,-0.888075,0.2041,0.788331,2.05557,2.21595,1.97397,-0.412785,0.539138,-0.0274322,-0.140145,-0.652571,0.131513,-0.0679849,-1.51936,0.322739,-0.0513952,-1.17941,-3.02562,-2.41858,-0.161611,-1.57931,1.25396,-1.71021,-0.912425,-0.138842,-2.01548,-0.763644,-0.767962,1.13962,0.259108,-0.023591,-0.370811,-0.815798,-2.47056,-1.46452,-0.481339,0.358853,-0.604543,0.440592,-1.85715,0.278317,-0.361129,-1.72846,-1.17166,-1.14534,-1.56099,-0.720131,1.03054,-0.397553,-0.940423,2.08449,0.383722,-1.76377,-0.663882,-0.0475143,2.23696,0.517569,-0.481751,1.64794,-1.36015,-0.299691,0.381622,0.906431,-0.354119,0.277536,1.08501,-0.234319,-0.58304,0.276919,0.609335,-1.54636,-0.682227,0.797073,-2.18268,0.100915,-1.03102,-0.503507,1.01988,1.84665,2.7714,5.57654,1.00773,-1.62116,1.25211,1.26929,0.0230998,-0.0921971,1.1244,0.992265,-1.01237,-1.43738,0.56288,-0.469335,-0.533802,0.985524,1.88061,0.702305,-0.878602,-0.445269,0.0638583,0.241288,0.921521,1.30474,-0.381062,-1.01798,0.924239,-0.0986382,-0.63346,0.0507312,0.608359,0.0852847,1.38535,-2.00048,0.294885,0.208754,0.0821914,-0.833338,1.38385,0.151616,0.452703,0.639198,-1.28753,-0.00710601,0.565007,-0.528037,0.701422,-0.566322,0.288188,1.01358,2.13265,2.32994,2.23008,-0.521468,0.626704,-0.0274322,-1.04667,3.88768,0.131513,-1.47324,-0.121758,-2.45488,-5.4033
-163.654,0.991212,0.0484959,6,63,0,192.027,0.1289,1.11975,-0.210815,-0.142313,-0.180209,0.983741,-0.968693,-0.72426,-1.96605,0.601997,-0.747693,-0.0319924,-0.562201,1.13373,0.118246,-0.695253,1.52332,1.14445,-0.820301,-1.82331,1.10958,0.324797,-0.411555,0.689148,-0.922625,-2.67966,1.44059,2.41798,-1.14938,-0.186951,0.334216,0.14921,0.172985,-0.154018,0.968386,-0.268804,-0.249795,0.521806,-0.768223,-0.00627162,0.398697,1.93261,-0.73812,-0.0248404,-0.347634,0.718955,0.352805,0.0805127,1.2014,-0.230369,-0.142589,1.23137,1.74496,-0.157449,0.857359,-0.873493,-0.26917,-0.65468,0.373909,-0.354552,-1.54969,0.131443,-0.0902105,0.43825,4.06164,0.517182,-1.16553,1.13348,0.761827,0.711925,0.254205,1.72664,0.291288,-0.412254,-2.23149,0.94683,-1.48762,-0.926585,1.7392,1.16274,-0.372876,-0.76997,1.11428,-0.23219,0.0107267,1.16052,0.865175,0.192854,0.435251,-0.193769,-1.98972,-0.289621,0.276721,0.0258238,0.509515,1.50539,-1.43592,-0.655087,0.425699,-0.120528,-1.54466,1.98629,0.661015,0.319451,0.121856,-1.11127,0.123861,1.01548,-1.08649,0.783351,-0.914324,-0.476498,1.43468,2.98545,1.9527,1.3652,-0.498938,0.0856804,0.512758,0.113966,0.401767,-0.0948974,0.292697,-0.228894,0.333739,0.752699,-0.200954,7.69765,1.94748,-0.220634,0.237308,1.11348,-1.54128,-0.639118,-1.49772,1.13501,-1.08167,0.735956,-1.06055,1.2246,0.432873,-0.658148,0.0576488,1.6408,-0.483869,-2.96419,0.362145,0.497148,-0.368108,0.325348,-0.966661,-2.67006,1.93825,2.86057,-0.889275,-0.23544,0.962028,-0.380628,0.244501,-0.434176,1.4732,-0.224766,0.0821276,0.618266,-0.722992,-0.758702,0.361554,1.85911,-0.73812,-0.308931,-0.25421,0.689038,0.0368878,0.476181,1.25972,0.213941,-0.551572,1.06802,1.95328,-0.178867,0.838008,-0.873493,-5.25527,4.10052,0.373909,1.33139,-0.739051,-1.63055,1.70732
-160.048,0.99819,0.0484959,6,63,0,191.177,-0.482529,0.800567,-0.0939796,-0.00284879,-0.836666,-1.73188,0.419259,-0.444637,-0.77153,0.00235225,-0.621937,-0.884744,-0.23381,-1.49734,1.27474,1.33208,1.33472,1.17365,-1.03045,0.0498319,0.719891,-0.468101,1.28335,1.44084,0.253605,-1.30321,1.38513,2.09187,-0.738809,-0.00984837,-0.502567,-0.0613065,-1.1285,1.23971,0.386547,-0.517895,-1.35117,0.233515,0.985745,0.0773845,-0.054014,1.2629,-1.19044,0.237069,0.29617,0.14589,0.691355,1.13089,-0.0350587,0.453007,-1.00662,-0.903293,-0.0490867,-1.17533,1.48029,-0.615469,1.4322,-1.03639,0.969087,0.70334,-2.44717,-0.35632,-0.717028,0.0881816,-6.97729,-0.632254,0.225017,-0.293371,-1.55111,1.47624,0.553793,1.59195,-0.96773,0.907621,-0.743277,0.908388,-2.00112,0.134962,1.40056,-0.355472,-1.05597,0.308898,2.91979,-0.466864,-0.463535,1.00682,-0.0719909,1.13586,2.38386,-1.30428,-2.09611,0.843966,0.319201,-0.950762,0.237516,-0.739394,0.634174,-1.19979,0.0434151,-0.315816,-0.588862,1.1257,0.607434,-0.322365,-1.46582,0.343114,0.192862,0.468755,-0.694009,-0.0658395,0.252579,-1.30725,0.397835,-0.317195,-1.76809,-1.99111,-0.324246,-0.427138,0.72088,2.34207,-0.526529,-0.0410831,0.95715,-0.199048,0.854092,1.37314,-0.212982,1.83151,1.76776,-0.0924325,-0.529698,-1.69073,0.184835,-0.262083,-0.239205,0.469616,-1.42795,-0.375379,-0.890177,-1.47498,1.67431,1.54145,0.486604,1.62138,-0.744328,-0.224692,-0.0977625,-0.707671,1.53167,1.54221,0.637694,-1.27461,1.80392,2.52135,-0.514134,-0.20341,-0.207938,-0.945993,-1.09596,1.5488,0.515958,-0.458969,-1.20678,0.430653,1.16794,-0.929099,-0.250527,0.788048,-1.19044,0.209355,0.317694,0.130421,0.689178,1.17799,-0.0594242,0.50731,-1.02318,-0.935468,-0.0183373,-1.21915,1.48317,-0.615469,0.774398,-0.42501,0.969087,1.14594,-0.738701,-1.87549,-6.07481
-161.649,0.998632,0.0484959,6,63,0,187.499,-1.14065,0.51303,-0.181934,1.42076,1.01694,-1.34626,0.129296,-0.746818,-0.82376,0.546135,0.47109,-0.483631,0.570652,-1.46531,1.88483,-0.434701,1.70584,-0.547575,-0.740009,0.849704,1.35819,1.5379,0.516131,2.40188,1.52263,-0.802806,1.87419,1.49792,-0.572328,0.191028,0.306992,0.614828,-0.316818,0.576856,0.145105,-0.654333,-1.74221,-1.03264,0.87657,1.44013,-0.223824,1.68008,-0.516071,0.441752,-0.17377,-0.103967,0.386184,0.0679599,0.211402,-1.34648,0.907388,-1.89203,-0.293867,-0.896341,0.291781,-0.229616,2.03041,-0.316338,1.65832,-0.240857,-1.41637,-0.548156,0.00206117,0.352487,-3.34335,-1.60454,0.549873,1.0001,1.29414,0.361349,0.0511753,0.198062,-0.114558,1.51342,0.490245,1.05674,1.02535,-0.94663,-1.90569,-0.373479,-1.87398,0.630282,0.698606,0.286464,1.13338,-1.16769,-0.727536,0.0698535,1.07148,-1.13009,-2.08465,0.475109,0.270953,0.555817,0.981256,1.15661,-0.870303,-0.163354,0.251682,0.736312,-0.937305,-0.82942,1.36268,0.130361,0.199495,1.13056,-0.0678085,-0.506803,0.0363589,-0.590152,-1.34018,0.196483,-1.35375,1.78866,0.344785,-0.157275,1.05761,-1.43412,0.573264,-0.80213,2.22142,-0.361335,-0.14773,0.917662,-1.24682,2.59687,-1.70102,-1.68211,0.898507,1.99237,1.633,-1.24983,-0.952728,-0.568787,-0.393989,1.1777,-0.300442,0.00787634,-0.239873,-1.44401,2.37776,-0.400622,0.887052,-0.117555,-0.372526,0.85463,0.772332,1.59425,0.118212,2.81188,2.30714,-0.754115,2.37052,1.87232,-0.400071,-0.0180388,0.811452,-0.137191,-0.260235,-0.110021,-0.741532,-0.598257,-1.65146,-0.904138,1.01603,1.20098,-0.347423,0.164058,-0.516071,0.580458,0.131767,-0.685967,0.27504,0.417183,0.0370542,-0.961777,1.07637,-2.6633,-0.0450729,-1.11052,0.179633,-0.229616,2.54648,-1.71195,1.65832,-2.60884,0.435989,1.06734,-0.993485
-164.259,0.993674,0.0484959,6,63,0,196.011,-1.19008,0.797496,-0.579357,-1.41662,-1.75895,-1.21868,0.931931,-0.00858901,-0.280806,-0.818723,0.593354,-0.325303,0.396837,-1.47013,0.552949,2.33954,0.902828,0.265441,-1.2826,-0.877438,0.323145,-1.06703,0.0165996,0.562321,0.349002,-0.769938,-2.1097,1.71495,-0.0243478,-0.220063,-2.23419,1.23973,0.38125,1.47537,0.442142,-0.28945,0.50345,-1.4703,1.76265,0.794704,0.798154,1.0185,-1.35346,-0.298469,-1.75723,0.479158,-0.0946411,0.971345,-0.246057,0.407038,-0.604774,1.38622,0.719279,0.519783,0.871288,0.0729024,0.752571,-0.114848,-1.52536,-1.00118,-2.03473,0.250972,0.477625,1.21398,2.54372,-0.881411,-1.0413,-1.54913,1.38644,0.185614,0.609326,-0.0495613,-1.11212,-0.217755,-0.34533,-0.0698139,1.502,-2.43839,0.486191,-0.0707216,-0.116277,0.273625,-0.653102,0.433005,-1.38126,-0.325716,-2.75983,-2.57497,0.824756,-2.05225,-2.14132,0.330723,-0.0278603,-0.742661,-0.0940848,0.273142,-0.734547,0.0900102,0.637282,1.47896,0.9418,-1.27071,-1.61203,0.0131852,-0.191526,0.53544,-0.798705,0.351217,0.588367,-0.258521,-0.671374,-0.140167,0.609012,-0.502252,2.40638,-0.0693521,1.12148,-0.100581,0.225803,-0.398371,0.606639,-1.68928,1.35987,-0.449734,1.65465,0.532249,-6.21852,-1.37664,-1.7703,-2.40026,-1.33881,-1.12558,0.656356,0.173032,0.662957,-0.582039,0.225615,0.534218,0.390257,-1.45394,0.671941,2.46556,-1.19155,0.946908,-0.819989,-1.75784,-1.16616,-1.39465,-0.273794,0.218634,0.652444,-0.748332,-2.0172,2.18868,0.193529,-0.140903,-2.30262,0.880798,0.42627,1.26269,0.760684,-0.257761,0.759853,-1.36839,1.88411,0.689885,0.902343,-1.05606,-1.35346,-0.183987,-1.93266,-0.174306,-0.418809,1.33008,-0.234785,0.969158,-1.28368,1.4241,0.840862,0.278175,0.468391,0.0729024,-1.84438,-10.0092,-1.52536,-4.52588,-0.229204,-0.53278,-1.51359
-154.918,0.997993,0.0484959,6,63,0,190.673,-0.734515,1.04189,-0.184613,0.578087,-1.33126,-0.392157,0.282866,-1.77056,-1.4895,-0.0809462,-0.105806,-1.59615,-0.940092,0.711629,-1.01855,0.592485,2.12526,-0.101621,-0.521336,-0.116022,0.743886,-1.0114,0.651675,0.905791,-0.139009,0.57952,-1.41744,-0.025388,-1.36377,-0.527382,-0.158813,0.654891,1.42534,1.34639,-0.378673,1.22352,-0.0740274,-0.0613081,-0.274469,0.172653,1.04181,2.46776,-1.04873,-1.15174,-2.4032,0.0381244,0.0529581,-0.141803,-0.8995,0.872994,-0.856477,1.16802,-1.30478,0.991127,-1.70816,0.248815,0.796953,-0.768762,-0.862668,-0.458498,-3.59899,-0.713084,0.648494,-0.210513,-2.07189,-0.357893,-2.21131,-1.09985,-1.05391,0.316903,0.654041,0.931369,-0.550042,-0.0873993,0.979635,-0.191519,-1.90661,1.05494,2.61951,-0.549509,1.28448,-0.69849,-2.07223,-1.41259,-1.37982,-0.331678,0.498657,1.03027,-0.912834,-1.7347,2.76795,0.560915,-0.40549,-2.47559,1.25234,-0.0231647,1.78265,0.794736,-0.755773,0.920671,-1.57708,2.03964,0.587202,1.15501,0.102157,-1.13007,0.212296,-1.13248,0.435185,-0.0923549,1.19786,0.0713382,0.309006,-0.473347,1.04358,1.26075,0.112244,1.30509,0.00767912,0.824185,0.893191,-1.37502,-0.0951176,0.52292,1.35947,0.976551,-2.57934,-0.322011,3.0375,1.55121,-0.861259,-0.275405,-1.26332,-1.74322,-0.946795,0.535225,-1.47305,-1.12304,-3.7667,0.822939,-0.890633,0.68278,2.20546,1.13878,0.372444,-1.39841,-0.893628,-1.92333,0.710702,1.15651,0.0754004,0.666689,-1.30984,0.469967,-1.24509,-1.7264,0.717962,0.0985688,1.64215,1.99469,-1.75374,1.41128,0.389167,0.114599,-0.241647,-1.28903,1.75094,3.24806,-1.04873,-1.18125,-2.34786,0.0303743,0.111125,-0.0552214,-0.912915,0.934245,-0.917979,0.948452,-1.28523,0.897343,-1.6923,0.248815,-2.66443,0.384789,-0.862668,4.03824,-1.36494,-4.15524,-0.862251
-160.452,0.955782,0.0484959,6,63,0,190.582,-0.608283,1.00575,-0.322345,-1.20568,-1.41013,-1.03251,0.587794,-1.38028,0.617305,0.729839,0.623554,-0.664337,1.34362,-1.68762,-0.0661532,0.00472815,1.01862,-1.12036,-0.981172,0.119072,0.529554,0.0316313,0.266715,0.210381,-0.538773,0.426353,-0.936085,0.217491,-0.67071,0.416522,-0.417399,-0.132875,-2.14297,-0.230201,-0.998004,0.23263,-1.41557,0.720095,0.273636,0.703617,-0.828103,0.316408,-0.510508,-1.73216,0.41395,-1.35869,-0.0304715,-1.13079,0.0557122,-2.09016,-0.272477,-0.870689,0.657126,0.540109,-0.190771,-1.16585,0.68858,-0.564249,-0.684987,-1.03552,-4.73588,-0.748374,0.916022,0.831995,-4.1701,-0.477683,-0.162193,0.642144,0.224375,0.55021,1.57821,-0.638936,-0.995109,0.602103,0.613056,1.04232,-1.1861,0.763431,-0.719474,-0.446086,-1.10634,-0.517138,0.324997,2.13251,1.34949,-0.754475,-1.09039,-0.329742,-0.620082,1.12079,-0.793381,1.04408,0.236126,-1.16656,0.835865,-2.10435,-0.803716,1.65126,-1.4026,-0.360402,-0.0413184,0.269161,0.130243,-1.0275,-0.604502,1.02156,0.810459,2.57455,-0.124828,-0.036245,-0.112222,0.934143,-1.50282,0.975373,-1.43778,1.48697,-0.937545,1.69553,-0.39453,0.142141,0.382214,0.786846,0.517466,0.0883703,-1.59075,-4.33653,-9.70147,0.786717,-2.17336,-2.85786,-0.856013,-0.964361,-0.164462,-1.30985,2.85002,1.74407,0.219736,0.487602,2.19811,-1.6778,0.210152,0.0412144,-2.06503,-0.418975,-0.307234,-0.1978,-1.43702,-0.156708,-0.0198918,-0.666926,-0.647039,0.487669,-0.70186,0.70425,-0.339317,0.996281,0.258255,-2.13018,-2.13669,-1.77694,-2.67997,0.287655,-1.26277,1.03202,0.334144,0.599163,-1.36753,-3.29987,-0.510508,-1.7409,0.389918,-1.45127,-0.104218,-1.07547,0.0429987,-2.0429,-0.331042,-0.883743,0.665551,0.525717,-0.214578,-1.16585,-4.43337,-6.79939,-0.684987,-2.50192,-0.990414,-0.535567,2.6591
-154.817,0.998681,0.0484959,6,63,0,185.54,0.370465,0.578143,-0.0331259,-0.0136543,0.308543,-0.666149,-0.0113565,0.112971,-0.364544,0.644428,0.266619,-1.11968,-0.167257,-0.0559078,-0.694929,-0.0691392,0.628895,-0.835173,1.38306,0.0235009,0.8132,-1.19331,-1.01527,0.800025,-0.763475,-0.471002,-2.12722,1.10492,0.421655,-1.30478,-1.01748,1.75419,-1.50288,1.13168,0.421218,0.387,-0.607885,-1.20933,-0.909427,0.759259,0.473876,0.849265,-0.454218,-0.540936,0.689045,0.0567117,0.985099,1.46434,0.524781,-1.01092,-0.544272,0.134289,0.405685,-0.25766,0.323611,0.796346,-0.196473,-1.48715,-0.204756,-0.160449,-4.11544,0.0189974,-0.296905,2.18284,-6.81466,0.56539,1.81215,1.09671,0.880923,-0.404233,1.33466,-1.7521,-1.37016,-0.545285,-0.168042,-1.54037,1.79092,-0.284952,-0.0855244,0.780961,0.667711,1.02044,-0.111138,0.616744,-0.041007,-0.452839,0.256692,0.345952,-0.553086,0.569471,-0.347781,0.424323,-0.526162,-0.209721,0.662342,1.98196,0.606812,1.73044,-0.249262,1.1619,-1.23762,-0.479137,-0.382905,0.912224,1.20697,0.455641,1.82627,-0.323311,1.38867,0.260245,1.35474,0.0187546,2.02852,0.165403,0.982133,-0.627631,-0.651171,0.234925,1.27649,0.711667,-0.746054,0.684359,1.94863,1.12799,0.597229,-3.53613,-2.812,-2.90283,1.82083,-0.123635,0.668331,-0.530208,-0.538453,0.397853,0.167448,1.15523,-0.0528604,-0.698359,-0.588996,0.0306485,-0.517375,0.0161055,-0.687985,-0.545552,1.79034,-0.235437,-0.083978,-1.47221,-1.27479,0.481318,-0.786033,-0.401517,-2.0294,1.39201,0.691469,-1.91403,-0.844158,1.94166,-1.46383,1.10352,0.482679,0.495606,-0.417914,-1.102,-0.853921,0.345813,0.615271,-0.265619,-0.454218,-0.545442,0.699385,0.0347508,0.973394,1.48358,0.523523,-0.993955,-0.563849,0.120583,0.413135,-0.267466,0.317309,0.796346,-1.90212,-1.95611,-0.204756,-1.83179,-0.964204,1.05171,-2.68987
-159.877,0.994356,0.0484959,6,63,0,178.24,0.542691,0.567047,0.0104436,0.368107,0.368399,-0.363274,-0.143704,0.0142982,-0.135363,0.242241,-0.0404249,-1.26932,0.279703,-0.417615,-0.873111,-0.103211,0.817722,-0.796315,1.42481,0.289949,1.12781,-0.753144,-0.991415,0.365529,-0.78701,-0.497628,-2.63632,0.949954,0.744379,-1.59431,-1.26602,2.17874,-2.05716,1.16601,0.195177,0.0242117,-0.144739,-0.680581,-0.0446415,0.861984,0.886528,0.963858,-0.489555,-0.412149,1.18195,0.248302,1.07999,1.31838,0.468358,-0.746033,-0.107603,0.165523,0.180117,-0.233931,0.582456,0.944232,-0.523825,-1.64634,-0.581096,-0.243098,-4.11236,-0.532849,-0.32522,-0.17117,0.279636,-0.249462,-1.16094,-0.0317644,-0.816718,0.304892,0.342497,-0.572427,1.37362,0.695613,0.314454,-1.33067,1.02771,0.36566,0.108032,-0.492059,-0.212752,0.2135,-0.969762,-0.864185,-1.30832,-0.288022,1.34404,-0.0627271,-0.00910152,0.828881,0.723998,-0.70456,0.447673,0.639777,-0.805218,1.29346,0.157047,0.92441,1.14695,-1.22575,-1.75135,-2.37795,-0.271937,-0.863326,-0.231736,0.00736485,-0.4947,-1.14407,-0.453384,-0.0694787,0.66443,0.248916,-0.940698,-1.47082,-0.0616446,0.681401,-0.118487,-0.570236,-0.208363,1.0596,0.611305,0.953662,-0.094134,-0.192632,0.985423,-0.838378,4.38149,-0.65655,2.05347,0.494694,0.690001,-0.211275,-0.351659,0.315605,0.424321,0.707945,-0.183165,-0.835613,0.0955503,-0.310774,-0.654614,0.0190857,0.0124315,-0.527539,1.78148,0.337008,0.534692,-0.787325,-1.05433,-0.0442527,-0.686387,-0.394561,-2.51615,1.20015,1.04702,-2.14111,-1.05417,2.50142,-2.00675,1.35776,0.265757,0.151513,0.112947,-0.544415,0.0798459,0.654178,1.15809,0.469515,-0.489555,-0.411757,1.19768,0.243528,1.07714,1.34021,0.470763,-0.727139,-0.119829,0.164315,0.19146,-0.235394,0.585163,0.944232,-0.76035,0.411029,-0.581096,-1.05161,-0.948571,-3.67632,-5.92691
-158.968,0.999027,0.0484959,6,63,0,186.351,0.410177,0.429755,-0.0206314,0.32302,0.319797,-0.129876,-0.526675,-0.441642,-0.408264,0.460451,0.0214179,-1.15563,0.144973,-0.431894,-0.763187,0.0274416,1.17375,-0.956167,1.45047,0.0726421,1.22554,-0.953405,-0.484914,0.0302592,-0.666173,-0.626351,-2.4627,1.09981,1.4496,-0.903065,-1.04429,2.06543,-1.85301,0.799308,-0.0377134,-0.198201,-0.139908,-0.615109,-0.179443,1.09757,0.819737,0.42273,-0.31627,-0.848971,0.807719,-0.115435,1.04794,0.56699,-0.15894,-0.75088,-0.458353,0.4185,0.34282,-0.341985,0.750285,0.873878,-0.966673,-1.44428,-1.06899,-0.112561,-4.13131,-0.389499,-0.196673,0.367948,6.00205,0.949025,0.207734,0.270395,-0.669104,1.07751,1.46294,0.91061,-0.588049,-0.20934,-0.538863,0.399359,-0.00375323,-0.439935,-0.433941,-0.968403,0.387245,0.227852,0.917017,-0.296796,0.400735,-1.89708,1.02072,-0.577198,0.298908,-0.916885,-0.303879,-1.93544,-2.63577,-1.02079,0.799634,-1.0144,1.35262,0.971968,0.770339,0.0103302,-0.311776,0.417156,-0.878682,0.390745,1.52637,-0.630549,1.44998,1.33004,1.05658,0.286093,2.44973,1.95206,-0.108858,1.23818,-0.789741,-0.467293,0.313379,-0.3756,0.362582,1.39816,-0.852798,1.39016,-0.528492,-0.11,-0.559905,-1.85848,-4.86252,-8.00495,2.81004,0.0824382,0.715512,0.0611159,-1.33295,-0.142817,0.191888,1.08606,-0.326108,-0.720694,-0.576683,-0.298184,-0.52926,0.199548,0.234752,-0.695398,1.94148,-0.415509,-0.0216695,-1.19981,-0.625228,-1.34048,-0.905271,-0.507367,-2.36609,1.38734,1.91638,-1.8722,-1.01652,2.40855,-1.7977,0.795606,-0.552176,-0.0459049,0.167057,-0.465729,-0.0237003,0.790505,1.13795,-0.929698,-0.31627,-0.858082,0.817279,-0.143692,1.04078,0.585972,-0.163142,-0.733439,-0.5044,0.397372,0.35532,-0.350258,0.750965,0.873878,-4.77486,-0.378376,-1.06899,-1.06707,-0.954508,1.8192,1.33824
