# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1985537789
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_null_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled.1,p_gamma.1,p_aux_unscaled.1,g_gamma.1,g_aux_unscaled.1
-87.5954,0.996042,0.218501,3,7,0,87.9102,-0.0111762,-0.993796,-2.20906,-1.61782,-5.6127,-0.205113
-87.2923,0.999708,0.218501,4,15,0,87.9299,0.0742509,-0.774389,-3.9726,-1.53379,-4.73501,1.48823
-87.6136,0.997586,0.218501,4,15,0,88.2622,0.0308124,-1.18353,-3.93089,1.64118,-4.1869,-2.14006
-86.7921,0.997381,0.218501,3,11,0,88.3547,0.430138,-0.876829,5.99062,2.67603,1.99075,0.267624
-87.377,0.993106,0.218501,3,15,0,87.8068,0.432556,-1.2653,-0.705649,-2.58007,1.49664,-3.26936
-87.6347,0.974908,0.218501,3,15,0,92.5354,0.653961,-0.871258,-7.18548,-7.27479,5.43861,0.980434
-87.4804,0.999548,0.218501,1,3,0,87.7031,0.625922,-0.880452,2.60743,0.422932,4.9961,0.777027
-87.9108,0.998269,0.218501,3,7,0,87.9826,0.712915,-0.949224,-0.231212,1.06163,5.88008,0.512222
-87.2352,0.999885,0.218501,4,15,0,88.153,0.542479,-1.10356,5.42166,0.219467,3.14098,-1.57269
-87.743,0.994286,0.218501,3,15,0,88.6484,0.125205,-0.507649,4.24964,-2.34895,-4.41893,3.61992
-87.699,0.999153,0.218501,3,7,0,87.9393,0.0921476,-0.56606,0.876871,-1.8644,-5.02992,3.23786
-88.6706,0.981177,0.218501,3,15,0,91.9714,-0.00333418,-1.45688,0.236255,-7.28048,-3.82373,-4.58788
-87.1229,0.997647,0.218501,3,15,0,89.5309,0.345845,-1.21027,6.84769,3.90426,0.458083,-2.83449
-86.733,0.999485,0.218501,3,15,0,87.3282,0.295497,-1.01193,-1.22605,2.96838,-0.258275,-1.03238
-90.8747,0.969213,0.218501,3,11,0,91.8409,-0.387161,-1.19921,-5.36389,-1.06674,-11.5407,0.0530412
-87.4163,0.981623,0.218501,4,15,0,94.0039,0.601349,-0.823104,-14.4372,1.27316,4.85362,1.21006
-87.2594,0.99764,0.218501,3,11,0,87.9918,0.0601705,-1.02244,4.74665,0.708297,-4.20328,-0.730037
-86.9212,0.998484,0.218501,3,15,0,87.6687,0.229228,-1.10732,4.84591,-0.518207,-1.23012,-1.85838
-87.1008,0.999082,0.218501,4,15,0,87.297,0.540953,-0.902016,0.820837,1.6781,3.66994,0.284889
-87.2286,0.998,0.218501,4,15,0,87.7442,0.448595,-0.608859,-3.18373,1.79309,2.79667,2.64153
-88.4617,0.994438,0.218501,4,15,0,88.7368,0.58655,-1.4525,1.79181,1.67728,2.75179,-4.70735
-87.0535,0.998759,0.218501,3,15,0,88.9697,0.516718,-0.832345,2.91966,-5.1502,3.48863,0.849423
-86.987,0.999984,0.218501,3,7,0,87.0812,0.505206,-0.876595,1.395,0.7358,3.19112,0.419903
-87.3146,0.99711,0.218501,3,7,0,87.3584,0.565452,-0.774931,0.0955957,0.835952,4.45788,1.51635
-87.2272,0.993101,0.218501,4,15,0,89.3732,0.0955751,-0.75381,-2.43373,5.61422,-4.3536,1.60322
-88.0464,0.990808,0.218501,4,15,0,88.9091,0.396524,-0.349835,-4.13064,2.30851,2.08286,4.63616
-88.4656,0.996622,0.218501,4,15,0,88.9939,0.377246,-1.52236,-3.97736,-0.760604,0.678087,-5.64019
-87.9091,1,0.218501,2,3,0,88.4962,0.337936,-1.41885,-1.10258,2.97088,0.305879,-4.72882
-87.6553,1,0.218501,4,15,0,88.4824,0.578796,-0.644587,1.12734,-3.55711,5.16915,2.72281
-87.804,0.999037,0.218501,4,15,0,88.9267,0.302544,-0.385019,5.93759,-0.639644,-0.260064,4.31307
-86.8535,0.996789,0.218501,3,15,0,88.5158,0.231261,-0.734465,-1.31627,-5.08364,-1.60357,1.48391
-88.1105,0.988075,0.218501,4,15,0,88.5526,-0.091951,-1.02667,-2.0301,2.24556,-6.99172,-0.148898
-86.6869,0.998935,0.218501,3,15,0,88.5893,0.353492,-0.911174,7.68391,1.02118,0.694551,-0.117057
-87.385,0.987698,0.218501,2,7,0,88.1705,0.498887,-0.612224,2.62087,3.03069,3.77791,2.73381
-87.3455,1,0.218501,2,3,0,87.3855,0.4955,-0.622241,-0.651625,-0.656598,3.68485,2.63903
-87.4595,0.997788,0.218501,2,3,0,87.5275,0.494428,-0.58031,-1.31816,-0.473047,3.77863,2.99195
-87.0421,0.999268,0.218501,2,7,0,87.5989,0.427203,-0.66432,-3.06073,-2.06443,2.27505,2.13015
-87.3991,0.996685,0.218501,3,15,0,87.6585,0.415453,-0.523097,0.937016,-1.9308,2.26345,3.29533
-87.1955,0.989019,0.218501,4,15,0,89.691,0.0683385,-0.92751,5.06951,-5.21961,-4.35395,0.120089
-87.0053,0.999348,0.218501,4,15,0,87.5615,0.206307,-0.67502,-4.18895,-0.403088,-2.20094,2.03236
-87.0355,0.995009,0.218501,3,7,0,87.5043,0.199951,-0.66744,2.54187,-2.074,-2.34843,2.10775
-88.598,0.987593,0.218501,3,7,0,88.7594,0.264571,-0.229237,-2.13864,-0.552856,-1.33907,5.48853
-90.422,0.979699,0.218501,2,7,0,91.2537,0.256886,0.0522286,-0.100789,-3.65476,-1.83737,7.32779
-92.5441,0.976673,0.218501,3,7,0,92.8893,0.0417134,0.169547,-2.76784,-1.30945,-9.40813,8.58482
-86.9086,0.999542,0.218501,3,15,0,94.084,0.15085,-0.961653,-4.79651,10.1874,-2.74867,-0.409301
-86.9724,0.996587,0.218501,4,15,0,87.6187,0.47155,-0.77283,-0.0582152,-3.22235,2.87891,1.27021
-88.2754,0.992303,0.218501,4,15,0,88.5123,0.649288,-1.36104,2.7582,0.0598884,3.57264,-3.68546
-88.8179,0.995192,0.218501,4,15,0,89.7197,0.0202644,-0.40048,2.17873,3.48068,-7.4854,4.87459
-89.5344,0.985997,0.218501,2,3,0,89.7472,0.0060741,-0.287562,2.51117,-0.516226,-8.40078,5.81219
-89.3257,0.999779,0.218501,2,3,0,89.7144,0.0503874,-0.263709,3.32449,-0.847965,-7.25627,5.78962
-87.0213,0.993923,0.218501,3,15,0,90.6415,0.33307,-0.616802,-7.5045,5.47758,0.427933,2.44245
-86.8598,0.978625,0.218501,3,15,0,90.3929,0.447137,-0.999295,3.81103,-7.03587,2.06218,-0.813486
-86.7399,0.996766,0.218501,3,15,0,87.5341,0.38556,-0.829379,2.59754,-3.06377,1.29819,0.635588
-87.7187,0.990852,0.218501,3,15,0,87.919,0.213797,-1.36468,-1.75168,-1.2977,-1.18476,-4.19176
-86.9076,0.999907,0.218501,3,7,0,87.8765,0.153962,-0.976914,-1.20378,-3.85272,-2.66225,-0.554745
-88.1947,0.976715,0.218501,3,15,0,89.5406,0.686306,-1.29345,6.45474,-0.889673,4.14618,-2.92076
-86.7132,0.997968,0.218501,3,15,0,88.6855,0.372278,-0.849813,6.01113,-3.69062,1.05084,0.442738
-87.7865,0.99088,0.218501,3,15,0,87.8603,0.0577226,-1.28693,1.43787,0.390588,-3.46229,-3.18684
-87.7685,0.999149,0.218501,4,15,0,88.4026,0.638354,-0.732006,-0.469855,-3.17448,5.82279,2.19655
-86.7095,0.990736,0.218501,2,7,0,88.9485,0.36467,-0.955685,7.48271,2.82421,0.851236,-0.511054
-86.6745,0.995255,0.218501,3,11,0,87.5382,0.298856,-0.915042,4.81458,-1.51176,-0.224928,-0.159577
-87.7241,0.985398,0.218501,3,15,0,88.6859,0.672316,-1.08241,-5.30678,1.17106,4.79265,-0.947442
-88.3995,0.996189,0.218501,4,15,0,88.7932,-0.121352,-0.901823,-0.933141,-2.42699,-8.24282,1.19779
-88.7404,0.984999,0.218501,3,7,0,89.8868,-0.10259,-0.673697,-6.06556,0.147516,-9.13667,3.20025
-88.7624,0.999585,0.218501,4,15,0,90.2295,0.22035,-1.56989,6.21846,-2.05828,-0.921461,-6.03894
-88.7361,0.999996,0.218501,4,15,0,89.7667,0.351344,-0.202181,5.72907,-0.383179,1.05379,5.66913
-88.4098,0.999483,0.218501,3,7,0,89.0348,0.270161,-0.263024,1.27414,3.03822,-1.15873,5.2413
-89.3332,0.952919,0.218501,3,15,0,93.3727,0.922104,-1.00016,-5.61377,7.01028,8.03217,1.23315
-86.7523,0.995514,0.218501,4,15,0,90.3735,0.254432,-0.791799,10.5996,1.41533,-1.09128,0.958741
-86.8721,0.99882,0.218501,4,15,0,86.9666,0.466355,-0.940817,-0.840491,-1.07895,2.45156,-0.247703
-87.6185,0.992088,0.218501,3,15,0,88.0769,0.048991,-1.21683,3.82503,0.22228,-3.7952,-2.50811
-87.5375,0.999994,0.218501,3,7,0,87.7309,0.0779566,-1.22533,2.493,-0.0209952,-3.32456,-2.66828
-88.0404,0.990023,0.218501,3,7,0,88.7278,0.126103,-1.40436,2.64023,2.74926,-2.24703,-4.42663
-88.1444,0.998027,0.218501,4,15,0,89.2765,0.285734,-1.46661,-6.03096,0.0396688,-0.270492,-5.15597
-87.7785,0.998612,0.218501,3,7,0,88.5082,0.306075,-1.3914,1.50154,3.25511,-0.0537253,-4.4836
-86.6926,0.98781,0.218501,3,15,0,89.9028,0.297623,-0.831671,0.143099,-7.18108,-0.265243,0.583738
-86.7156,0.984704,0.218501,3,11,0,89.0148,0.34656,-0.984651,-3.53815,5.53916,0.549945,-0.78178
-86.7997,0.996948,0.218501,3,11,0,87.2294,0.191052,-0.90113,3.37643,-1.09657,-2.13781,0.0639539
-87.1092,0.989419,0.218501,3,15,0,88.4512,0.205233,-0.62949,-1.02344,-4.58687,-2.297,2.42263
-87.5342,0.996335,0.218501,3,7,0,87.5817,0.20513,-0.488456,-1.19899,0.212785,-2.53477,3.59148
-87.2065,0.998118,0.218501,4,15,0,88.284,0.423437,-1.2136,-0.925223,-4.10893,1.44706,-2.807
-87.9744,0.997231,0.218501,4,15,0,88.2828,0.711157,-0.866985,-2.09493,1.66133,6.26552,1.29197
-87.4433,0.999437,0.218501,4,15,0,88.4262,0.567044,-1.17299,4.54009,2.34214,3.25676,-2.15556
-86.8693,0.999091,0.218501,3,15,0,87.7151,0.464424,-0.878662,-3.18137,2.92028,2.54163,0.310643
-87.5135,0.991336,0.218501,3,15,0,88.335,0.0038856,-0.935033,-5.09474,-0.468505,-5.56265,0.282331
-88.3082,0.994413,0.218501,3,7,0,88.4329,-0.117383,-1.0781,0.927314,-1.25446,-7.20858,-0.513403
-87.6436,0.994144,0.218501,4,15,0,89.5683,0.481099,-1.31767,-7.7795,-0.813505,1.97468,-3.68005
-88.1365,0.997434,0.218501,4,15,0,88.3756,0.483438,-1.43372,0.996428,-1.829,1.81656,-4.73576
-86.9349,0.99996,0.218501,3,15,0,88.2344,0.47933,-1.00082,1.36064,-4.46693,2.52581,-0.769343
-86.7258,0.999161,0.218501,3,15,0,87.1705,0.236924,-0.935109,-3.6068,0.800856,-1.27777,-0.302213
-87.7356,0.991517,0.218501,3,15,0,88.0408,-0.0314295,-1.05166,-2.91707,-0.804795,-5.74742,-0.665845
-87.7719,0.999036,0.218501,4,15,0,88.2715,0.646997,-0.754264,-0.970382,-2.74883,5.85989,2.03321
-87.3887,0.99999,0.218501,4,15,0,88.476,0.287514,-1.29416,-5.52391,1.48742,-0.297175,-3.5993
-87.0715,0.995885,0.218501,3,15,0,88.8156,0.520991,-1.02491,5.06169,3.90033,3.05575,-0.898033
-87.8185,0.995226,0.218501,3,15,0,88.0541,0.688972,-1.09605,-2.642,0.542637,4.93084,-1.01092
-87.3585,0.998902,0.218501,4,15,0,88.3746,0.459479,-1.2452,4.9025,-2.07579,1.84215,-3.04883
-87.5248,0.997148,0.218501,1,3,0,87.6379,0.469414,-1.29069,0.524322,-1.2955,1.88767,-3.45118
-87.5553,0.999941,0.218501,3,7,0,87.6178,0.498757,-1.28184,-0.608057,-0.905271,2.23176,-3.32009
-87.0227,0.999036,0.218501,4,15,0,87.8841,0.380957,-1.16242,-2.40145,3.31021,0.948034,-2.37925
-87.3251,0.996848,0.218501,3,7,0,87.4032,0.393187,-1.2646,-0.392282,1.08578,1.02511,-3.30272
-88.0864,0.993296,0.218501,3,15,0,88.4517,0.440063,-1.43775,1.43877,-2.19851,1.37712,-4.82968
-88.6155,0.998028,0.218501,4,15,0,89.0088,0.352664,-1.55069,-3.35635,-0.828094,0.424091,-5.90195
-89.3948,0.995435,0.218501,3,7,0,89.4979,0.398857,-1.66788,1.54436,-0.681003,0.790475,-6.90668
-88.7117,0.999898,0.218501,3,7,0,89.6704,0.284224,-1.56773,2.83337,-3.37473,-0.259523,-6.05438
-88.4895,0.99916,0.218501,2,3,0,88.8993,0.237788,-1.52576,0.937652,-2.47909,-0.767478,-5.66071
-88.5058,0.99975,0.218501,1,1,0,88.5251,0.241461,-1.52913,0.349304,0.498314,-0.725401,-5.69308
-87.081,0.99834,0.218501,3,7,0,88.9464,0.319233,-1.19792,1.96372,5.29573,0.106463,-2.72689
-86.7704,0.999986,0.218501,3,7,0,87.0995,0.284352,-1.04086,0.530304,-2.26856,-0.42466,-1.29137
