# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=737855710
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_noint_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,z_b.49,z_b.50,z_b.51,z_b.52,z_b.53,z_b.54,z_b.55,z_b.56,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_z_b.49,p_z_b.50,p_z_b.51,p_z_b.52,p_z_b.53,p_z_b.54,p_z_b.55,p_z_b.56,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_z_b.49,g_z_b.50,g_z_b.51,g_z_b.52,g_z_b.53,g_z_b.54,g_z_b.55,g_z_b.56,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-164.92,0.977268,0.0635503,6,63,0,195.162,0.346186,0.642751,-0.502464,-0.63613,1.22356,-0.56803,0.675061,1.73585,-1.26506,-1.4089,1.24302,1.50806,-1.43524,-1.44668,0.00427139,-0.985831,-1.41325,0.443938,0.133917,1.78214,0.651494,1.3736,-1.63912,-0.576634,0.978884,-0.493055,0.0137884,0.330801,0.411444,0.765706,0.393258,0.809573,0.888233,-0.395786,1.17303,0.667084,0.829434,-0.593459,1.17324,-1.34484,1.31163,-0.806927,0.942843,-0.0730078,-0.424557,0.64423,-0.0816647,-0.30375,-0.506985,-1.74337,0.343948,1.33149,-0.431849,0.436831,0.0941744,-1.02069,0.810568,-2.00256,1.14994,-1.10691,-0.0509389,0.297953,-0.698245,-0.741051,1.9634,-2.17015,-0.810888,-0.949374,-0.0641946,-2.16498,1.7148,0.350564,-1.08794,-0.154322,2.03411,1.33259,-0.29213,0.327022,0.0377567,0.145168,-0.0977929,-1.48286,-0.324006,-0.674532,2.16029,0.949344,-0.105805,0.519711,-0.939753,0.0233401,0.720082,1.41143,1.21726,-0.26086,0.0422339,-0.684923,0.271024,-0.348257,3.31794,-1.48125,0.865363,0.102482,2.41882,-0.613586,0.423094,-1.09718,0.288568,-0.977287,-0.219297,1.00917,-0.446548,0.415597,-0.956281,0.178639,-0.489445,0.192542,-0.597707,0.512995,-1.16401,-0.0571391,0.811382,1.12685,0.0854503,-0.197495,1.09315,-2.06252,1.01246,-0.326615,-2.3082,-0.601174,1.30048,-0.515499,0.656433,1.82037,-1.14574,-1.33073,1.20695,1.61682,-1.41731,-1.43118,0.037407,-0.966646,-1.82836,0.518619,0.205522,1.78871,0.587551,1.38084,-1.66902,-0.590667,1.03902,-0.478041,0.0573644,0.325759,0.461596,0.796917,0.485415,0.733338,0.902511,-0.495341,1.2592,0.685917,0.882219,-0.547289,1.19104,-1.4211,1.35883,-1.19126,0.942843,0.175848,0.0869915,-0.142067,-0.694803,0.428706,-0.456015,-1.35717,0.488659,1.50542,-0.169419,0.398513,-0.52671,-1.02069,2.72898,-3.27962,1.14994,0.711484,-1.57028,4.45949,1.58077
-172.512,0.990254,0.0635503,6,63,0,203.09,0.00809873,1.10493,0.390138,0.0845007,-0.0342981,-0.722422,-0.256041,-0.917524,3.08646,-1.58501,-1.56315,-0.19244,1.34193,0.722015,-0.349465,1.45851,2.12081,-1.71859,-0.793956,0.778411,-0.94277,0.250714,1.82497,-1.30732,1.33235,-1.21495,0.61344,0.676355,-0.721713,-1.43139,-0.0293835,-0.721035,0.517723,0.631715,-0.656734,-0.162188,-2.05147,0.772967,0.933094,-0.762558,-0.878076,-0.379065,-0.873535,1.46943,0.662735,-0.124103,0.805624,-1.21929,-0.752971,0.115169,0.533223,-0.454484,-0.0425687,-0.774593,0.11375,-0.329668,-0.0729259,0.422867,-0.428319,-2.77267,0.303922,-0.150546,-0.875826,0.3498,4.18507,-1.0295,-0.680407,1.47186,-1.06816,0.63076,1.48858,1.25952,-2.21411,0.57494,1.77752,-0.715081,-1.15959,-0.101093,-0.161366,-0.997951,-0.148171,-0.179654,2.44236,0.0820271,1.73131,-0.910542,-1.55774,1.7556,-1.3823,0.341354,0.68073,0.0780561,0.195209,0.540506,0.409287,1.26451,-0.189846,1.11026,0.706277,0.27216,-0.236728,1.72227,-1.99833,1.06149,-1.43834,0.530666,0.215962,0.516143,0.456327,-1.62266,-0.0836029,-1.71925,-0.848657,0.0115701,1.30253,0.0771327,0.464987,0.423437,-1.32016,-0.746814,-0.90993,1.06759,0.647528,-0.0687434,0.195782,-0.518258,1.60452,6.55599,1.9719,0.0909373,-0.0253774,-0.719582,-0.257918,-0.911355,3.10328,-1.57217,-1.56685,-0.174095,1.33355,0.724415,-0.339253,1.46169,2.06389,-1.70908,-0.785953,0.786282,-0.970219,0.253809,1.83139,-1.31873,1.34926,-1.20974,0.622745,0.684034,-0.712208,-1.44471,-0.0173861,-0.736266,0.521102,0.637166,-0.65772,-0.157098,-2.04183,0.774623,0.936101,-0.781323,-0.879711,-0.389555,-0.873535,1.59252,1.17976,-0.137241,-0.0269109,-0.60449,-1.05584,0.887794,0.1268,-0.762996,0.364619,-0.735705,0.408543,-0.329668,-1.24718,2.17156,-0.428319,-0.944188,-0.313407,0.685337,-0.960474
-167.33,0.999955,0.0635503,6,63,0,200.756,0.691427,0.618683,-0.717846,-0.00132396,0.640741,0.635628,-0.37361,1.29868,-2.30904,1.19036,2.92397,0.630322,-0.557713,-1.66653,-1.2904,-0.277125,0.143377,-0.709643,-1.65553,-0.963073,0.275261,-0.643053,-2.5836,0.344501,-0.123375,-0.381296,-0.955734,0.545583,0.626404,-0.616578,-0.414744,-1.40338,-0.324093,0.48823,-0.320728,0.54161,-0.317396,-0.38801,-0.784957,-0.951258,-0.383004,0.194748,2.11553,-0.976883,-1.59602,0.925442,0.266107,-0.333503,0.946644,-1.78598,0.264151,1.05677,-1.26562,0.403067,-0.197498,-0.186377,0.422898,-1.92484,-0.106926,0.125057,-0.225496,-0.292925,-0.398093,0.70871,3.87102,0.0945193,0.184846,0.475742,-0.313251,-0.567214,0.0439506,2.20149,-1.06363,-0.159523,0.450989,1.2508,-0.465573,-0.989313,1.58206,1.89078,-2.10011,-1.59673,0.400987,-1.16633,0.0210882,0.638753,-1.33277,1.62997,-1.65283,0.389344,1.019,-0.27551,-1.83725,-0.0441669,-1.82731,0.486404,1.01464,-0.746179,0.210607,-2.38989,0.783344,0.842102,-1.43677,-1.16325,-1.03202,0.362245,2.0334,1.13587,-1.3793,0.816998,0.189433,-1.45071,0.452441,-0.362479,0.18384,-0.284673,-0.90917,-1.01521,-0.459598,0.853895,0.368292,-0.56634,-0.717657,-0.337678,2.0688,-0.971996,4.12399,-0.414676,-4.78005,0.044438,1.12752,1.01523,-0.142397,1.9434,-1.80436,2.02237,3.37366,1.37819,-0.574099,-1.60669,-1.18168,-0.133428,-1.22506,-0.276951,-1.35988,-1.44613,-0.015707,-0.578452,-3.07941,0.439147,-0.0746883,-0.303525,-0.776486,0.491176,0.97722,-0.351114,-0.0365354,-2.50812,-0.263095,0.717059,0.0284859,0.69145,0.0174772,-0.159559,-0.725359,-1.62732,-0.296172,-0.581955,2.11553,-1.27333,-1.08744,1.15144,0.602865,0.456439,0.887153,-1.16368,0.371235,1.04236,-1.03053,0.80743,-0.906035,-0.186377,1.12019,-0.611167,-0.106926,4.93323,-1.83796,-2.48765,0.893043
-170.914,0.998875,0.0635503,6,63,0,201.712,-0.146781,0.225862,-0.0789265,-0.307051,-0.0599399,0.873927,0.727952,-0.647042,-0.392869,2.91512,0.112649,0.369034,-1.065,-0.746203,-0.981363,0.429356,-0.729066,0.232431,-0.292691,-0.872017,-0.846869,-0.378174,-0.456895,-0.461394,0.5075,-1.98729,-0.945777,1.04312,0.682362,-1.16069,0.730921,1.48105,-0.453953,0.721476,0.0552654,-0.0976074,-0.374319,0.208406,0.792014,1.39401,-1.78197,1.19211,0.0783394,-0.644529,0.682218,0.211156,1.0404,0.596613,0.535571,-0.696852,0.457632,0.236873,-1.12578,-0.446808,2.53323,2.91657,0.813364,-1.57994,0.00598241,-1.86049,0.975915,-0.189376,-1.22193,-0.704742,-0.305439,2.81308,-0.0978983,-0.743092,-0.596588,0.470391,-1.33386,2.01734,-0.680819,-2.97591,-0.672749,0.541656,1.52615,1.1723,0.272636,-0.0408962,0.786328,1.63957,0.890212,-0.351578,0.643138,2.67193,-0.378774,0.269411,0.268436,0.812341,-0.348691,-0.608186,0.385043,0.498398,1.91283,0.239899,-0.374616,0.32758,-0.554169,0.224846,0.382101,1.13969,1.585,0.075944,0.150091,-2.0482,1.18708,1.56774,-0.380266,-0.129908,-0.21726,-0.969379,1.41574,0.273777,-0.999177,0.95244,-0.537107,0.752421,0.913792,-0.386611,2.18771,0.105205,-0.406324,0.791966,-0.932828,0.275899,-1.89851,-5.45364,1.37654,-0.305615,-0.0486286,0.883997,0.714391,-0.627927,-0.370794,2.93762,0.0881343,0.386814,-1.08547,-0.739732,-0.971325,0.437664,-0.739512,0.24472,-0.280938,-0.870434,-0.907513,-0.386639,-0.459679,-0.488388,0.499002,-1.9815,-0.939145,1.03875,0.693393,-1.1673,0.747792,1.46155,-0.449207,0.723903,0.0469332,-0.0914829,-0.363883,0.219167,0.797049,1.35006,-1.78307,1.1318,0.0783394,-1.52862,1.25693,-0.684022,1.2006,1.44732,0.365759,-0.333697,-0.829586,-0.144852,-0.759154,-0.89891,2.82184,2.91657,0.0918469,-1.3156,0.00598241,-0.871963,2.59758,-1.17703,-5.28535
-163.411,0.998128,0.0635503,6,63,0,194.904,0.305604,0.245418,-0.33462,-0.148459,0.8958,1.78217,0.082236,-0.0620767,-0.730972,1.59624,0.344685,-0.262942,-1.85187,-0.715034,-0.0318373,-0.457833,-1.34268,0.425016,0.878599,-0.221907,0.415418,0.00662475,-0.0871097,1.58922,0.845941,-0.806653,-0.199361,2.00437,0.19249,-0.615741,-0.122494,1.56025,-0.594096,-0.159592,0.405506,-0.799911,-0.345512,1.53669,-0.26515,1.72653,-0.502237,2.22771,-0.538682,-0.888735,-0.0589744,0.139845,1.28195,7.38407e-06,-0.342177,-0.232408,1.04643,1.08157,0.342183,-0.761134,0.59026,0.56267,0.852862,-0.865289,-0.127476,0.14408,-0.46335,-0.786387,-0.978119,1.10972,-2.16087,1.36285,-0.295432,-0.68219,-0.0226845,0.802545,-0.614335,-0.0156965,2.72729,-0.102628,0.669509,-0.289918,-0.415103,-1.17529,0.756525,-0.152324,0.0116463,-0.936824,-1.01726,-1.44983,-0.506306,-0.495456,-1.54483,0.0177862,-1.72615,-1.0734,-0.179305,0.679328,-1.08442,1.04167,0.733103,-0.113942,1.04336,-0.211936,0.370718,-0.197975,-0.709101,1.38201,0.475091,-1.86686,0.0213374,0.387143,-0.10314,1.10637,0.160838,0.456785,0.897454,1.01681,-0.472718,-0.327488,-0.478059,-1.27692,0.0921106,2.72622,3.46456,0.343188,-1.52185,0.0798209,-1.1374,1.30283,0.281224,-3.53461,4.63767,-3.10221,-0.712602,-0.14955,1.04205,1.92112,0.126157,0.175044,-0.468164,1.8814,0.318493,0.00178041,-2.20368,-0.624883,0.0894099,-0.352228,-2.00497,0.572865,1.02224,-0.253595,0.0541685,0.0399369,-0.0525821,1.57228,0.969441,-0.718125,-0.0682108,2.09398,0.329584,-0.716938,0.0556176,1.52332,-0.493475,-0.0931788,0.470654,-0.708715,-0.212327,1.67446,-0.153622,1.82312,-0.42419,2.12621,-0.538682,-0.807953,0.135677,0.263837,1.25394,0.320755,-0.348003,0.0346466,0.956064,1.10982,0.601813,-0.708145,0.471976,0.56267,0.813773,-0.0402746,-0.127476,2.26395,-0.618056,-1.29173,-1.66072
-168.692,0.987262,0.0635503,6,63,0,204.4,1.01913,1.08819,0.0258466,-0.177783,-1.5545,-3.01938,0.559438,-0.584511,0.522432,-1.23215,0.862388,-0.611218,2.42986,0.691452,-0.781686,0.170019,2.8486,-0.631797,-0.258799,-0.293357,0.808113,0.00754631,-0.186584,-1.30842,-1.57883,0.733769,-0.449755,-0.906736,-0.340162,0.769353,-0.0127651,-1.5014,0.790281,0.229541,-0.490534,1.05411,0.0219482,-1.24435,0.243407,-0.388821,0.580005,-0.82521,0.618941,-0.310452,-0.430537,0.091781,-1.61086,-0.382872,-0.752321,-0.333325,-1.54289,-0.789414,-0.96298,1.4957,-0.466943,-0.421758,-0.143014,-0.763183,-0.539052,-0.864684,-4.31315,0.653896,-0.0574337,1.10102,8.34105,2.2723,0.603992,0.216025,1.87807,-1.34453,0.942478,-2.03789,-1.80522,-2.23947,0.62367,-1.03498,-0.475491,1.02112,0.508702,-1.48992,-0.399361,-1.90823,1.45766,-0.662622,-0.0213565,0.754593,0.439627,0.556302,-0.0251587,0.598497,-2.50497,-0.343874,0.0543448,-0.503714,0.880533,-0.242757,0.484804,0.242135,-0.775125,0.173415,-1.35471,-0.0404382,-1.98753,-0.285781,-0.837269,-0.0887065,1.6019,0.660561,-0.347845,0.0600724,0.812125,1.51186,1.35793,0.481812,-0.773319,1.2916,-0.249704,-0.335402,-0.404131,2.46277,-1.56508,1.52164,-0.538791,0.141891,-1.94245,1.23621,9.09519,9.76291,0.570199,0.0936295,-1.27648,-2.98328,0.54738,-0.472509,1.10139,-0.974319,0.898046,-0.0947249,2.67392,0.741244,-0.57006,0.210889,2.46653,-0.331172,0.0518451,-0.122012,0.601777,0.101819,-0.106135,-1.60951,-1.32528,0.783204,-0.229503,-0.691009,-0.11656,0.949695,0.477022,-1.80171,0.840595,0.154072,-0.261396,1.10905,0.258469,-1.17847,0.284545,-0.705379,0.674668,-1.67467,0.618941,-0.309539,-0.408655,0.074377,-1.61601,-0.347778,-0.742551,-0.304319,-1.54169,-0.77668,-0.952374,1.50142,-0.458378,-0.421758,6.90911,8.40262,-0.539052,-1.63893,-1.03765,-7.08072,-6.9157
-174.65,0.990129,0.0635503,6,63,0,202.482,1.62689,0.764627,-0.139782,-0.801703,-2.27295,-1.32936,0.782682,-1.57395,0.608926,-2.08048,0.195003,-2.72977,2.00387,0.14191,-2.07194,1.2179,0.513155,-1.2521,-0.121757,2.82868,1.30073,0.873672,-0.767972,0.550579,-1.17228,0.811002,-0.183489,-0.53607,-0.523381,0.94352,-1.01163,-0.235528,0.806295,0.400163,-0.370696,0.0195779,0.718875,-0.827156,0.96625,0.0355557,0.529761,-0.774945,-2.06242,0.254463,-1.45286,0.190815,-0.48222,-1.03499,-1.45151,0.976122,-1.30823,0.60141,-0.392696,0.681168,0.0242248,-0.217263,-0.311339,-0.717021,0.187059,-0.620002,-5.0115,0.756305,0.169575,0.509472,-6.68018,-0.672539,-0.254146,0.441527,2.64872,-0.171042,-0.0448431,-0.77275,0.13391,-0.774393,-0.839789,-1.90416,-0.650377,-0.257556,0.258215,-2.10816,-0.171331,0.00482213,1.89721,0.00493166,0.47405,-0.119441,1.89342,1.2078,-0.490069,0.306752,0.697745,0.0158795,-0.493503,-0.739744,2.04573,-0.528981,0.10868,0.37909,-1.14262,0.278578,0.946861,0.300916,0.809583,-0.457198,1.55251,-1.46961,0.691947,-0.342868,0.0168161,1.67644,-0.0148723,0.00396342,0.708807,1.11375,1.3498,0.849907,-1.61296,0.547981,0.391362,0.198655,0.481384,0.649239,0.538626,0.0760683,-1.52845,-0.945284,11.5575,6.63887,-1.30844,-0.73875,-1.91998,-1.19334,1.08797,-1.40195,1.75359,-1.79971,0.164529,-2.28155,2.51283,0.271639,-1.90919,1.42829,-0.678622,-0.776207,0.456021,4.04484,1.22743,1.21629,-0.826918,0.572448,-0.925482,0.994349,0.224945,-0.230713,-0.143675,1.37022,-0.453249,-0.592096,0.983991,0.499218,-0.118935,0.144804,1.22719,-0.648282,1.16735,-0.247224,0.974397,-2.6252,-2.06242,0.258957,-1.44259,0.17774,-0.487566,-1.01157,-1.44368,0.988968,-1.29265,0.611514,-0.381631,0.686639,0.0307251,-0.217263,14.1214,13.3653,0.187059,2.24388,-1.04486,-13.4604,-8.66967
-161.685,0.988687,0.0635503,6,63,0,200.581,0.813078,0.584545,0.151524,1.1441,0.604652,0.256701,0.172545,0.719543,-1.4442,1.01686,-0.174734,1.47311,-1.13486,0.0815672,0.0454507,-0.0543094,1.19952,-0.750108,-0.169737,-1.65764,0.622128,-0.925001,0.235544,0.39269,-0.214099,-2.66698,-0.606545,-0.779638,-0.578445,0.285613,-0.0875079,0.841246,-0.777823,0.501408,0.295251,-1.03098,-2.58672,0.605143,0.139072,1.18768,-0.14932,2.58493,0.322129,-0.0691683,0.457992,-0.264368,-0.638379,0.140762,0.0645956,-0.44494,0.413994,1.11494,0.685019,-1.0592,1.23044,-0.098812,-1.14839,-2.03374,-0.0150183,-0.576939,-1.84345,-0.236673,-0.21836,-2.77991,1.11019,-0.649805,-0.250269,1.81727,1.14775,-0.366762,0.84207,-0.882427,1.27362,1.44348,1.09369,-1.72646,-0.566588,2.19552,-1.96405,-0.470658,1.46799,-0.560221,-2.88787,-1.37129,-0.138888,1.25047,-0.424326,2.13629,1.02957,0.196929,1.11224,0.797367,-1.65548,0.862138,0.114239,-0.731886,-0.0629582,0.577002,0.6361,0.117656,0.132487,-1.50943,-0.263261,-1.05734,0.157893,2.2854,-0.276178,1.41776,-0.0681281,0.960879,1.04723,1.67828,-0.954065,1.41962,-1.24755,-0.0887504,-0.483675,-0.770896,0.306551,-0.349518,0.0168306,-0.216923,0.211318,2.1938,-0.318483,2.04971,-2.09376,-2.62298,2.95643,1.2716,0.866714,0.38678,-0.138017,0.984214,-1.10947,1.41304,-0.476374,2.00366,-1.62616,0.156215,0.271542,0.0385885,0.378858,-0.543764,0.0736441,-2.22781,-0.385674,-1.05148,0.303266,-0.103629,-0.0708723,-2.63892,-0.427184,-0.710843,-0.407667,0.113114,0.2212,0.635537,-0.711341,0.259068,0.318627,-0.978136,-2.48488,0.749779,0.226385,0.858805,-0.152652,2.3264,0.322129,-0.16213,0.617524,-0.314234,-0.823779,0.379569,0.0494278,-0.223223,-0.0512382,1.00997,0.810583,-1.15882,1.21511,-0.098812,-4.36912,-0.223885,-0.0150183,-1.62452,-0.833696,-0.192895,-1.71241
-160.462,0.977797,0.0635503,6,63,0,189.665,0.72569,0.834569,0.14304,1.62468,0.417202,-0.252444,-0.506029,1.04792,-1.41689,0.883537,-0.443612,0.91269,-1.29194,0.266006,-0.12035,-0.172904,0.891268,-0.367579,0.363063,-1.66118,0.713109,-1.2145,-0.138969,0.363435,-0.0133661,-2.6606,-1.02118,-0.340664,0.0325429,0.266057,-0.146928,0.485543,-0.636254,0.567919,0.283169,-1.35091,-1.73981,0.951764,0.403452,1.50917,-0.370696,2.08775,0.195621,-0.0742779,0.457808,0.452754,-0.885029,0.602829,0.306951,-0.459754,0.5666,1.45565,0.303305,-1.06452,0.836359,-0.541564,-0.895889,-1.81146,-0.140337,-0.369424,-1.93591,-0.0147321,-0.170543,0.849933,9.29875,-0.676587,1.19244,-0.691413,-1.31025,-1.56628,0.553995,0.265206,-0.672709,-0.57231,-1.8241,0.0276633,0.347878,-0.503071,-0.277024,-0.701907,1.21144,1.40003,0.477886,0.357698,-0.627086,-1.04131,-0.0269465,0.624635,0.526763,-1.12525,1.43264,1.46958,-0.0691284,-0.207175,-1.11211,0.55819,0.165931,-0.0902611,-0.566388,3.08963,0.743166,0.795299,0.862739,-0.545721,-1.60903,-0.357294,0.0163547,-0.117915,2.13729,-0.519342,0.988242,0.752343,0.0117072,0.44649,0.828229,-1.04437,0.21417,-1.27215,-1.28426,2.49585,1.4011,-0.294846,0.497514,-0.0160698,-0.139254,-0.369622,-3.74701,1.66618,2.53524,2.04775,0.782388,-0.150278,-1.20683,1.32852,-1.00426,1.34962,-0.953267,1.59233,-2.02285,0.324257,0.157353,-0.108436,-0.625926,-0.0705993,0.731761,-2.57343,-0.321548,-1.47434,-0.1171,-0.182799,0.236654,-2.64759,-0.840901,-0.191974,0.279844,0.109561,0.267213,0.147716,-0.593261,0.184495,0.393562,-1.32449,-1.60007,1.11991,0.472954,1.20421,-0.529342,1.76137,0.195621,-0.149435,0.644126,0.335875,-1.14606,0.841229,0.303118,-0.235492,0.179918,1.30078,0.379928,-1.21301,0.787677,-0.541564,-4.8097,-1.10742,-0.140337,0.38798,-0.851227,2.21637,2.87552
-172.445,0.959169,0.0635503,6,63,0,197.921,0.731495,0.693982,-0.695875,0.163273,-1.66282,0.716676,0.898007,-0.0599236,-0.702731,0.876242,-0.689787,1.07734,-1.3189,0.854006,0.196547,0.0918947,2.29132,-0.755332,-1.23369,-1.45198,1.33313,-1.06597,-0.213785,0.536324,1.12528,-3.24098,-0.750009,-0.494039,-0.459495,-0.588012,-0.589861,2.23496,-1.50068,1.78404,-0.052703,-0.141808,-1.3633,-0.243134,1.13607,2.03789,-0.587316,2.81281,-0.366866,-0.292474,-0.582991,1.57266,-0.903178,-0.520635,1.22812,-0.803088,-0.872333,0.0767336,0.527419,-0.722926,-1.0986,-0.0898646,0.0748884,-1.65711,0.360564,-0.412808,-3.73269,0.471033,-0.401454,-2.01604,-2.85191,-3.88599,-2.19254,-1.81445,0.663696,1.15947,-1.2558,0.942972,-0.629019,0.174038,-0.601475,0.837475,0.08046,0.234278,0.224319,0.615743,-0.200038,-1.39962,1.2186,0.1767,0.813918,0.0623457,-0.0442494,0.841562,1.1767,0.708618,0.037862,-0.361234,-0.836574,-0.349314,1.08099,-0.348552,0.53992,-0.439976,1.42819,1.21473,-1.35437,0.388766,-0.334279,0.0493131,-0.578803,-0.422561,-0.199581,-1.08216,0.615455,0.487127,-0.975463,0.614881,0.0458555,-1.3573,-1.87792,-0.0563624,0.94463,-1.76664,0.654882,1.0462,0.396509,0.365559,0.912502,-0.944043,1.67891,1.83524,4.6222,-0.393296,-2.96094,0.379732,-1.43163,0.880472,0.871158,0.132224,-0.309115,1.21137,-0.988026,1.55614,-1.57903,0.908186,0.272192,0.123134,1.81268,-0.50396,-1.0073,-1.83136,1.238,-1.19669,-0.414693,0.537922,1.43115,-3.22984,-0.620109,-0.470567,-0.294799,-0.482593,-0.329282,2.35139,-1.48062,1.87498,0.028977,-0.0974946,-1.25752,-0.100274,1.20787,2.04817,-0.56177,2.3161,-0.366866,-0.280384,-0.558142,1.56801,-0.893423,-0.492412,1.24315,-0.778753,-0.872186,0.0617179,0.538768,-0.736477,-1.119,-0.0898646,5.20746,-1.9599,0.360564,-1.61767,-0.98908,1.48778,-3.20495
