# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1640674464
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_full_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,z_beta.4,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_z_beta.4,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_z_beta.4,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-128.818,0.959318,0.0768822,6,63,0,159.473,-0.482543,0.43449,0.122331,-0.644418,0.589845,-0.589901,-0.851258,0.048452,0.659276,-1.28705,-0.674456,1.65911,-0.399657,0.0859509,0.702187,-3.18331,-0.867526,0.72907,0.708329,0.292074,0.565913,-0.407895,1.06805,-0.0597419,-0.622347,-0.753624,-1.02369,-1.08823,0.210431,0.860404,-1.24782,0.755041,-1.62325,-0.43081,0.598846,1.19811,0.255743,0.136693,0.753251,-0.215038,1.03593,0.385118,2.27243,0.524468,0.379164,1.40987,0.686418,1.78192,-0.511149,-0.626796,0.693725,-0.680575,1.12593,0.679941,-0.831522,0.096707,-0.164183,-0.133101,0.621643,-0.672952,8.40497,-3.55325,1.38392,1.21474,1.66471,-0.0934922,1.97644,-0.558858,-0.318234,-0.575846,-0.911066,-0.931358,-2.01692,-1.01028,-0.568949,2.34085,0.947217,-1.78132,0.110998,1.47942,-0.924072,-0.145639,-0.37046,-0.237747,0.0533802,-0.137411,1.30069,0.618435,0.101555,1.078,-1.1165,1.72067,-0.41174,1.99596,-1.59866,0.648783,-0.0403919,1.50087,-0.0183546,-0.650261,-0.683798,-0.666587,-0.41079,0.0550516,-0.0730151,1.26119,0.0674656,-0.8134,0.24956,-0.619022,1.10976,0.138176,0.0543364,0.541554,3.85213,3.46347,0.542148,-5.11704,0.783093,-1.82135,-0.253671,0.350627,0.789622,-0.590251,-0.31614,2.42058,1.14009,0.284955,-2.97035,-3.17593,-0.18626,0.88993,0.782235,0.984085,1.04072,-0.443116,1.51203,0.218341,0.478568,-0.409209,-0.537925,-1.01532,-0.183247,2.23367,-1.2349,1.41096,-1.59555,-0.37086,1.059,1.12061,0.255743,0.111144,0.724915,-0.00490579,0.490968,0.775354,2.49269,1.14395,0.664072,1.7291,0.782909,2.01009,-0.829461,-0.626796,1.57142,2.11468,1.12593,-1.09381,0.970149,-1.19197,-4.57709
-128.584,0.973429,0.0768822,6,63,0,154.689,-1.2573,0.600633,-0.582779,-0.558007,0.144215,0.486323,0.201427,-0.254509,1.00814,-0.657418,0.366263,1.55702,-0.651698,-0.284406,0.976824,2.05993,0.22733,0.442171,1.50248,0.607515,0.232587,0.273139,-1.22184,-0.16542,-0.807249,-0.874627,-0.607548,0.551617,0.974162,1.23404,1.12888,-1.21638,1.35431,0.263183,0.533875,1.94677,0.0772148,0.0566171,-0.429549,0.352297,-0.871408,-0.766509,-2.53186,-1.00301,0.398997,-0.201051,-1.32186,-0.876862,-0.165452,0.502918,0.82343,-0.125517,-0.277545,-0.251806,-1.6958,0.0812731,0.52908,1.05017,-0.822713,-0.564115,4.05979,-7.79841,0.932121,1.32674,-0.92611,-0.12509,-0.580968,0.516226,1.24856,0.733266,0.288808,0.636325,0.863553,0.913256,-1.56071,0.280703,1.08686,-0.596179,-0.0716178,-0.952951,0.315068,0.642937,-1.14631,-0.479416,0.212899,-0.862136,0.110398,-0.246163,0.367916,0.456495,0.433577,-0.173746,-1.20923,-1.11654,1.11585,-1.74832,0.599274,-0.0799024,-1.22665,-0.614095,0.751283,-1.77977,-0.350741,0.955929,0.926388,1.1865,0.611727,-1.18102,1.3337,-2.20313,-1.27721,-0.999834,1.14524,-0.0906661,5.151,3.27659,-2.85506,-2.872,-0.69744,0.832587,1.6469,-0.0264607,1.26426,0.297487,0.880779,1.4223,0.905241,-0.25267,-3.59048,4.11091,1.38997,0.545044,1.84552,0.738051,0.888669,0.416195,-1.20875,-0.00334722,-1.00125,-0.71185,0.237478,0.317918,0.287116,2.57472,1.41402,-1.14685,2.33175,0.330074,0.411432,1.10247,0.0772148,0.0256968,-0.159143,0.60842,-1.15865,0.0760567,-2.56511,-0.62299,0.594506,0.102384,-1.19441,-0.820214,-0.579596,0.502918,10.4085,0.143151,-0.277545,-0.192111,-1.66935,7.9436,8.85001
-130.664,0.958118,0.0768822,6,63,0,155.788,0.753041,0.834234,-0.251744,-0.155381,0.233706,-1.01191,-0.0729392,0.792091,0.258019,-1.20916,-1.84413,0.743766,-0.177154,-1.49857,1.02281,-2.15961,-0.165932,0.818219,0.283036,0.38957,0.41257,-1.19385,0.71166,-0.150044,-0.520987,-0.760659,-0.686281,-1.79818,-0.609604,-0.132792,-1.42383,0.848241,-0.529411,-0.691076,0.40515,0.468341,0.362808,-0.158433,0.111912,0.514766,1.25191,-0.667681,1.48339,0.0362004,-0.0310001,0.239695,0.869707,1.33905,0.256263,-0.28648,-0.025488,-1.67373,0.0576125,-0.268663,-1.39265,-0.274646,-0.214183,-0.260856,-1.75395,-1.72828,7.09056,-2.32189,0.402981,1.15645,1.36837,0.672791,-0.555044,0.382418,-0.372189,1.10844,-2.04573,0.896219,2.24596,0.986829,0.647727,1.24539,1.64733,-0.28108,0.0312895,-0.233716,0.319245,-0.491849,-0.82481,0.875296,-0.179568,0.0361165,-0.359955,0.839583,0.164927,1.97608,-0.0771625,0.122863,1.27063,1.08166,-0.582076,-0.482994,0.410568,0.464087,-1.68595,-0.782608,-0.685574,0.187583,-1.2407,-0.283766,0.0701248,0.794733,0.514158,0.395062,0.466648,-1.01189,0.208159,-1.69075,0.197243,0.633395,6.25639,6.04173,-1.35395,-0.739069,1.92621,-0.839796,0.363246,1.00185,0.406198,-0.569441,-1.59824,0.807415,0.565833,-1.4619,-0.025432,-1.87816,0.246251,0.575802,0.42608,0.519276,0.386212,-1.01271,0.806585,0.14399,-0.221108,-0.444649,-0.146832,-2.2169,-0.705638,-0.0331024,-1.39295,1.19018,-0.423337,-0.634334,0.523689,-0.054718,0.362808,-0.187982,0.317619,0.602857,1.09655,-0.249969,1.49951,0.434793,-0.00722367,0.334731,0.997196,1.41815,0.219941,-0.28648,0.812491,1.25171,0.0576125,-3.67764,-0.884062,-5.15794,-8.08946
-134.203,0.997177,0.0768822,6,63,0,158.569,-0.41182,0.0129902,0.116419,-0.730711,0.535794,0.738447,-0.564722,-1.36362,0.241352,-0.465609,1.58371,1.67173,-0.127485,1.61453,1.30102,1.67888,-1.78089,-0.926745,-0.249232,-0.27,-1.00262,1.69362,0.0333053,-0.600585,-0.628373,0.254392,-0.862366,1.37532,0.81063,0.214015,-0.16171,-0.521447,0.908979,0.646037,0.701842,1.45905,-2.34369,0.0153423,0.414406,0.755023,0.102392,-0.252634,-1.18099,-0.522578,1.40114,0.824159,-1.00397,-0.0132419,0.279013,-0.881099,-0.00530857,-0.279179,0.177155,0.681675,1.05041,0.834374,-0.466139,2.47778,1.75751,-0.881401,-0.881878,2.20589,-0.900248,0.20732,0.413628,0.787128,-1.10301,-0.581837,1.93278,0.811754,-0.73172,-0.0384588,-1.08127,-1.24299,0.132826,-0.420021,0.471867,-0.154458,-0.136223,1.06986,-0.420202,-0.552538,-0.298869,-1.01709,-1.5392,-1.24255,-1.37816,-1.78364,1.13921,0.500923,-0.343687,1.02273,1.01209,-1.1017,-0.0149834,1.32741,2.0887,0.121223,-0.0349855,1.37704,1.75913,0.472556,-0.464319,1.00113,0.705579,-0.542793,-0.988439,-0.80517,-0.574667,0.165368,-0.731952,-0.0758082,0.976608,-2.87562,5.61634,-1.17539,0.358111,0.117174,5.02649,1.50092,0.022709,-1.18021,0.850782,0.366383,2.35329,1.40715,0.517285,2.1386,0.353307,2.301,-1.69972,-1.42781,-1.15247,0.229216,-1.02467,2.64648,0.213823,-0.583612,-0.483582,0.835468,-0.687073,1.65292,1.12117,-0.247963,-0.0151763,-0.0159882,1.26048,0.717558,0.534182,1.94596,-2.34369,0.985498,3.24104,3.4548,1.14175,0.539454,-1.15711,1.16728,1.37561,1.23412,-0.184918,-0.944049,0.156747,-0.881099,2.65591,5.27145,0.177155,5.22334,3.53654,-0.260374,2.67826
-131.654,0.996011,0.0768822,6,63,0,163.685,0.561299,0.830917,0.219656,0.128127,0.56414,0.159882,0.0463528,0.8173,0.204705,-0.621438,-2.25132,-0.480889,-0.527974,-2.07377,0.405315,-2.23317,1.09329,1.60349,0.616388,-0.131145,0.983841,-1.97403,-0.953822,-0.0350902,0.780567,-0.477234,0.59085,-1.34007,-0.128483,0.566762,-0.474863,-0.478742,-0.914024,-1.0763,-0.45979,-0.043397,2.02549,0.564276,-0.989713,-0.493967,0.405349,-1.58411,0.380468,-1.27976,-0.315381,-0.195584,-0.437833,0.0244199,-0.421683,0.725962,0.622536,-1.02205,-1.75434,-0.306351,0.201511,-1.01859,0.641569,1.37113,3.09823,0.193705,-0.894,-0.105586,-1.53118,-1.34619,0.361529,-0.254393,-0.214135,-1.27227,-1.9846,0.446624,-0.44827,0.0591811,-0.0600482,0.501763,-0.121051,-0.383389,0.555544,1.89664,1.3733,1.55267,1.01921,-1.76369,-0.435036,1.38623,1.65155,-0.638703,-0.150784,1.00515,0.578415,-2.08061,0.344005,-1.99514,0.825772,1.19427,1.65267,1.62682,0.536972,0.921189,-0.467509,0.192333,0.50724,-0.382915,-1.13993,1.01163,0.345183,0.571252,0.54541,1.76565,-0.911943,2.49483,-1.28485,0.665191,0.514307,0.911876,0.516284,2.22004,-1.30875,4.27904,5.84335,0.533373,1.86428,1.29489,-0.712086,1.08301,-2.04777,-2.15978,-0.432592,-2.06321,-2.30967,-1.8441,2.27826,1.35848,1.46868,-0.729843,0.143083,-1.23855,-0.789989,0.363661,1.44625,-0.243357,0.169878,-2.17863,1.21851,1.13997,-0.183488,-0.177078,-0.910142,-1.0627,0.394913,-3.88479,2.02549,2.08948,-2.61108,-4.58626,4.442,-0.887159,1.07153,-0.00714222,-1.61834,2.02684,0.259292,-1.3316,-2.20015,0.725962,0.968366,-1.07536,-1.75434,-2.70416,4.2644,-0.369119,5.14419
-131.281,0.946326,0.0768822,6,63,0,159.113,-0.877763,0.848717,-0.899571,-0.8006,0.0214648,0.0645223,-0.843534,-0.863459,-0.0804759,-0.637889,0.423043,0.069773,-0.73866,2.20997,1.3934,0.708447,0.0583126,-1.19568,0.994846,1.1271,-0.365444,0.615095,0.329153,0.800235,-0.0630091,0.493341,-1.52656,0.598836,0.666134,0.10721,-0.547074,-0.115995,-0.419617,1.34371,1.12243,0.776357,-1.74217,0.464247,0.601228,1.62118,0.67671,0.792448,-1.72082,-0.27674,1.2469,1.5786,-0.207279,0.150665,0.431101,-0.68982,0.805714,-1.49614,1.49166,0.482614,-0.125502,-0.169269,0.0335954,0.371089,0.352674,-1.7789,0.109815,-2.80881,2.02568,-0.548133,-0.769958,0.0527621,0.351554,1.12521,0.0698268,0.281287,-0.169082,-1.52039,1.19405,-1.7758,-2.49226,-1.44738,1.17756,0.906148,1.91836,0.746028,-1.32949,-0.36327,-0.163769,-0.398811,1.87075,0.741989,0.549132,0.660521,0.138899,0.98587,-0.245837,-0.429821,2.57469,-1.04673,-0.973098,1.12386,-1.01223,-1.0783,-0.445174,0.333955,0.802481,-1.75365,-0.0310511,-0.192002,0.233403,-0.135542,-0.3093,-1.35551,0.0224484,0.990029,-0.494472,-0.899357,0.327383,0.947628,-0.0724156,-2.61713,-1.35463,-0.326668,-3.84855,-0.21685,0.140323,-0.7217,-1.44012,0.736212,0.900203,-2.24385,0.828472,2.88115,-0.805607,2.24816,1.21877,-4.04749,1.03607,2.60386,0.611321,1.15553,0.39422,1.35204,0.209965,1.3521,-1.53219,-1.12851,-0.0389238,0.421829,-0.52882,0.339926,-0.247307,1.55721,1.58979,-2.00728,-1.74217,0.775299,1.05053,-0.0215643,0.886327,1.73739,-2.69437,0.902267,0.47436,2.95465,0.396938,-0.721,-0.320534,-0.68982,2.12832,-2.75935,1.49166,0.356939,0.501465,2.79986,4.58256
-140.864,0.905347,0.0768822,6,63,0,164.355,-0.026712,0.370626,-0.141868,-0.541308,0.251119,3.23851,0.626561,-1.42089,0.835283,0.434196,-1.07167,2.26738,-0.962951,-0.255593,2.27784,-0.545133,-0.152985,1.09641,0.756803,1.22938,-1.27091,0.15688,1.05029,1.58946,-1.1983,-0.9089,-0.132146,0.0838271,-0.519271,-0.150117,-0.211052,1.3201,-0.0151363,2.00443,0.783553,1.03397,0.663901,-1.05519,-1.56042,0.312929,0.365833,0.0312991,0.7109,0.121238,0.0681213,0.299528,-0.0498785,0.225834,0.472326,0.097289,-0.438823,-1.06476,1.74148,0.0632684,0.197567,0.405937,-0.901457,-1.50663,3.16649,-2.73018,-2.90081,-1.32681,-0.0399766,-0.666924,-0.58423,-0.287003,-0.158312,0.7557,-0.390223,-0.0482628,2.61734,0.214307,1.08693,0.314209,-2.11896,0.922369,1.16941,-0.421424,0.494678,0.203125,0.732467,0.182814,0.864212,-1.17517,0.572661,0.623977,-0.325218,-0.480041,-0.230492,-0.312941,1.09701,0.916891,-0.0867335,-1.90092,0.278863,1.78208,1.56117,0.335673,1.32647,-2.04201,0.209263,0.971676,1.477,0.138654,0.169326,0.239884,-0.692271,0.372812,-0.473704,1.14602,0.29645,-0.427799,-1.13702,0.268916,-2.39912,-0.367821,-0.0236905,-1.74547,0.546258,3.26199,0.768125,-1.37672,0.750678,0.696566,-0.940898,2.18721,-0.693654,-0.207858,1.66887,-0.442731,-0.0282019,0.790034,0.694235,1.3239,-1.73195,0.00983979,1.09609,1.70461,-1.12079,-0.841853,0.0727127,0.172496,-0.825597,-0.639645,-0.180567,1.43254,0.0476592,2.08779,0.660138,0.539017,0.663901,-1.51017,-1.45415,-0.137491,-0.238797,0.595407,0.914856,0.621207,-0.680987,-0.119287,0.297049,0.117173,0.353074,0.097289,-2.45507,-0.507583,1.74148,-1.55924,0.119165,0.792223,-3.85015
-145.012,0.993549,0.0768822,6,63,0,172.989,0.267185,0.197268,0.946748,-0.26813,-0.176311,-2.47181,0.629323,0.74022,-0.0774806,-0.785877,1.05733,-0.546782,-0.674331,1.05978,-0.0995588,-1.76676,0.273508,0.0785024,-0.333035,-0.0232056,1.30414,1.88114,0.116023,-0.0912894,-1.11464,0.76267,0.614843,0.73545,2.23726,0.665534,1.37083,-2.02876,-0.832561,-0.454324,-0.587544,2.43083,-0.861462,-0.163131,-0.866217,0.643682,0.166615,-1.04561,-0.200868,-0.0533682,0.03103,0.851099,-1.52356,-0.259295,-0.514894,-0.690238,-1.00131,0.030033,-0.855641,-0.604061,-1.22165,-1.26723,-1.27897,0.26546,-3.84434,0.968397,-0.0392902,-1.95844,1.65435,1.09017,-1.07929,0.611869,0.363121,-0.398124,2.15402,-0.950381,0.145695,2.34993,-1.08981,0.114181,0.576538,0.720004,1.47948,-1.63701,0.757437,1.32886,1.83511,-1.65154,-0.597691,0.402316,0.412312,-0.257083,-0.250068,0.505687,0.938567,-0.298561,2.17577,0.805805,1.7111,0.392928,-1.1172,-2.00234,0.427184,0.400567,-0.136707,0.787393,0.285685,-0.270531,0.542309,-0.313399,0.177248,0.466427,-0.184782,-1.23241,-0.280489,1.64895,0.933248,-0.14519,0.549205,0.599249,0.0348935,-2.82257,3.15348,-0.619668,-4.65003,-2.66505,0.66064,0.774936,-0.17166,-0.729947,1.12901,-0.593685,-0.601658,1.09376,-0.210866,-1.73617,0.305969,-0.0679704,-0.333159,0.0112823,1.25185,1.92056,0.148425,-0.0577488,-1.08121,0.789913,0.680736,0.74884,2.17378,0.665567,1.40333,-1.99596,-0.802465,-0.425298,-0.569256,2.35174,-0.861462,-0.137134,-0.932046,0.585851,0.0920768,-0.96325,-0.174047,0.0241979,-0.0584653,0.867341,-1.47016,-0.266331,-0.503199,-0.690238,-1.12166,0.14977,-0.855641,-0.289604,-0.872275,-0.594284,-1.63282
-153.902,0.994354,0.0768822,6,63,0,179.777,0.589633,0.650231,1.06671,-0.170639,-0.301714,-2.09229,-0.665953,-0.0301995,-0.336466,0.980067,-0.724542,-0.362517,-1.0363,1.05312,-0.552509,-1.5638,0.72013,-2.34054,-2.04489,-0.0439265,1.90469,1.45866,-0.335701,0.796299,-0.149806,0.269358,0.569172,1.4561,-0.137877,0.656845,0.875467,-0.113472,-1.25358,-0.570854,-0.459472,1.49488,-0.338591,-0.606053,-0.901656,1.12075,1.19351,1.36047,-0.949988,-0.839415,1.85756,1.1535,-2.77274,-0.291318,-0.433084,0.9918,-0.240814,0.0462781,-1.41626,0.253957,-2.58065,-1.84291,-1.56685,-0.387738,-3.27497,1.50903,-1.44321,-0.937936,-1.99628,1.0508,0.887803,-0.0230037,-1.15309,1.63533,-0.456933,-0.0747224,0.672191,0.00977607,-1.12616,0.0089486,1.59166,0.847946,0.0444504,0.387023,1.47906,0.349068,-0.506077,-1.11614,0.766638,0.483467,0.0884541,2.96265,0.444337,1.10892,-2.314,-0.301487,-0.166008,-0.419031,2.00165,-0.79662,0.123993,-0.487903,-0.0142128,-0.597888,-1.92371,0.387031,0.300998,-1.19051,0.313978,-0.0760023,-0.136711,-0.359763,-1.23361,-1.1954,0.0582878,-0.149904,1.03331,0.434799,0.0195937,1.65439,1.62427,0.649407,2.77028,-0.826126,-2.4055,-2.28432,-0.619638,0.0150271,-0.429626,1.07694,-0.627833,-0.37195,-0.933065,1.0991,-0.782644,-1.5148,0.771196,-2.54229,-2.03326,0.00665856,1.90863,1.54215,-0.294268,0.848954,-0.0998818,0.313416,0.669664,1.51594,-0.22899,0.721477,0.918215,-0.061161,-1.21452,-0.53324,-0.453394,1.44922,-0.338591,-0.602165,-0.907137,1.11797,1.17735,1.37446,-0.943159,-0.827236,1.84902,1.16015,-2.76457,-0.288488,-0.430482,0.9918,-0.257538,0.113565,-1.41626,1.44432,-0.974576,-0.834502,-1.51943
-152.183,0.994843,0.0768822,6,63,0,184.529,0.186241,0.331202,-0.809777,-0.277751,0.395322,2.19251,0.59457,-0.0729943,0.49068,-1.14248,0.571812,0.384984,0.617829,-1.636,1.1288,1.36905,-1.00169,2.08957,1.89605,-0.0469749,-1.71637,-1.48038,0.33109,-0.937995,0.0894522,-0.393466,-0.749495,-1.45771,0.176097,-0.127065,-0.917943,0.019481,1.04922,0.580912,0.175933,-1.20262,0.278006,0.603404,1.41568,-1.2527,-0.923645,-1.33369,0.660962,0.716701,-2.456,-1.17465,2.19902,0.335859,0.576021,-1.00105,0.586284,0.0261774,1.46788,-1.13606,-2.89348,-1.30334,-0.259391,-1.56786,-3.40379,-0.297506,-2.40688,3.16204,-1.40993,0.802317,1.30592,-0.285595,0.0347647,0.0315797,-0.144599,1.01916,2.04573,0.960026,0.952941,-2.21374,2.27902,0.78679,0.22033,-0.478458,-0.292883,-1.0113,0.41991,0.234588,0.313773,1.51818,1.41672,0.303695,-1.27425,1.02614,-0.0252573,-0.863785,-0.453294,1.4392,0.310357,0.884882,-0.263489,-0.834021,0.0880572,-1.22305,-0.647386,1.34164,-0.665718,2.47932,-0.0328371,2.8568,-0.635194,-0.316166,-0.447481,-0.388319,-2.17606,-0.10036,-0.0873258,1.26726,1.36869,-0.12572,2.31516,0.338996,-4.79115,4.03831,5.85957,2.4242,0.753686,-0.0142237,0.617544,-0.846373,0.747725,0.352965,0.926871,-1.58841,0.435754,1.50599,-0.8652,1.77829,1.96462,-0.0567612,-2.08713,-1.47556,0.401775,-0.83221,0.149255,-0.231264,-0.56777,-1.61248,0.278953,-0.387404,-0.854088,0.124517,1.12901,0.665615,0.212877,-1.60977,0.278006,0.603109,1.49298,-1.26346,-0.931495,-1.2437,0.655713,0.794522,-2.55553,-1.22017,2.24668,0.350372,0.5356,-1.00105,-0.0235325,1.11492,1.46788,-0.198846,-0.498035,-1.0574,5.7016
