# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2083475608
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_size_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,z_b.49,z_b.50,z_b.51,z_b.52,z_b.53,z_b.54,z_b.55,z_b.56,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_z_b.49,p_z_b.50,p_z_b.51,p_z_b.52,p_z_b.53,p_z_b.54,p_z_b.55,p_z_b.56,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_z_b.49,g_z_b.50,g_z_b.51,g_z_b.52,g_z_b.53,g_z_b.54,g_z_b.55,g_z_b.56,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-165.811,0.998076,0.0541453,6,63,0,197.923,0.317647,-0.181923,0.453227,0.604651,-1.59321,1.04239,0.467443,-0.651661,-1.24932,1.73381,0.843943,0.297416,0.440638,1.32003,0.0599451,-1.37288,-0.018746,0.141795,0.216585,1.3179,-0.861278,0.90374,-0.0145417,0.394129,-0.0668467,-0.287607,0.432402,0.574687,0.829109,-1.40508,-0.923399,0.698886,1.13605,0.212987,-0.267595,-0.761692,2.33866,-0.538361,-1.52462,0.33472,0.401527,0.0760717,1.0737,0.76641,-0.182205,-1.34901,0.125948,-0.821926,0.99702,0.749501,-1.78689,-0.591085,-0.223889,-1.1882,0.589824,0.876391,0.0439577,1.06632,-0.743218,-0.493148,0.746727,-0.827773,0.748035,-2.03968,-1.1937,-0.56663,-0.17813,-0.416645,-0.796225,-1.33321,-0.128274,-1.09619,0.272209,0.441663,-0.868746,0.293191,0.249032,2.5376,0.861348,1.12371,-0.536617,1.64183,-0.693955,1.57787,1.06718,0.630196,-0.686703,1.45057,1.85433,-0.195212,-0.360921,1.07186,-1.22434,-0.240177,0.292611,1.52549,-0.164346,0.115322,0.892301,-0.157539,1.38712,0.217063,1.58087,2.25001,-1.06056,0.758854,-2.09735,-0.573487,-1.39683,0.341611,-0.362424,-0.0772701,0.585329,-1.53118,1.28213,0.248652,-0.871906,-1.72506,0.665377,1.48573,0.551203,-0.747054,-1.37471,-1.16464,6.95638,-1.13699,0.526841,0.685457,-1.51851,1.08159,0.612671,-0.509167,-1.11725,1.73897,1.00485,0.218932,0.510593,1.3927,0.119218,-1.59017,0.0576938,0.221876,0.232381,1.22348,-0.849769,0.899302,-0.0563116,0.509554,0.00695389,-0.220965,0.489174,0.650875,0.837488,-1.2946,-1.03018,0.767677,1.14378,0.203194,-0.193898,-0.690924,2.42246,-0.47262,-1.56107,0.465864,0.176912,0.0760717,1.38796,1.17492,-0.220607,-1.30206,0.57005,-0.866383,1.37213,0.785613,-1.7818,-0.251139,-0.112648,-1.34363,0.589824,3.25182,4.03651,1.06632,-0.0936719,0.648142,3.36739,4.62679
-170.762,0.999217,0.0541453,6,63,0,194.971,0.332776,0.499122,-0.775609,-0.037091,1.94143,-0.405428,-0.295354,-1.24533,-0.512305,0.02227,-0.429702,-1.15713,0.445299,-1.14508,-0.419069,1.3528,-1.32525,-1.02365,1.21972,0.955339,0.0647086,-1.19836,0.40706,1.09299,-1.19446,0.952307,-0.56619,1.87619,-0.677165,1.34276,0.25976,-0.049368,0.573184,0.665054,-1.4984,0.0941893,-1.33183,-0.0949984,0.983848,-0.962716,1.35545,-2.11647,1.73769,0.249994,-0.310706,0.392079,-1.18725,2.14137,-1.15758,-0.100209,-0.183854,-0.851054,-0.365696,1.88241,-0.34573,-0.0636916,-0.419346,-0.606764,-0.509053,-0.378333,-1.6509,-1.00362,-1.74341,1.14405,0.408417,0.687595,-1.18336,1.03767,0.540634,-0.973078,-1.34524,1.8427,0.806811,0.0452448,0.664326,0.921824,0.0161833,-1.1399,-0.527135,-0.174373,0.536684,1.28265,-0.922668,0.633655,-0.0894895,0.819695,-0.156893,-0.0242129,0.37273,1.01718,0.546906,-1.15307,-0.949339,0.748473,1.28469,0.292856,-0.70645,-0.720282,2.23704,-0.552095,-1.54607,0.118605,0.571875,-0.210837,1.37639,1.02972,-0.499024,-1.62548,0.152082,-0.63976,1.21176,-0.11745,-2.32699,-0.478575,-0.338247,-0.866435,0.443045,0.00268855,0.934128,0.989671,-1.37002,-0.356075,0.537976,-0.553483,1.51866,3.49865,-0.885839,0.023357,2.01068,-0.492942,-0.170246,-1.13957,-0.37821,-0.0443582,-0.321425,-1.30633,0.509251,-1.07597,-0.35405,1.32597,-1.26753,-0.967385,1.22483,0.540167,0.0666885,-1.1783,0.173342,1.19,-1.12894,1.01407,-0.534834,1.94098,-0.747435,1.43632,0.270361,0.0123922,0.546137,0.639279,-1.43496,0.156429,-1.27739,-0.0368714,0.905979,-0.871235,1.21033,-2.11647,1.83511,0.355328,-0.428029,0.409463,-0.903569,2.16016,-0.925878,-0.750248,-0.197786,-0.574574,-0.36649,2.00166,-0.34573,-0.261068,-0.118903,-0.606764,-1.21414,-0.583738,-0.921541,-2.77882
-168.304,0.998298,0.0541453,6,63,0,201.467,0.307486,-0.809481,0.123157,-0.139694,1.54122,-0.987602,0.244114,0.467657,-0.62458,-1.19978,0.520933,-1.67685,0.318398,-1.19644,-0.631481,0.977101,2.09275,-1.49971,-0.53855,-0.462902,0.241788,-0.140654,1.07424,0.852401,-1.22146,0.25606,0.200744,-0.23798,0.734743,0.207307,-0.153152,-0.528532,1.32606,0.76876,0.618053,-2.14756,-0.622885,0.882313,0.937432,-0.779702,-0.536677,-0.868682,1.56364,0.200544,-0.157575,0.332769,-0.994265,0.321033,0.100049,-0.0351955,-1.43533,-2.3111,-0.602313,0.90872,0.312771,0.87999,-0.118573,-0.464178,-0.394224,-0.501973,-2.16378,-0.979984,-0.969489,-5.62275,1.19183,-0.0831218,-1.43376,-0.175875,0.455618,1.5289,0.175612,-0.83083,0.621183,0.451153,-0.363407,0.652236,0.0904916,-0.965051,2.09149,0.376852,-1.64107,-1.13592,0.0646679,1.30829,0.169508,-0.819117,0.646413,-1.00065,0.823197,-2.4939,1.06926,-1.53655,-0.293396,-0.235914,0.0499952,-0.291368,1.88457,-1.29563,1.18895,0.63198,-0.627265,0.615312,-1.801,2.12189,-1.25529,-0.284685,0.343863,-0.349148,0.671835,-2.39613,1.43799,0.368176,-0.852765,-0.473899,0.0524358,-1.74408,0.451587,0.920559,0.398713,0.446786,0.178842,0.228937,0.172748,1.04416,-0.4582,-3.81883,0.126147,-0.0619672,1.61883,-0.972407,0.391945,0.623511,-0.481817,-1.2325,0.684009,-2.03452,0.391189,-1.15478,-0.574831,0.817935,2.17897,-1.43662,-0.6566,-0.940695,0.274201,-0.193369,0.948256,0.907044,-1.14584,0.325908,0.142902,-0.155498,0.741603,0.275574,-0.49366,-0.470159,1.4149,0.63853,0.701514,-2.08049,-0.554138,0.955126,0.987325,-0.670603,-0.904285,-0.868682,1.74934,0.412752,-0.334521,0.496345,-0.747619,0.0912382,0.263276,-0.56143,-1.78542,-2.07247,-0.537233,0.801443,0.312771,0.709822,0.0297166,-0.464178,0.631612,-0.449279,-1.05244,0.476599
-172.954,0.997307,0.0541453,6,63,0,200.605,-0.1744,-0.192648,-0.758775,2.43725,0.712378,-0.379376,-0.637797,0.257915,-0.998113,0.573958,-1.92846,-0.729345,-1.0713,0.913743,-0.428968,0.690984,-0.563586,1.09174,2.66161,0.0491113,-0.294814,-0.355373,0.604842,1.74707,0.222736,-0.0972611,-1.05307,0.598595,-0.615461,-0.35102,-0.48023,1.42905,0.209553,0.644244,-2.08919,-0.229201,2.21125,-0.980716,2.20743,0.0966306,0.867407,-0.438658,-0.103631,0.534414,-0.623744,-0.421625,-0.899784,1.3067,-0.810413,2.08577,-1.38952,-0.369224,1.50769,0.133881,0.161468,0.871584,0.0899409,0.375384,-0.819624,-1.96519,1.1183,-0.916761,-2.83935,3.77174,-0.213458,0.0628577,-1.69657,1.06866,-0.372516,-0.630864,0.626139,1.31147,-0.31586,1.98089,-0.156684,0.880571,0.626466,-0.923826,-1.93193,1.19567,0.264549,0.771884,-0.278012,0.202842,-1.06065,-1.15335,1.30446,-0.313852,-0.143636,0.170637,-0.607599,-0.269011,0.408778,0.254239,-1.40685,-0.78378,-0.357333,2.13002,0.476975,-0.952628,-1.07964,0.669304,0.769673,0.931063,-1.85313,-0.264176,0.22198,-0.422585,1.00756,-0.298878,-0.169769,0.245661,1.52508,2.31556,0.4811,-0.935145,-0.336901,-0.874047,-1.59563,0.457765,-0.00363328,0.112389,0.824124,1.18878,4.09357,-0.336477,-0.753108,2.50104,0.773286,-0.424756,-0.531308,0.369451,-0.892003,0.542677,-1.8258,-0.794266,-1.02364,0.962939,-0.383455,0.599008,-0.503401,1.15334,2.69431,-0.12412,-0.292708,-0.374283,0.551379,1.81973,0.272722,-0.0477397,-1.03533,0.651897,-0.622213,-0.271734,-0.541369,1.48117,0.180146,0.654866,-2.04497,-0.17822,2.27435,-0.93352,2.22583,0.184043,0.617218,-0.438658,-0.0536843,0.592043,-0.678089,-0.40616,-0.81852,1.30104,-0.75535,2.05234,-1.37607,-0.306638,1.51357,0.116936,0.161468,2.82018,3.18308,0.375384,-0.61627,-1.03694,4.03621,-0.501006
-171.054,0.998,0.0541453,6,63,0,206.885,-0.793068,-0.467041,-0.211589,0.0665089,1.23877,-0.0256251,2.17105,-1.39269,0.974187,-1.1085,-1.06174,2.12387,0.493741,1.03234,-0.695478,-1.4491,-0.953248,-0.382043,0.759714,1.38489,-0.874265,-2.06959,2.37476,-0.178912,0.594002,-2.23498,-1.02113,-0.0631208,1.51087,0.0246785,0.935319,-0.00487378,-2.28182,0.423104,0.354241,0.316967,0.0703833,-0.223735,0.950441,-1.22409,-0.284282,-0.113416,1.20013,0.13481,0.962837,0.139334,-1.10329,0.94728,-1.10835,0.984251,1.00287,-0.266796,1.71404,0.431852,-0.187065,0.804748,0.285785,0.91482,-1.17716,-0.153825,-0.0946291,-0.169964,0.615036,-1.20622,-0.893389,2.71612,0.719011,-0.47949,-0.834725,0.443558,-0.853665,0.772847,-1.73423,-1.31393,-0.906152,0.980843,-0.312401,0.311584,-0.48776,1.11941,2.60214,-0.326351,-0.169437,-0.30963,0.470251,1.74933,0.200564,0.139071,-1.053,0.724285,-0.564337,-0.316222,-0.732331,1.45933,0.207464,0.55932,-1.96026,-0.163785,2.38689,-0.945838,2.24268,0.241813,0.387705,-0.461172,-0.163302,0.804454,-1.27775,-0.836138,-0.552297,1.196,-0.594929,1.95482,-1.97423,-0.0468528,1.48922,-0.274555,0.130875,0.575122,-0.250656,0.293281,0.403616,-2.08835,1.60792,-2.03669,-3.0808,-3.35459,-0.462076,0.220338,1.39508,-0.0136565,2.47326,-1.20693,1.23437,-1.11549,-0.950063,2.04111,0.651602,1.13511,-0.590904,-2.24935,-0.840632,-0.319743,0.644294,0.879137,-0.804704,-2.15661,2.26123,-0.184702,0.737566,-2.17863,-1.20947,0.0484801,1.53353,-0.00530178,0.616001,0.068474,-2.62876,0.284936,0.499074,0.452216,0.139678,-0.142679,1.01055,-1.06684,-0.908464,-0.113416,2.03224,0.359996,0.122324,-1.43665,-0.813037,0.537725,-1.19166,-0.236008,1.25349,0.575094,2.32738,-0.628767,-0.187065,-2.84663,1.66999,0.91482,0.866687,-1.33937,-2.63315,-0.171504
-172.191,0.95747,0.0541453,6,63,0,210.024,0.361912,0.114365,0.848516,-0.589801,1.07327,-2.21999,0.470384,1.14446,-0.368985,-0.972056,-0.346011,1.91855,0.165199,-0.281086,-0.642314,-0.46361,-0.217615,-0.631733,0.199585,0.268207,-0.0430765,1.49273,0.744468,-0.645421,1.47672,-2.65238,-0.219967,1.46224,0.0218767,-1.3892,-0.592701,-1.60846,0.169273,1.63318,-0.995589,-0.799881,1.61388,1.29022,0.536676,-0.274446,-0.715629,0.519696,-1.07592,0.776825,0.221258,1.92803,-0.377908,0.0661093,1.22741,0.126857,0.0963575,-0.608254,0.390889,1.4048,-0.794972,0.111126,-0.757726,1.84658,-2.40121,-0.523912,-0.21702,-0.507291,1.76687,1.73955,0.614561,-0.363055,-1.13945,-0.630454,-2.4735,1.4596,-1.25935,1.00641,0.828901,-1.73879,-0.542259,-1.0516,0.505657,1.62276,0.744288,0.20301,-0.692998,-0.991249,0.957173,2.52936,-2.14531,0.0672995,-0.17907,1.65053,1.04138,0.432834,-1.47491,-0.466625,-0.94246,-0.3284,2.5245,0.0108165,-0.584219,-0.569976,0.295411,0.579575,-0.801835,1.10211,0.709291,0.317537,-1.83914,-0.793294,0.423809,0.149376,0.305062,-0.788906,0.952435,0.0721102,-1.7795,-0.400686,-1.75518,0.208752,0.111446,-1.33355,-1.26735,-0.471978,-1.15641,-1.19443,-0.0265203,-6.4786,0.787885,2.55426,0.848756,-0.566216,1.09784,-2.24363,0.516622,1.18776,-0.321105,-0.992066,-0.297133,1.88828,0.186824,-0.259107,-0.621417,-0.47636,-0.190524,-0.609357,0.189545,0.12526,-0.0412983,1.49667,0.67855,-0.640335,1.49473,-2.63504,-0.202909,1.48471,-0.0034557,-1.36247,-0.63875,-1.59024,0.179271,1.62219,-0.978856,-0.779565,1.63705,1.3093,0.472637,-0.253932,-0.812894,0.519696,-1.39477,1.23555,-0.254293,2.27941,0.210468,-0.251844,1.81179,-1.10135,0.155698,-0.130594,0.413064,1.46362,-0.794972,-1.72024,1.42743,1.84658,-0.95076,0.98844,-2.05434,2.03745
-171.507,0.999337,0.0541453,6,63,0,198.623,-0.215202,-0.603176,0.5069,-0.351758,-0.775644,1.12992,-0.141372,-0.836671,1.0077,0.872886,-1.79667,-0.840115,-0.296414,-0.0101127,0.897485,0.222669,0.62026,-0.874846,-0.903081,0.698668,-0.600138,-0.769498,0.249052,0.653134,-0.824576,3.22787,-0.553695,-1.67597,-0.0517441,0.53577,0.957058,2.9515,1.23307,-0.0814193,0.124412,-0.0389952,-1.54425,0.173356,-0.740687,-0.355156,0.731372,0.735223,1.12307,-1.424,1.39762,-0.737865,0.332636,-0.271162,-0.0316817,1.73909,-0.901184,-1.19867,-0.81289,0.985701,0.418118,1.02032,0.46833,-1.46815,0.810759,0.227542,0.14092,-1.10175,1.01396,0.204307,-1.06885,0.623373,-1.05383,2.01141,-0.847393,-1.23387,-0.673615,0.931801,1.3108,-0.82569,-0.161568,0.143933,0.0951226,1.28602,-0.523588,1.17475,0.826247,-0.222717,0.504992,-0.981727,-0.852288,0.182735,-1.59137,1.04405,0.719173,-1.02106,0.327382,1.11904,1.07039,-0.284896,-1.10927,-1.38058,0.875037,0.727983,-1.26353,-1.77608,0.310607,0.337647,1.25565,-0.921514,0.871981,-0.756806,-0.355417,-2.20961,-0.618436,0.827573,-1.85684,-0.383246,1.20812,0.702992,0.279695,-1.72672,0.63384,1.12934,0.321327,-1.36215,-0.867175,0.205906,0.102364,-0.729794,-0.674601,-2.52539,0.249211,-0.139072,-0.587239,1.4816,0.180934,-0.5044,1.42306,0.858304,-1.53813,-2.11455,-0.143145,0.165255,1.08189,-0.506677,0.830252,-0.707027,-1.33419,0.397403,-0.725422,-1.10396,0.0949955,0.872582,-0.64577,3.46584,-0.805804,-1.57143,-0.237329,0.796248,0.51055,3.18358,1.40724,-0.726069,0.336556,0.176263,-1.40292,0.347431,-1.1395,-0.113234,0.438389,0.735223,1.28474,-1.31777,1.65423,-0.68205,0.752383,-0.527828,0.0846109,1.56657,-2.09266,-0.729935,-0.80541,0.746697,0.418118,-0.441211,1.68495,-1.46815,3.62381,0.778989,-0.770115,-1.07489
-171.594,0.990812,0.0541453,6,63,0,203.574,0.530978,-0.249538,-1.49323,-1.13171,-0.385776,0.456221,-1.8259,1.1125,-2.07231,-1.09995,1.15694,0.623586,-0.118762,-0.929676,0.0835119,1.42165,-1.12663,1.05746,1.7915,-0.737166,-0.703188,-1.41734,-0.225805,-1.51152,-0.770124,-1.54215,0.688736,0.538784,-0.691837,-0.538815,-0.643108,-1.16029,1.06471,-0.395516,-0.781677,-0.699636,0.213066,-0.742052,1.5241,0.38776,-0.0498177,-0.340832,1.22441,2.73338,0.55857,-0.738305,-0.650755,0.790244,-0.124261,0.0698685,-0.201754,-0.516485,1.03791,0.566819,0.243944,0.293365,-0.734552,0.462014,-2.94069,-1.63751,-0.442907,-0.867628,-0.493066,3.40603,-0.178898,0.701776,0.938093,-1.53531,0.666374,0.206,-0.271581,-0.617251,1.20859,1.22132,0.317502,0.521752,-1.09406,-0.643407,-0.0744609,0.295282,0.240585,-0.138236,0.930885,1.63308,-0.0309016,0.0160681,1.07952,-2.99592,0.451573,1.60138,0.531661,-0.470747,-0.389655,-2.75157,-1.89209,0.603182,0.169916,0.273289,1.56701,0.0163973,0.306867,0.0685689,-0.634701,-0.723338,-1.74888,0.582668,-1.85195,1.01547,-0.43041,0.404782,-0.090172,-1.57923,1.75679,1.17642,0.38736,-1.19608,-0.634009,-0.364937,-1.62964,1.43949,-0.925381,-0.763158,0.747558,1.44944,3.88072,-0.551084,-1.49122,-1.12399,-0.378218,0.458499,-1.81097,1.12756,-2.05779,-1.10121,1.17208,0.613683,-0.111487,-0.923228,0.0904329,1.4076,-1.11901,1.06499,1.78877,-0.77308,-0.700276,-1.41673,-0.241304,-1.50581,-0.762812,-1.53502,0.690344,0.546571,-0.694189,-0.528592,-0.655899,-1.15333,1.06612,-0.398667,-0.774292,-0.692417,0.220593,-0.734881,1.52264,0.399174,-0.0738894,-0.340832,1.27534,2.82859,0.534589,-0.712977,-0.53262,0.761414,-0.0367397,-0.0835497,-0.185027,-0.412097,1.07078,0.551915,0.243944,-0.00164664,0.584083,0.462014,-1.02547,-0.667892,-1.41299,-1.41176
-161.521,0.99977,0.0541453,6,63,0,194.545,-0.0771104,0.067542,1.11237,-0.121749,-0.878286,2.22749,-1.2031,0.317557,-0.401431,-0.581543,-0.340422,0.651978,0.264696,-0.039612,-1.91428,0.0552881,0.471241,-1.81479,0.410225,-0.20284,0.615388,0.99493,1.61467,-0.0742576,-1.1669,0.116185,0.782163,-2.3957,-0.0291624,-0.198445,-0.286562,-0.773332,0.970134,0.409869,0.442671,-0.501041,-1.39067,-0.716514,-0.417385,-1.21819,0.299516,0.609056,-0.916749,0.0900918,-0.58543,0.389975,0.241172,-0.360396,-0.190998,0.0782225,-0.462557,-0.363686,1.09185,0.220167,1.6455,1.2842,-0.553317,-1.40681,0.0544336,-0.0283882,0.822096,-0.717792,0.338975,-0.46543,-1.79339,-1.15223,-0.40252,0.365659,-1.86919,1.24283,-2.03049,-1.24388,1.16637,0.617443,-0.0154021,-0.855442,0.0136056,1.32505,-0.903145,0.75259,1.82882,-1.00189,-0.743397,-1.36226,-0.0720019,-1.47411,-0.758609,-1.53089,0.782777,0.535745,-0.709125,-0.500505,-0.756137,-1.2254,1.11445,-0.408218,-0.667823,-0.721311,0.206736,-0.769017,1.49128,0.263974,-0.390896,-0.384265,1.49971,3.24276,0.133437,-0.832908,-0.266131,0.684464,0.124829,-0.385593,-0.250444,-0.320055,1.12395,0.487668,0.653493,-0.146856,-0.762983,0.395722,-2.47925,-0.952998,-0.309846,-2.1695,2.60312,0.508551,1.38432,0.0908817,-0.678679,2.17965,-0.921144,0.681126,-0.0749238,-0.90537,-0.017406,0.672624,0.431696,0.095117,-1.85362,-0.223472,0.702823,-1.61952,0.443127,-0.667814,0.634817,0.933312,1.69395,0.0872872,-1.09991,0.235378,0.97394,-2.33827,-0.0258313,0.0921681,-0.404558,-0.680295,0.844035,0.550379,0.556057,-0.388334,-1.18666,-0.623551,-0.854143,-1.09464,-1.18711,0.609056,-0.880534,0.752153,-1.61846,0.666965,1.03028,-0.395313,0.393085,0.0324327,-0.370369,0.0158476,0.965373,-0.119614,1.6455,6.0863,-2.45242,-1.40681,-1.3584,0.40542,8.49293,5.77928
-166.975,0.963793,0.0541453,6,63,0,190.933,-0.0248834,-0.143969,-0.22282,-0.374111,0.430846,-1.98202,0.237553,-1.52305,-1.08621,1.16577,-0.690001,1.2426,-0.212035,-0.158483,1.46811,0.763376,-1.68873,1.84001,0.676934,2.38178,-0.468851,-0.763415,-0.603257,-0.42492,0.680669,-0.577111,-0.449603,1.93129,0.159024,-0.0883636,0.668214,0.207311,-0.358774,0.131644,-0.940884,-0.0445108,0.995947,0.357728,0.410587,0.300907,0.818206,-0.552349,0.852512,-0.497537,0.69269,-0.555201,-1.30714,0.484541,-0.604529,2.27839,1.71373,-0.834183,-0.825559,0.0217485,-1.99024,-0.335927,-1.07052,1.39738,-0.993862,-0.299878,-1.81065,-0.116281,1.60339,-2.30491,1.16715,-0.921207,0.61264,-0.558399,-0.493116,-0.610052,-1.36935,-0.241459,-0.457402,1.40796,1.54239,0.810357,0.5736,-0.820744,-1.199,1.23907,0.308971,-1.99182,0.862614,0.587952,-0.211555,-0.421584,-0.549895,-0.651945,1.33324,-0.0717536,-0.572295,0.354848,-0.862498,-0.78573,0.540188,-0.767806,0.500901,0.054894,1.09935,0.420339,-2.03154,-0.74388,-1.84046,-0.376227,-2.0393,-0.00381444,0.387134,1.38362,0.421923,-1.10483,0.785806,-1.03152,-0.392504,0.690294,0.825438,0.761737,-0.519036,1.4241,0.246374,0.248022,-0.0260524,0.414339,0.646868,-0.927624,0.418395,1.4205,-0.745497,-0.197028,0.620842,-2.24621,0.592602,-1.26472,-0.850875,0.949281,-0.478529,1.25279,-0.113759,0.0653475,1.70695,0.0555197,-1.59883,1.97061,0.774657,2.33842,-0.592812,-0.676083,-0.762219,-0.415709,0.878506,-0.484223,-0.573777,2.10365,-0.0263864,-0.119958,0.213781,0.312991,-0.735159,0.132851,-0.778065,0.193079,1.10755,0.471275,0.38612,0.562791,0.320773,-0.552349,1.21984,-0.698469,-0.0970578,-2.00312,-0.829922,-0.413752,-0.224431,3.01571,3.36289,0.0280742,-1.31031,-0.351401,-1.99024,-0.807436,-0.53752,1.39738,-1.08947,3.30094,-1.24865,4.53919
