# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1438233811
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_noinbred_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-131.253,0.998277,0.079051,6,63,0,153.95,-0.143995,0.78797,-0.141765,0.208069,1.08275,-1.40718,1.31537,0.933557,-2.35683,-0.535251,-0.811515,-2.6534,-2.11852,1.52681,0.0480826,-0.966568,-0.446684,0.374758,-0.0619919,0.432267,-1.62811,0.880002,0.568457,-0.866552,-0.87381,0.791327,0.304674,0.639706,0.0623802,-1.12558,-1.03161,-0.230456,0.964382,-0.0121087,0.80679,-0.306603,0.482859,-0.835568,-0.14335,1.47474,-0.504655,-0.563151,0.343665,1.92779,0.968339,-1.01845,0.854339,-0.0600282,0.658207,0.619591,-0.534526,-0.354626,0.242596,-0.103819,-0.15656,-0.278573,-0.0961815,1.24065,1.54255,3.23825,-0.022352,0.377488,0.0210247,0.493804,-0.188981,-1.12996,-0.145213,-0.559972,0.892082,-0.0466285,0.671922,0.00636564,0.358226,-0.922619,-2.37675,-2.29838,-0.0244363,0.0326177,-0.367613,1.70933,0.527012,-0.13584,-0.719915,-0.298385,-0.858299,-1.4505,0.234575,0.494228,1.37007,-0.063189,0.349824,-0.532885,0.0626872,-2.3157,0.987915,-0.68038,-0.140434,-0.586091,-0.59675,1.9005,1.03812,-0.0629477,-0.261024,1.75803,-0.0274556,-1.21964,1.12122,0.0262165,0.704852,0.563982,1.318,0.937172,5.67606,1.61655,-1.24986,0.416904,1.92654,-1.04053,1.69302,1.35742,-1.91781,-0.0449507,-1.38793,-2.42732,-2.09215,1.58262,0.692298,-0.576605,-1.301,0.697837,0.0852412,0.74259,-1.9952,1.13328,0.941092,-0.730645,-0.620311,1.66687,-0.365494,1.24763,0.449545,-1.07224,-0.577392,-0.111132,1.09275,-0.106381,0.161222,-0.306603,0.0318568,-0.0512159,0.226248,2.78769,0.485507,-0.698638,0.719191,1.8643,1.27897,-0.61311,0.693822,0.0899971,0.658207,1.52319,2.25021,-0.354626,1.08935,0.236597,-1.07358,-1.54719
-131.743,0.970306,0.079051,6,63,0,148.941,0.0762119,0.711467,-0.136302,0.123478,-0.618542,-0.245594,-1.60241,-0.157548,1.25467,-1.13356,-0.116608,0.955074,1.66597,1.64177,-0.0816145,0.553289,0.515961,-0.196161,1.47672,1.07368,-0.915604,-1.40419,-1.05777,1.15678,0.330833,-0.294126,-0.186464,-0.0224991,1.25777,0.128423,0.763402,-0.994154,-1.10195,0.456468,-0.289968,-0.733865,1.2394,0.314323,-0.0310024,0.876582,0.132893,0.355347,-1.95947,-0.0117263,-0.375589,-1.71753,0.375944,0.216257,-1.23918,0.392627,-1.19673,0.757124,-0.516054,0.0770302,0.298653,-0.66244,1.88324,-3.33751,1.68603,-1.87941,-1.18897,0.439789,-1.25365,-0.812492,0.543803,-0.122298,1.83241,1.26461,1.31274,0.734264,-0.669176,-0.0386686,1.35574,0.250732,0.248439,0.11907,1.52122,-0.155144,-0.851022,-0.481387,0.247847,-1.07503,-0.0130888,-0.188077,-0.179256,1.07782,0.0672598,-0.0129041,-0.862811,0.420677,0.0271041,0.505961,-0.875301,-0.104057,-0.434299,-0.653167,-0.47537,0.231086,-0.888225,-0.903104,0.42913,-0.0455325,-0.572391,0.640506,-0.14669,2.0767,1.37215,0.208294,-0.422819,-1.01728,-0.185637,-0.801873,-0.393603,-0.497843,-0.592352,0.057824,-0.553971,-0.112392,-1.55731,-0.313677,1.51316,-0.980303,-0.242258,1.12168,1.71614,1.2295,0.0567581,0.692073,0.0698356,-0.214343,1.45192,0.938651,-0.80683,-1.36811,-1.01373,1.1684,0.446253,-0.126688,-0.312227,-0.0503025,1.28936,0.180169,0.863824,-0.938315,-1.09239,0.53942,-0.907135,-0.733865,1.48851,0.749612,-1.10767,0.696499,1.02572,0.445342,-1.56512,-0.881635,-0.326093,-1.59863,0.206457,0.0564552,-1.23918,0.15405,-1.24019,0.757124,-1.03165,-0.531788,0.306391,-2.41258
-132.722,0.99179,0.079051,6,63,0,157.153,0.565923,0.256567,-0.327432,0.157657,0.467566,1.20676,0.412417,0.980161,-1.40586,-0.510451,0.682053,-0.0971505,0.248946,0.492038,-0.822061,1.41062,1.21829,-1.23249,-1.4417,1.85043,-0.274145,-0.118902,-1.78894,0.251879,0.0984026,0.587593,0.289399,0.000158804,0.216927,0.145343,-0.0564168,0.966897,-0.956295,-0.765325,1.14136,0.79393,-0.444086,0.168625,0.719201,-0.351041,-0.949409,-0.646177,-0.207123,-0.997247,-0.218567,-1.59814,0.738265,-1.41347,-0.134045,-0.465309,-0.82736,1.44101,0.785175,-0.135486,1.09022,-0.968089,0.626256,-0.956576,1.46936,0.184068,0.434206,-0.420598,1.47127,-0.122947,-1.65082,0.953428,-0.061483,-1.47935,-1.95469,-0.955933,0.0977748,-1.03836,0.0813294,0.619147,-0.724092,-1.32944,1.17364,1.36379,1.3149,-1.3285,-0.628809,0.0149369,1.06953,0.0789905,-1.32829,-0.342265,-1.02607,0.424859,1.18948,-0.340966,0.503345,0.487333,-1.11385,-0.523429,-0.169783,-0.767647,-0.360496,-0.101386,1.80031,0.197725,0.546116,2.17086,-0.433167,0.0180977,1.25607,0.716532,-0.166497,-1.20668,-1.15637,0.135907,-0.679056,2.42602,-1.26593,-2.2237,-2.45284,1.70362,0.601032,1.5046,0.637776,1.29711,-1.08699,-0.212741,0.674638,0.34315,0.440357,-0.950617,-0.63392,1.69757,0.192531,-1.49776,-1.94026,1.70515,-0.363025,0.0201781,-1.7216,0.28308,0.352855,0.879252,-0.45565,-0.181998,-0.175157,0.306613,0.126272,1.19166,-0.885963,-0.975622,0.895253,0.79393,-0.56915,0.399036,0.955779,-0.607362,-0.591848,-0.880048,0.0528874,-1.39086,-0.589512,-1.48913,0.705895,-1.64477,-0.134045,-3.17755,0.3522,1.44101,0.31946,0.588048,2.26102,-2.49744
-144.864,0.965181,0.079051,6,63,0,168.225,0.428851,0.803237,-0.578614,0.0361925,0.0224171,-0.29809,1.2965,0.917672,-2.03783,-0.711042,1.19076,0.478798,1.60436,0.666065,0.156641,-0.446005,-0.103734,0.101656,-0.731752,-0.604755,0.0313835,-0.473996,1.07349,-0.663478,-0.522855,1.73882,0.542819,-0.686758,1.20692,0.23987,-0.771813,-0.675892,-3.13368,-2.16118,-0.199065,1.22994,2.20588,1.25187,-0.0627071,0.734568,-1.7102,-0.33827,0.195281,-0.533293,0.505692,-0.659313,-0.0401211,1.74921,-0.246406,-0.219375,-0.754658,1.5084,-0.153739,-1.96807,-0.245317,-0.815187,2.68043,-1.8951,-0.369322,2.4263,0.631221,1.38921,-0.0695875,0.844118,-0.405126,-0.116951,0.370002,-0.0981676,-0.245269,-0.247789,-0.706039,1.91312,1.08597,-1.39235,-1.2667,2.33183,-0.195909,0.157669,-2.2469,0.669091,0.420938,-0.107508,-0.0508671,0.309508,-0.373657,0.144534,0.433786,1.158,0.531896,0.169122,1.18632,0.422426,-1.42387,-0.335033,0.847191,-0.722619,-0.174989,-0.575271,-0.239377,-0.997296,-0.445626,-1.26575,0.954948,-2.45972,-0.0536378,-0.678582,0.69416,0.985177,0.866444,0.482112,0.325537,-1.25195,2.4439,3.88311,-1.98867,1.58689,0.144617,-0.153291,1.38174,1.05395,-1.78418,-0.526693,1.27262,0.775899,1.69111,-0.0357285,0.30527,-0.309485,-0.581182,0.188797,-0.732556,-0.848347,0.176988,-0.411844,1.2215,-0.676445,-0.376616,1.99665,0.355455,-0.655761,1.32572,0.317476,-0.640586,-0.619209,-3.10532,-2.27377,-0.529136,1.22994,2.19486,1.30547,-0.0568023,0.681677,-1.61806,-0.34201,0.263749,-0.629401,0.522392,-0.619042,0.00155325,1.74109,-0.246406,-0.912014,0.760498,1.5084,0.118859,-0.982403,-1.20902,-0.0505989
-153.207,0.99131,0.079051,6,63,0,175.999,-0.157902,0.598225,0.459878,0.295659,0.0603234,0.0580365,-1.48791,-0.632566,1.81195,0.513362,-1.13088,-1.32772,-1.74719,-0.573527,-0.401196,0.309068,0.874611,0.295756,0.731569,1.25963,-0.210394,0.660237,-1.25925,0.426714,0.443806,-2.42104,-0.489264,0.857902,-0.556378,-0.251839,1.11885,0.614483,3.03454,2.20321,0.682724,-1.21034,-2.08743,-1.5538,0.102489,-0.689355,1.40687,0.325945,-0.361532,0.69845,-0.622087,0.295378,0.528657,-1.75809,0.229729,-0.542382,-1.39687,-1.67004,-3.23807,-1.26393,-0.447988,-1.63928,0.438271,-2.33006,2.68619,0.640164,0.762101,0.621041,-0.0942001,0.826033,-0.343464,-1.8639,1.01418,-2.30459,-0.515874,-0.990172,0.410222,0.0148684,-0.036595,1.98952,-0.673063,1.22548,-0.0656549,1.01083,-0.282692,-0.617,0.700108,-0.656274,-0.293446,0.057204,2.2202,0.674727,1.52244,-0.226282,-0.716877,-0.215344,-0.725596,-0.260623,1.09652,-0.921726,-0.158461,-0.092531,-0.958891,-0.0263669,-0.445707,-0.211757,-0.574885,1.01668,1.38819,0.173119,-1.14239,0.0902365,-0.685317,0.688796,-0.333526,-1.57759,-0.268315,2.55658,-3.51117,1.57984,1.37974,3.94823,0.0595222,0.0593663,-1.4871,-0.633456,1.81458,0.515383,-1.13317,-1.3254,-1.74644,-0.58883,-0.400024,0.310427,0.860819,0.29534,0.73176,1.25244,-0.208995,0.660924,-1.25807,0.427747,0.445072,-2.41952,-0.490146,0.856916,-0.558642,-0.251187,1.12004,0.615282,3.03525,2.2011,0.680073,-1.21034,-2.10059,-1.54434,0.0923881,-0.784224,1.44309,0.331903,-0.328665,0.55602,-0.637181,0.314199,0.514583,-1.76287,0.229729,-1.10289,-1.2687,-1.67004,-0.975561,-0.682865,-0.236105,-4.04984
-152.998,0.997234,0.079051,6,63,0,179.968,0.184981,0.837662,-0.604997,0.371112,-0.198488,0.433524,1.0582,0.911307,-1.8518,0.164255,0.0862571,1.03158,2.72107,0.79442,-0.671644,0.0575423,-0.390746,0.520669,0.633908,-0.886576,-0.526043,-0.651332,0.445638,-0.0600737,-1.0858,2.20158,1.11245,0.106292,0.601749,-0.277698,-0.633138,-0.378087,-2.86914,-1.7124,0.314743,0.87544,1.16257,1.66733,-0.204823,2.56666,-2.04853,-0.834644,0.242133,-0.230544,0.77477,0.400641,-0.933088,1.6432,0.140447,-0.81168,-1.76546,1.14497,-2.48428,0.69386,-1.47185,-1.63984,1.30137,1.77049,0.84533,4.0538,-0.169769,0.367406,-1.23318,0.895062,0.354282,0.818022,-1.44466,-0.906255,0.44463,0.527126,-0.853403,0.715805,1.08543,1.50755,1.51581,1.07959,-1.14747,0.199021,-1.4762,1.04936,-0.515937,-1.21554,1.15731,1.3615,0.0861458,-0.727915,1.33373,0.448689,1.08919,1.79229,1.6035,-0.79831,-1.62468,0.0969933,-0.504059,1.17762,0.85286,-0.35053,0.768833,0.0992829,0.301103,0.708858,-0.595686,-0.721653,0.433357,0.452862,1.26352,-1.1478,1.98537,1.30453,-0.462681,-0.549807,0.651996,1.70297,-1.14302,3.25708,-0.193698,0.436524,1.05956,0.914017,-1.84589,0.169031,0.0850845,1.03733,2.72229,0.778439,-0.668619,0.0603497,-0.407719,0.521225,0.6344,-0.894213,-0.521747,-0.649481,0.448491,-0.0588788,-1.08272,2.20273,1.10755,0.110457,0.600874,-0.275758,-0.630373,-0.377145,-2.86744,-1.71392,0.311535,0.87544,1.19253,1.89605,-0.11199,2.4724,-1.86811,-0.866475,0.475116,-0.754905,0.77097,0.549389,-0.918586,1.61096,0.140447,-0.890847,-1.65858,1.14497,-0.928471,0.9811,-0.894933,-4.39842
-142.421,0.997342,0.079051,6,63,0,177.28,-0.608092,0.166053,0.22188,-0.378676,0.973323,-1.05691,-1.08106,0.21857,1.77518,-1.10025,-0.0752875,-1.28886,-1.97127,0.869212,-0.194568,-0.341581,1.2427,-1.15919,-0.645331,1.54378,0.275289,0.479275,-1.32214,0.472089,1.08867,-1.28725,0.19622,0.364417,0.472633,0.110287,0.0657588,-0.461288,1.81256,0.952903,1.13494,-0.975704,-0.325011,-1.57865,0.310925,-1.07213,0.940186,1.66682,-0.346517,1.97459,-0.156226,-0.928919,0.969843,-0.591471,-0.380877,0.559327,0.649931,-2.43437,-0.0099625,-0.666742,-0.467644,-0.313428,-1.73776,-0.898775,-4.17868,-0.911678,-0.10653,-0.478636,0.752231,1.87971,0.70526,-0.430933,-0.813643,1.3251,2.32846,-1.55497,-1.12313,0.182327,-1.50948,-1.05601,-0.351238,0.446637,-2.00537,0.00481801,-0.563585,-0.0200796,0.458716,2.37941,1.26614,-0.00918222,1.50835,0.189101,-0.0773664,-1.36859,-1.91141,-1.27896,0.641579,0.0442944,0.343179,0.971312,0.127956,0.789717,-0.264257,0.574097,1.13252,0.00782399,0.961591,0.98445,-0.961731,1.1208,-0.3036,-2.81372,-1.10136,-2.29302,-1.08084,0.641328,-1.22972,0.100856,-4.71699,-8.18366,0.0986132,-15.7742,-0.396126,-0.939092,-0.895666,-0.547263,2.50667,-0.671019,-0.230205,-0.943878,-1.83025,-0.105539,0.040013,-0.131435,0.761032,-1.28935,-0.711843,1.58825,-0.00767545,0.777391,-1.16977,0.373232,1.29266,-1.34958,-1.00251,-0.72546,0.194223,0.367743,0.47265,-0.195244,2.1936,1.46755,-0.173485,-0.975704,-0.327192,-2.14982,-0.607396,-1.97836,1.47662,1.3118,-0.044916,1.95888,-0.308448,-0.527383,0.895139,-0.569013,-0.380877,-1.748,0.84183,-2.43437,-4.03692,0.443917,-1.53935,-1.71679
-130.397,0.994322,0.079051,5,63,0,167.492,-0.600177,0.389241,0.0402698,-0.0677714,0.765655,-1.00089,-0.564862,0.574023,1.1876,0.198946,-0.755408,-0.429168,-1.24105,-0.18357,-1.2452,0.239515,0.0771729,-1.04157,-0.696509,1.76837,0.589738,-0.886898,0.0598928,0.299619,-0.204132,-0.316927,0.354754,0.53087,0.442732,0.938004,0.0434808,0.809837,0.778301,2.08136,1.08512,-0.485311,-0.956966,-0.527055,-0.0476858,-0.125255,0.279014,0.322056,-0.771315,0.803361,0.532333,-0.904953,0.328516,-0.917455,0.709186,1.16268,0.829405,-1.52358,0.345446,0.0126274,-0.455655,-0.66,0.831488,3.51807,-0.519927,6.97966,-0.216279,0.42146,0.941111,0.540638,-1.99619,1.28788,-0.258089,1.29101,1.46911,-0.297789,-0.843343,0.565539,-1.31986,0.828708,0.353189,-0.610264,0.247087,-1.77814,1.80641,-0.364475,-1.80339,1.80517,0.642048,0.419713,-0.310648,0.57322,-0.314009,0.957082,-2.17617,0.452922,-0.195185,0.81159,-0.594122,1.90726,-0.3068,2.01059,-1.52835,-2.05846,-0.468539,-2.28623,0.748946,0.185121,-0.937373,0.027126,1.13,1.09336,-0.21118,1.71745,-1.53406,0.317557,0.465747,-4.70878,-3.15834,-1.83397,-0.922514,-1.71892,0.444611,-0.827745,-0.433619,0.395217,1.81604,0.651494,-1.17781,-0.0549771,-1.14265,-2.28252,-1.07717,0.509806,-1.43277,-1.20149,-0.746627,1.77526,0.549314,-0.815767,0.269574,0.252515,-0.0118433,-0.119736,-0.353262,0.287364,0.432532,1.11397,0.327193,1.04789,0.945799,2.46212,0.420252,-0.485311,-0.963549,-0.551329,-0.434295,-1.13382,1.06741,0.157616,-0.356359,-0.0707832,0.52328,-0.534095,-0.0184079,-1.27395,0.709186,-0.211347,1.19991,-1.52358,1.02382,-0.806066,-1.65623,-1.13204
-135.911,0.988187,0.079051,6,63,0,159.109,0.175904,0.497644,0.515067,0.578502,-1.5854,0.183921,-0.13076,0.298813,-1.58628,-1.62837,0.654617,0.999177,-0.211636,1.28852,1.252,-1.23257,1.09452,0.412944,0.545759,1.75293,0.196877,0.202472,0.598087,0.576505,-0.315846,-0.217858,-0.773872,1.70066,-0.329766,0.448366,1.00027,-0.00612274,-0.588672,-0.337705,0.330984,-0.551201,0.717646,0.436417,0.181215,0.894582,-2.37704,-0.438867,-0.883588,1.59308,0.57263,0.58755,0.293252,0.449975,-2.63037,0.474446,-1.29598,-0.0961986,-2.32673,-0.300487,0.0365507,-0.189863,-2.51922,-3.25556,-0.257941,0.920318,0.363292,-0.79205,-0.574882,0.507808,1.27233,-0.229876,-0.808868,0.00179036,-1.31328,-0.703464,-0.491313,0.0483446,-0.547706,-1.08269,-0.417322,2.2314,0.88383,-0.829257,0.417535,0.552392,-0.146346,-0.307246,-0.0846976,1.41458,0.486664,1.26038,0.453857,0.947192,0.809877,2.3605,0.701431,-0.76468,-0.0168928,0.935351,-1.61228,0.227822,0.612131,0.0392452,0.112779,-1.35633,1.32058,0.45563,-0.523664,-1.62237,-0.340444,0.31304,0.669974,-1.64354,-0.103097,-1.21491,0.750184,1.57537,1.52536,0.800748,1.6934,7.73234,-1.51616,0.243026,-0.103923,0.26283,-1.51225,-1.58132,0.556618,1.04406,-0.203292,1.11474,1.30149,-1.1903,0.99711,0.37565,0.535024,1.72614,0.264696,0.212797,0.621626,0.630034,-0.27579,-0.203271,-0.758177,1.71144,-0.343168,0.458034,1.03491,0.00126658,-0.58038,-0.339521,0.229509,-0.551201,1.13401,1.51227,-0.209556,0.694769,-1.97555,-0.150694,-0.0330504,0.913665,0.699815,0.897071,-0.669723,0.130729,-2.63037,2.30824,-1.84536,-0.0961986,-1.56333,-2.82684,1.61926,-0.000802688
-134.999,0.971033,0.079051,6,63,0,162.075,0.241198,0.372709,0.210705,-0.157552,1.72901,-0.0389118,-0.775633,0.0775789,1.54155,1.34084,0.0895397,-0.644188,-0.0133324,0.0396169,-1.45726,1.02216,-0.395359,-0.276367,-0.250372,-0.185953,-0.0800253,0.311764,-0.397964,-0.144386,0.325878,0.828469,1.34806,-1.26079,0.551539,0.00550717,-0.777196,-0.0338774,1.62098,0.39528,-0.184181,0.501537,-1.05224,-0.868457,0.308362,-0.0919297,1.15363,-0.0673709,-0.323152,0.564176,-0.586128,-1.12647,0.633484,-0.253683,2.52986,1.31797,0.071629,-0.000241607,0.591068,0.178802,0.216444,-1.2031,-0.351641,-0.268699,-0.344377,1.40136,0.160427,1.09046,-1.36272,0.295488,-0.0600162,-0.417599,1.97979,1.35726,-0.342433,1.3708,-0.139972,-0.403993,0.700223,0.421571,0.844188,2.90628,0.460854,1.06082,0.801358,0.976991,0.320124,1.02782,0.3657,1.01998,-0.0152031,1.23518,0.947996,0.200755,1.51108,-0.0175814,-1.28718,-0.24355,-0.513353,1.31651,-1.79497,0.673909,-0.96151,-1.28501,-0.523916,2.73063,-0.769172,-0.410222,1.52328,0.0218603,-0.707634,-0.87024,-0.675871,-0.512123,-0.258746,-0.73788,0.386252,3.42498,3.43445,-1.53331,0.824144,-2.77704,1.8621,0.103969,-0.652122,0.0459153,1.84361,1.63818,0.107378,-0.376902,0.111002,-0.251214,-1.32606,1.17668,-0.802544,-0.207619,-0.197519,-0.313745,0.0199663,0.421454,-0.272775,-0.0618848,0.450545,1.1006,1.44142,-1.62645,0.68056,0.107586,-0.641332,0.105796,1.75061,0.538973,-0.622783,0.501537,-0.938653,-0.638311,0.173368,-0.326848,1.63679,0.106829,0.000169976,0.299903,-0.463098,-0.873789,0.773145,-0.240002,2.52986,1.75371,0.901944,-0.000241607,2.85856,-0.123311,0.875421,1.33447
