# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1640674464
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_full_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,z_beta.4,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_z_beta.4,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_z_beta.4,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-148.946,0.991281,0.0671624,6,63,0,179.727,0.613835,-0.526718,-0.0908604,-0.662356,-0.231626,1.73285,-0.0984685,-1.40508,-0.229372,-0.416952,-0.776471,-1.58338,-1.28837,0.869225,0.241073,1.7431,0.575974,-0.00668201,1.64207,-0.482987,0.696878,0.71318,-2.38893,-0.249066,-0.491672,0.962837,-0.733252,-0.0346412,1.79506,1.11991,0.405342,0.846097,-0.451542,0.219483,2.32245,-1.21198,0.376309,-0.199468,-0.634871,-0.11189,0.576028,-1.44557,-0.360701,-0.134616,0.988336,0.426215,-0.726154,0.23988,1.57432,-0.96234,-0.107452,0.289719,-2.13296,0.122496,-1.44309,0.235473,-1.52257,2.24798,1.01624,-0.703919,1.51592,-4.01561,-0.303156,-1.49991,-1.4186,0.410702,0.234418,-1.86332,0.0688639,0.388412,-1.58357,-0.123552,0.833706,-1.24138,-1.12183,1.55612,0.726422,0.537629,0.248474,0.867339,1.16734,-1.15773,-1.43807,1.39105,-0.130365,-1.01753,0.372528,0.198412,-0.329249,1.29187,0.185602,0.860154,0.99003,-0.253092,-0.726249,-0.627452,-1.18622,-0.660891,-0.999977,-0.62869,1.04593,1.74856,0.801869,-1.94535,-1.61308,-1.15541,0.110243,-2.26878,0.698973,1.84761,0.713086,0.845864,-0.163121,2.55473,1.02805,-5.53075,-0.299856,-2.31086,-7.0178,1.62598,-0.0594349,-1.35538,-0.325507,-0.339542,-0.682476,-1.6433,-1.186,0.920914,0.213382,1.79077,0.615695,-0.0531714,1.66354,-0.441505,0.703967,0.675313,-2.33968,-0.20441,-0.463497,1.00563,-0.644966,-0.0396373,1.77006,1.07196,0.456794,0.893124,-0.40118,0.270771,2.41544,-1.64771,0.376309,-0.186691,-0.636295,-0.204489,0.590402,-1.4018,-0.353636,-0.0976618,0.98993,0.42412,-0.694977,0.242648,1.56787,-0.96234,0.0717625,0.367204,-2.13296,0.417564,-0.849045,0.268699,-0.509435
-145.89,0.997698,0.0671624,6,63,0,179.092,0.209424,0.792074,0.516833,-0.0259642,-0.313126,1.21454,1.65649,0.39677,-1.17623,-0.605691,-1.66544,1.22167,-1.54886,-1.33088,0.512048,-0.899332,-0.657585,-0.757094,-0.285164,-1.1724,0.811025,0.425715,0.477346,-2.0269,0.603153,-0.833378,0.0411732,-2.53559,-0.737767,-1.76673,-0.83316,-0.386215,-0.171021,-1.50589,0.151069,-1.45165,1.21824,1.45102,0.888932,1.14057,-0.525637,0.724632,0.0791245,-1.32289,-0.21062,0.368757,0.493476,-0.242708,-0.683968,-0.670526,-0.0324029,0.112247,0.501377,0.125376,0.929495,-0.709366,-1.71458,-0.467651,7.55128,0.905803,3.43554,3.32299,-1.64621,0.0886084,1.32538,0.20704,0.327665,0.532373,1.50399,1.20932,-0.886459,-0.122456,-1.97952,-0.721395,-0.071668,-1.69017,0.37101,-0.66219,-0.707617,2.19718,-0.00226889,0.489105,-0.959917,0.710529,0.19451,-1.92508,-1.35461,-0.54814,-0.922875,0.423994,-0.168183,-2.40578,1.28372,-0.443181,0.482099,0.885755,0.243732,-0.441503,1.27222,0.468656,0.0821824,-0.8973,-0.430199,0.755929,-0.242729,-1.61194,0.960211,0.154004,-0.308868,2.11316,-0.456191,0.618015,-0.111281,3.68475,0.149554,1.18792,0.947191,1.58583,-1.71313,1.21355,1.69083,0.426722,-1.1963,-0.54216,-1.60999,1.22763,-1.48707,-1.3087,0.256375,-0.866614,-0.624559,-0.903598,-0.268602,-1.14558,0.769847,0.475082,0.507476,-1.99309,0.617658,-0.801775,0.103278,-2.63919,-0.822444,-1.7525,-0.805243,-0.352281,-0.143816,-1.48248,0.172207,-1.52696,1.21824,1.58555,1.0262,1.07112,-1.19994,1.06648,-0.0505566,-1.07774,-0.554205,0.459112,0.672923,-0.142816,-0.642508,-0.670526,-0.160748,0.25087,0.501377,0.123371,2.18046,-0.488325,-4.30925
-141.92,0.996061,0.0671624,6,63,0,173.117,0.880682,0.286351,-0.710258,-0.309212,0.456005,-1.1009,-1.83181,-0.00504099,1.14171,0.578284,1.71457,0.187288,0.595786,0.28156,1.37994,0.109319,-0.147985,1.37608,0.807528,0.755521,0.543006,-0.735633,-0.973527,1.23459,-0.372449,1.09728,-0.283847,2.1884,1.17969,1.12089,1.52691,0.656955,0.186634,2.11686,0.451259,1.67585,-0.706839,-1.33261,-0.928103,-0.654904,-0.12229,-1.08754,-0.528994,0.491637,-0.22416,-0.0607557,-0.839507,-0.806395,-0.498364,0.624701,-0.0758321,-1.48802,-1.03323,-1.92412,0.0716294,-0.31233,-0.123452,-1.96611,-0.604215,0.220686,-2.86984,-1.39766,0.0192461,-0.513374,-0.697214,0.791469,-0.442689,-0.71225,-1.5911,1.25511,1.55885,-1.73554,1.6519,1.72948,0.102812,-0.658064,0.922592,-1.38861,0.214981,0.0819139,1.94824,-0.612265,-0.15804,-0.0529842,1.35627,-0.143201,1.89925,-1.62727,-0.623726,-0.166746,-0.0715634,-0.992995,1.406,-0.933334,-0.57361,0.0740662,-1.31161,1.47562,0.519892,1.57825,2.13743,0.531088,-0.892868,0.565714,0.693653,1.64712,0.357469,1.22837,1.26819,0.505444,0.250088,0.15075,-1.6908,1.58196,-0.435262,-0.013498,-3.09668,-2.91576,5.01848,-1.09024,-1.74711,0.0269707,1.13917,0.740222,1.8041,0.0537552,0.788841,0.297265,0.99081,0.187243,-0.0740217,1.20193,0.756756,0.742934,0.482447,-0.760021,-0.964321,1.2695,-0.290682,1.17061,-0.213609,2.20789,1.21341,1.04777,1.5408,0.70394,0.214102,2.13919,0.410039,1.39067,-0.706839,-2.2773,-0.0993572,-1.91314,-0.0483549,0.456584,-0.120192,2.91899,-1.60536,-0.360492,-0.153731,-2.0469,-1.88981,0.624701,-0.638985,-1.29751,-1.03323,-1.85423,2.1227,-0.509036,4.47317
-146.577,0.92434,0.0671624,6,63,0,175.394,-0.06422,0.781767,0.798068,-0.122037,-0.150435,0.426183,1.69426,-0.585452,0.17415,1.83163,-0.86524,2.14383,-0.110389,-1.23304,1.43953,0.678954,0.287158,0.192414,-0.365836,-0.389507,0.655603,-1.15086,0.130634,0.246994,0.438254,0.861041,-0.221911,-1.07623,0.863065,-0.328153,-2.10729,0.206623,-0.0952431,-0.475101,1.24419,-0.376811,-1.44039,1.77426,-2.73482,2.09253,0.208,-0.362692,1.90806,-1.55836,0.964015,2.47642,-0.65649,0.227851,0.276349,-0.472867,0.79922,-0.714303,-0.776811,0.548029,-0.779213,0.411826,-0.734771,0.739606,-3.86976,-2.03514,0.892973,-0.431674,-1.88471,-1.29196,0.063092,0.886714,1.27131,2.24563,0.563356,1.0621,0.166341,1.02977,0.421479,0.112361,0.623566,0.650483,0.914287,0.329609,-1.02385,-0.816353,1.53062,-0.102231,1.40138,-0.0440794,1.618,1.00407,1.24586,1.60547,0.929691,0.318777,2.05398,0.890042,0.694764,-0.982738,-1.64411,-0.980375,-0.663094,-0.286502,-0.652848,-0.599046,0.642599,-0.687968,0.081441,-0.708835,-0.798845,-0.510042,0.468876,-1.8004,-0.714564,-1.12777,0.294754,-0.758248,-0.189962,4.02004,3.11741,0.321897,2.27308,-1.15295,-6.06346,0.0544144,2.07535,-0.378767,-0.288887,2.53915,-0.472556,2.32694,0.428938,-1.18994,1.16935,1.03478,0.623468,-0.227585,-0.513939,-0.149102,0.712124,-1.00038,0.261981,0.507967,0.776003,1.05078,0.230255,-1.33681,0.473253,-0.057094,-2.08258,0.499179,0.0782881,-0.424101,1.71098,-1.70309,-1.44039,1.84038,-2.74037,1.77387,0.092478,-0.0152808,1.98631,-1.28394,0.945205,2.66146,-0.560578,0.248564,0.355219,-0.472867,2.30859,0.0408096,-0.776811,3.14015,-1.10025,1.17651,3.34752
-138.383,0.998443,0.0671624,6,63,0,174.459,-0.773965,1.08456,0.227344,-0.30372,0.245177,-0.0291906,0.938096,0.0240444,-0.279164,1.3728,-1.19002,0.755501,-0.683319,-1.58847,2.87974,0.030661,-0.0754091,-0.617368,0.800628,0.0675417,0.716728,-1.08171,-1.33741,-0.208487,0.692107,0.037297,-0.539352,0.0913261,0.431648,-0.846615,-2.10762,0.336158,0.289818,-1.44973,-0.820189,-1.2191,-2.06898,-0.0453539,-0.643527,1.51738,0.399424,-0.591981,-0.474617,-0.285446,0.1436,1.37282,0.679208,-0.867209,-0.039686,-0.559219,0.370991,-0.588281,0.611416,-0.194162,0.52888,0.0174462,-0.517584,-0.725189,-0.99612,3.49843,2.07358,-4.25038,0.0819653,1.54606,-0.644811,0.424475,1.56328,-0.0555949,1.81513,0.497796,-0.375394,-1.04681,1.00258,0.558674,0.232936,-1.17741,-0.45982,0.157492,-0.653915,0.972739,0.600012,0.147434,1.0474,0.217961,-1.41328,0.579871,0.293376,-1.05673,0.0936185,-0.321232,0.38215,2.13838,0.316894,-0.365573,2.30739,-4.07003,1.40673,-0.936224,0.339138,3.25379,-1.2231,-0.0440686,2.52845,-1.30061,0.270013,0.450807,-0.197605,-0.800187,-0.387663,-1.37521,-0.0572782,0.205573,-0.266071,-0.563943,-6.04007,3.53536,2.06743,1.78142,4.49309,-0.552904,1.21502,0.116459,-0.199099,1.82172,-1.10582,0.14795,-0.378742,-1.58556,1.76329,0.223493,0.0946927,-1.98288,0.550691,0.275599,0.431631,-1.19016,-1.33009,-0.0413296,0.898286,0.15229,-0.416978,-0.183857,0.202432,-0.911108,-2.10278,0.484506,0.306077,-1.43631,-1.19401,-1.58518,-2.06898,-1.32732,-1.52965,1.68908,-1.64191,0.276396,-0.872648,0.925271,-2.95209,2.03558,1.16373,-2.62822,0.0429448,-0.559219,-3.53544,-0.269731,0.611416,-1.9846,2.41813,-1.61905,0.0411732
-134.945,0.993707,0.0671624,6,63,0,165.808,-0.700862,1.00785,0.0125389,-0.39495,0.160371,-0.665958,0.348953,-0.371477,-0.340598,1.53899,-1.29856,0.464995,-0.0956913,-1.24634,2.36934,-0.134575,-0.285349,-0.516857,0.796297,-0.189852,1.08639,-0.846787,-1.00942,0.204913,0.467855,0.179771,-1.06208,0.480951,0.440233,-0.485446,-2.08326,-0.0189759,0.852718,-1.51425,-0.898203,-0.94955,-1.39637,0.0308811,-0.596581,1.99678,0.370756,-0.621646,-0.195024,-0.47509,0.441728,1.16611,1.01446,-1.24377,0.0334137,-0.727558,0.602839,-0.657701,-0.220671,-0.0729057,-0.443655,0.145911,-0.318522,-1.60675,2.07254,2.41335,1.83826,2.86628,1.74949,1.87411,1.08047,0.110341,-0.192095,0.184767,0.777901,-1.66179,-1.21917,1.91869,0.57819,0.709559,-0.683252,0.102531,0.846828,-0.95321,-0.881317,-1.05522,-1.33269,0.803339,-0.355272,1.53207,-1.02885,-0.0306539,-1.34532,-0.43379,1.15966,-1.60002,-0.0759297,0.0192132,-1.34774,-2.03121,-0.413179,-0.360578,-1.20278,-0.0795636,0.0897332,-1.05769,0.600516,-1.00849,0.91662,-0.899154,0.634073,-0.214385,0.300684,-1.32935,-0.0601176,2.43246,-0.319359,1.22243,-0.412317,-2.47191,-5.7593,2.39723,1.52404,-5.0105,-0.293334,-1.48336,0.783227,-0.272426,-0.704451,2.30231,-1.18479,-0.344706,0.535366,-1.24116,1.04148,0.175548,0.00633858,-1.72317,0.521104,-0.0574803,1.19386,-1.03797,-0.998556,0.45162,0.815313,0.380963,-0.807239,0.574371,-0.108015,-0.91954,-2.07795,0.177074,0.923997,-1.5021,-1.39214,-2.62735,-1.39637,-0.57114,-0.960727,0.955709,-0.604046,-0.0284403,-0.0699568,0.267727,-0.181397,1.16624,1.26377,-1.98901,0.0380489,-0.727558,-2.28302,-2.52373,-0.220671,0.729504,-2.44105,-0.355327,0.255996
-135.141,0.897971,0.0671624,6,63,0,164.901,0.0821987,0.532996,-0.0212877,-0.483041,0.103568,-0.683802,-0.263674,-0.418491,-0.798649,-0.957571,0.232803,-1.08316,0.183893,-0.49676,1.65331,0.523591,0.0623349,-0.968206,0.141344,-0.514839,0.943459,0.170731,-1.20471,0.946627,-1.20755,-1.32719,-1.39977,-0.914559,-0.12987,0.248628,-0.143632,-1.68276,-0.486214,-1.64878,0.239143,0.756908,-0.708934,0.97174,0.57544,0.704952,0.260024,-0.461837,-0.00971869,-1.11271,0.38997,0.8851,0.819872,0.525011,-1.24223,0.339467,0.151857,-0.581971,0.271402,-3.06986,-0.67694,-2.12765,-0.716939,-0.571182,6.95203,0.230849,-2.0759,3.32376,-0.440801,0.524563,-0.210361,0.0456941,2.4259,-1.74819,0.866452,-0.130545,-1.12349,1.71987,-0.434339,-0.358714,-0.0727882,0.809562,0.0805007,0.762268,-0.988566,-0.585141,-0.267165,1.07729,0.767573,-0.463669,0.876221,0.578096,-0.711663,-2.40069,0.848606,1.19426,-0.927832,-1.16231,-1.72165,-1.14892,-0.746511,-1.02654,2.13977,-0.664494,0.111573,0.00250973,0.547048,0.163271,1.13509,1.08595,-1.75267,0.37326,-0.796719,0.456827,-0.156029,-0.357177,0.945557,0.686525,0.61385,2.2306,1.53406,2.82337,-0.0864622,-3.19019,0.914394,-0.687989,-0.255086,-0.413953,-0.801419,-0.941058,0.244646,-1.08859,0.2027,-0.492449,1.59236,0.531445,0.0703221,-0.985663,0.142709,-0.507245,0.93905,0.176579,-1.20014,0.954708,-1.20072,-1.31877,-1.38314,-0.909991,-0.13408,0.240796,-0.138987,-1.67506,-0.482416,-1.64433,0.238607,0.734221,-0.708934,0.972963,0.690563,0.569992,-0.162289,-0.0887932,0.121486,-0.756952,0.23494,0.890624,1.04128,0.52772,-1.35856,0.339467,0.0617071,-0.403368,0.271402,-1.13088,-0.92687,-0.998514,-0.736708
-130.5,0.997355,0.0671624,6,63,0,157.37,1.00449,0.593487,-0.154342,-0.0170738,0.192258,0.674472,0.204098,0.222667,0.763599,0.677539,0.0384385,1.05099,-0.187616,0.458987,-1.29949,-0.48427,-0.192275,0.742438,-0.124511,0.523923,-0.931956,-0.196524,1.15924,-0.880543,1.21232,1.4419,1.37212,1.06992,-0.0141363,-0.0141887,0.203786,1.67889,0.478148,1.32493,-0.173251,-0.748212,0.768756,-0.975051,-0.920315,0.570333,0.593198,-0.32453,-0.335212,-0.432308,1.12535,-0.745953,-1.50586,0.0343986,1.44552,-0.456515,-0.122907,-0.665281,-0.358444,-2.24344,0.601202,1.27414,-0.400218,-0.353801,0.360345,-0.149526,2.1026,1.71173,0.485877,-1.11828,-1.6256,0.403204,1.94135,-1.31887,-0.367285,0.157341,-0.578284,-2.17638,-0.371447,0.757071,1.06739,-0.672135,-0.0528106,1.07479,-0.793655,-0.309191,-0.549298,0.369175,1.33568,0.30244,1.08215,0.995726,-1.79954,-0.437586,0.0170496,0.208395,-1.98047,-1.21299,-0.0410879,0.164111,0.214035,-0.20393,0.436782,-0.407477,1.14135,0.73005,-1.11178,1.03379,0.97718,-0.786218,0.863999,-0.100859,-0.261072,1.04677,-2.33508,-1.70729,1.67264,-0.362979,-0.329338,2.26894,2.47885,1.63288,-1.12238,-0.448727,0.464587,0.65705,0.2484,0.252738,0.789667,0.739381,0.0881465,1.01545,-0.134306,0.468614,-1.36207,-0.441813,-0.154011,0.744725,-0.132233,0.486977,-0.913005,-0.2016,1.16271,-0.873916,1.23255,1.46124,1.40724,1.02757,-0.010045,-0.0750876,0.207132,1.7183,0.496136,1.32689,-0.200167,-0.816425,0.768756,-2.03834,-1.0436,1.12451,1.07176,1.8205,-0.433604,1.13806,2.16827,-2.2625,-1.32467,-0.543916,1.68727,-0.456515,1.19767,3.56908,-0.358444,-0.661056,3.5941,-0.403722,0.102846
-135.053,0.795357,0.0671624,6,63,0,157.44,0.135568,0.694714,0.119734,-0.395267,-0.0289205,-0.755122,0.0370179,-0.481823,-0.502324,-1.47979,-0.0942721,-0.147098,0.616563,-1.26607,1.09899,0.0195668,-0.781614,1.06656,0.83505,0.180664,1.12515,-0.0973649,-0.802202,0.264909,0.0828739,-0.884151,-0.817641,-0.545698,1.00171,-1.50924,0.752789,-1.42388,1.39569,-1.69026,0.784108,0.641026,-0.760413,0.438722,0.345185,0.549612,0.368981,-1.84445,0.390173,-0.518383,-1.06839,0.097877,0.810745,0.147984,-1.4345,-0.0425386,2.61072,-0.775805,-0.171163,-0.473278,-0.423434,-0.5054,-0.692839,-0.760032,-2.51329,0.513659,-1.76681,-1.8563,0.0616998,0.563303,0.000522034,0.295671,0.0877505,0.280407,1.02378,0.836269,-0.472093,-1.89969,-0.380433,-0.624525,1.02544,0.502732,0.869636,-0.605044,-0.232468,0.875043,-0.788795,1.91714,1.29164,1.47674,0.964926,0.483054,-1.54739,0.872034,1.17451,1.90196,0.190505,0.483324,-1.46391,0.273289,-0.998764,-0.705773,-0.0195296,0.212312,-1.09808,0.124413,0.411517,-1.13617,-1.35878,-0.865621,-0.157808,0.234269,-0.756203,0.0924285,-0.872941,-0.632977,-1.09837,-0.953119,0.292669,3.18002,5.48138,1.72349,0.840907,-4.30983,-1.56723,-0.719903,0.173976,-0.39538,-0.611762,-1.29041,0.10798,-0.2309,0.89799,-1.22998,0.689876,0.156392,-0.668139,1.02494,0.877663,0.282976,1.17038,0.0703553,-0.759375,0.384569,0.212964,-0.785279,-0.583722,-0.41358,0.998193,-1.54386,0.811317,-1.34352,1.47324,-1.65281,0.887668,0.333372,-0.760413,0.593005,0.622646,0.34602,0.247899,-1.39491,0.685081,0.0233192,-0.980129,0.228374,1.06669,0.142624,-1.50902,-0.0425386,3.50211,-0.0198718,-0.171163,-1.47117,-1.10112,1.34398,-0.467953
-140.828,0.989023,0.0671624,6,63,0,164.183,0.997909,0.471952,-0.275489,-0.394488,0.368584,0.431861,-0.0665409,0.295619,0.452121,1.25059,0.0151371,1.41286,-1.41915,0.205213,0.254477,-0.71433,-0.291486,0.514521,-0.179032,-0.649501,-0.23987,-0.191999,0.251492,-0.17174,0.245291,0.726873,0.473535,0.38288,-0.679892,2.20661,-0.4027,0.801182,-1.74912,1.76682,-0.386034,-0.132512,0.48118,-0.817986,0.0767378,0.410478,0.388698,1.28105,0.439757,-0.0569306,2.70386,0.835443,-1.1601,-0.0658617,2.84018,-0.353389,-0.681386,-0.430093,0.275101,-0.196789,-0.169561,0.858265,-0.890678,-0.501899,3.52771,0.953712,1.90612,4.09296,-1.18363,0.600843,-0.0936304,-1.15918,-0.0705339,0.523182,1.02036,-0.474069,-2.22073,0.379704,-0.534181,-1.38845,0.154371,0.821518,-0.984195,0.00374651,-0.228913,-1.37479,0.565953,1.15292,0.0559468,-0.731576,-0.964377,1.24313,-0.928369,0.936455,-1.15458,0.0256613,0.0751039,0.691749,0.104652,-0.851772,-0.355083,0.956166,1.03276,1.14702,-0.814963,1.43031,0.155887,-0.157481,0.378894,0.282001,-1.50181,1.99954,-1.34676,0.522695,1.18918,0.148622,0.450158,0.249294,-0.310776,-2.56076,6.83671,5.49381,-0.444107,-2.46145,3.15368,0.549362,0.0570434,0.364762,0.58752,1.51338,0.191026,1.44132,-1.18458,0.277708,-0.280028,-0.612801,-0.166307,0.496485,-0.145304,-0.56351,-0.211388,-0.10851,0.316376,-0.0747971,0.350048,0.856043,0.709028,0.513711,-0.599077,2.29556,-0.34358,0.929007,-1.69089,1.84722,-0.440098,-0.210921,0.48118,-0.876626,0.38751,0.667087,0.131389,1.84772,0.699996,0.399087,2.84595,1.01149,-0.880065,0.0725421,2.88198,-0.353389,0.324088,5.02852,0.275101,0.232239,1.05159,-1.67376,0.373702
