# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1985537789
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_null_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled.1,p_gamma.1,p_aux_unscaled.1,g_gamma.1,g_aux_unscaled.1
-87.6775,0.999031,0.186078,4,15,0,88.7824,0.338659,-1.3673,3.98204,3.0406,0.325527,-4.26359
-87.6761,1,0.186078,3,7,0,87.7079,0.348959,-1.36603,-0.749791,-0.452788,0.444744,-4.2492
-87.1447,0.988547,0.186078,5,31,0,91.6607,0.140252,-0.700622,-11.2679,1.11939,-3.55445,1.94597
-87.4243,0.994527,0.186078,3,15,0,89.0247,0.241762,-0.497901,-4.30816,-3.99794,-1.6515,3.4628
-87.0783,0.994457,0.186078,3,15,0,89.0302,0.233051,-0.619357,0.510488,5.71363,-1.70484,2.46874
-87.4869,0.998785,0.186078,4,15,0,87.5757,0.315873,-1.32141,-1.59217,-0.0538668,0.0600888,-3.85062
-87.3494,0.999994,0.186078,4,15,0,87.5468,0.359918,-1.27982,-1.00245,-1.65132,0.609026,-3.46244
-87.2413,1,0.186078,3,7,0,87.356,0.368064,-1.24546,-0.182417,-1.38157,0.727683,-3.14532
-87.473,0.99938,0.186078,4,15,0,87.9269,0.0176686,-0.870092,-1.12453,-2.62375,-5.54796,0.827243
-87.3243,1,0.186078,2,3,0,87.4731,0.0439545,-0.88495,1.97357,-0.460115,-4.96886,0.592492
-87.1278,0.99934,0.186078,4,15,0,88.1935,0.485178,-1.13175,3.34134,3.36809,2.35024,-1.96124
-87.2761,0.99845,0.186078,4,15,0,87.773,0.545802,-0.745879,3.40891,-1.23219,4.22701,1.71047
-87.568,0.995432,0.186078,4,15,0,88.5057,0.430448,-0.484981,-4.81242,-1.46398,2.65593,3.631
-87.2803,0.999901,0.186078,4,15,0,87.8531,0.261241,-0.533123,3.28099,1.81563,-1.16542,3.15683
-88.4183,0.993107,0.186078,4,15,0,88.7263,0.59711,-0.459516,-1.72392,1.85167,6.31494,4.37547
-88.1663,0.999693,0.186078,3,7,0,88.612,0.617333,-0.553685,-1.31478,-2.54406,6.27938,3.6771
-86.881,0.994295,0.186078,3,15,0,89.9419,0.469465,-0.945371,4.79688,6.15692,2.48988,-0.283084
-87.3804,0.996214,0.186078,3,15,0,87.933,0.0667956,-0.742829,-3.77799,0.946479,-4.99995,1.79454
-87.2379,1,0.186078,4,31,0,87.8589,0.0585765,-0.937867,-1.13551,3.11089,-4.50507,0.0566011
-86.7472,0.994768,0.186078,3,15,0,88.3835,0.40692,-0.899916,6.81294,0.460348,1.58134,0.0290876
-87.6583,0.991838,0.186078,3,15,0,88.2404,0.659137,-1.07858,3.37277,-1.75943,4.6517,-0.962632
-87.2444,0.99736,0.186078,4,15,0,88.5034,0.463961,-1.20214,5.77705,1.24017,1.96242,-2.64628
-87.7023,0.997776,0.186078,4,15,0,88.0458,0.254338,-1.36972,2.78561,-1.10027,-0.677352,-4.27008
-87.867,0.998239,0.186078,4,15,0,89.0717,0.630099,-1.25586,4.6724,2.72224,3.70968,-2.75088
-87.8101,0.999803,0.186078,5,31,0,87.8799,0.616627,-1.25303,1.19193,-0.581677,3.57767,-2.76554
-87.1547,0.98654,0.186078,3,15,0,91.1798,0.509863,-0.734134,-3.78657,7.69462,3.64206,1.70651
-87.196,0.999661,0.186078,2,3,0,87.2072,0.522309,-0.737271,-0.237273,-0.393636,3.85007,1.71426
-87.3091,0.999863,0.186078,4,15,0,87.8235,0.555467,-1.12321,-1.72902,-2.62417,3.25141,-1.72171
-87.3139,0.998093,0.186078,4,15,0,87.9967,0.580017,-0.825189,-4.21501,1.0145,4.51481,1.11223
-87.4203,0.998133,0.186078,3,7,0,87.7195,0.618706,-0.925706,2.44294,1.23265,4.71663,0.327018
-87.3818,1,0.186078,3,7,0,87.4301,0.610952,-0.935151,-1.02107,-0.445985,4.57295,0.209803
-86.8012,0.999995,0.186078,4,15,0,87.4974,0.296286,-1.06554,4.39307,-0.595524,-0.233598,-1.51908
-87.2741,0.997313,0.186078,3,7,0,87.2982,0.220362,-1.24507,0.717285,0.319784,-1.21957,-3.10858
-87.2501,0.998723,0.186078,4,31,0,88.0446,0.251847,-0.546695,4.69472,0.62962,-1.3669,3.05386
