# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=922673813
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_treat_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_b.1,z_b.2,z_b.3,z_b.4,z_b.5,z_b.6,z_b.7,z_b.8,z_b.9,z_b.10,z_b.11,z_b.12,z_b.13,z_b.14,z_b.15,z_b.16,z_b.17,z_b.18,z_b.19,z_b.20,z_b.21,z_b.22,z_b.23,z_b.24,z_b.25,z_b.26,z_b.27,z_b.28,z_b.29,z_b.30,z_b.31,z_b.32,z_b.33,z_b.34,z_b.35,z_b.36,z_b.37,z_b.38,z_b.39,z_b.40,z_b.41,z_b.42,z_b.43,z_b.44,z_b.45,z_b.46,z_b.47,z_b.48,z_b.49,z_b.50,z_b.51,z_b.52,z_b.53,z_b.54,z_b.55,z_b.56,tau.1,tau.2,tau.3,aux_unscaled.1,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_b.1,p_z_b.2,p_z_b.3,p_z_b.4,p_z_b.5,p_z_b.6,p_z_b.7,p_z_b.8,p_z_b.9,p_z_b.10,p_z_b.11,p_z_b.12,p_z_b.13,p_z_b.14,p_z_b.15,p_z_b.16,p_z_b.17,p_z_b.18,p_z_b.19,p_z_b.20,p_z_b.21,p_z_b.22,p_z_b.23,p_z_b.24,p_z_b.25,p_z_b.26,p_z_b.27,p_z_b.28,p_z_b.29,p_z_b.30,p_z_b.31,p_z_b.32,p_z_b.33,p_z_b.34,p_z_b.35,p_z_b.36,p_z_b.37,p_z_b.38,p_z_b.39,p_z_b.40,p_z_b.41,p_z_b.42,p_z_b.43,p_z_b.44,p_z_b.45,p_z_b.46,p_z_b.47,p_z_b.48,p_z_b.49,p_z_b.50,p_z_b.51,p_z_b.52,p_z_b.53,p_z_b.54,p_z_b.55,p_z_b.56,p_tau.1,p_tau.2,p_tau.3,p_aux_unscaled.1,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_b.1,g_z_b.2,g_z_b.3,g_z_b.4,g_z_b.5,g_z_b.6,g_z_b.7,g_z_b.8,g_z_b.9,g_z_b.10,g_z_b.11,g_z_b.12,g_z_b.13,g_z_b.14,g_z_b.15,g_z_b.16,g_z_b.17,g_z_b.18,g_z_b.19,g_z_b.20,g_z_b.21,g_z_b.22,g_z_b.23,g_z_b.24,g_z_b.25,g_z_b.26,g_z_b.27,g_z_b.28,g_z_b.29,g_z_b.30,g_z_b.31,g_z_b.32,g_z_b.33,g_z_b.34,g_z_b.35,g_z_b.36,g_z_b.37,g_z_b.38,g_z_b.39,g_z_b.40,g_z_b.41,g_z_b.42,g_z_b.43,g_z_b.44,g_z_b.45,g_z_b.46,g_z_b.47,g_z_b.48,g_z_b.49,g_z_b.50,g_z_b.51,g_z_b.52,g_z_b.53,g_z_b.54,g_z_b.55,g_z_b.56,g_tau.1,g_tau.2,g_tau.3,g_aux_unscaled.1
-174.19,0.995574,0.0643004,6,63,0,207.521,-0.391691,0.546361,-0.170968,-0.326908,-1.76765,-0.383259,1.00191,-0.933461,-0.0709138,-0.644574,0.901074,0.425872,-1.06927,0.623877,-1.22134,1.04707,2.97158,0.220375,0.489892,-0.567425,2.0279,0.443025,0.359042,0.523934,0.736827,-0.996951,-1.51747,-0.417549,-2.63985,0.544277,0.208607,2.29901,-1.28759,0.192879,0.47301,-0.733413,-0.186684,0.389308,0.302807,-0.418264,0.00145587,2.4058,1.13625,1.04028,-1.41289,-1.44841,-0.627871,0.279721,-1.0099,-0.172532,0.2498,-0.904359,0.798932,-0.150716,-1.37796,-1.72803,0.389965,-1.42215,0.728868,-0.733303,-4.63301,-0.343693,0.592669,2.77876,-3.05176,1.39189,-0.810562,-0.0845916,1.48287,-0.425599,0.270429,-0.321787,-0.10771,-0.0983205,0.849416,1.02709,0.773818,0.717344,-1.261,0.909647,0.788816,-0.465727,-0.0496297,2.97817,-0.357141,-1.32558,1.37367,-0.213379,0.372251,-1.39308,-0.510032,-0.0782997,0.575858,0.0629931,0.783686,-1.74787,-0.707844,-1.79358,-1.32024,-0.151818,0.554861,-1.89481,0.91408,-1.94246,-1.21631,0.22503,0.892013,-1.92096,0.401283,-1.03556,-1.13046,-0.980315,1.14007,1.65,0.0186397,-2.28447,-0.456101,0.890885,-0.358812,1.65366,-0.811949,0.63966,-1.23776,-0.679504,-0.0680352,-2.28409,-11.5671,-14.1228,-14.0673,-2.00089,-1.56464,-0.128787,-0.409753,-0.746868,0.646903,-0.343999,-0.214797,1.5931,-3.04863,0.693557,-1.16548,1.14455,3.62381,1.10803,1.30845,-2.63389,2.08299,-0.0975619,-0.205275,-0.402459,1.17185,-0.978949,-1.47352,-0.483545,-2.62922,0.139622,0.839198,3.0258,-1.27363,-1.72094,0.259073,-0.710845,-0.0561927,0.830005,0.356967,-2.52657,-0.182164,-0.413487,1.13625,1.01187,-1.43465,-1.52481,-0.640807,0.320576,-1.00394,-0.144919,0.208743,-0.964978,0.806553,-0.182844,-1.38909,-1.72803,-1.39264,-14.3964,0.728868,-2.10973,-0.798824,17.4653,19.0389
-165.247,1,0.0643004,6,63,0,202.098,-1.1272,0.893734,0.0341366,0.748881,-0.704879,-1.2289,1.29076,-0.413182,-0.677373,-0.262228,-0.809947,-0.194947,0.799168,0.56074,0.37265,0.810627,0.0525577,-0.133716,0.80812,0.701934,1.01979,0.967648,-0.244382,1.08086,0.908571,-1.33964,-1.10524,1.16228,-1.46561,0.662617,-1.82748,-0.18239,0.440653,0.93893,0.896301,-0.620323,0.568803,-0.655366,0.169854,0.526931,-0.330729,0.921908,-0.124261,-0.85343,0.921682,0.693543,0.492939,-1.19196,-0.834071,1.01401,-1.13302,0.592839,0.446489,-0.273626,0.0882501,1.54255,2.65864,1.29533,2.13861,0.155536,-0.444846,-1.16879,-0.208475,1.61253,0.839289,-0.815417,-0.505568,-1.50201,-0.291111,1.27723,-0.79096,0.613072,-0.269695,0.565612,1.39351,-1.67063,0.77722,-1.00628,1.25043,1.83902,0.720493,0.992644,-1.03528,1.08226,0.673111,0.535081,-0.224913,1.43787,-1.04755,-1.32131,-0.0908494,-2.56371,0.304985,0.371415,2.03877,-1.20622,-0.00276591,0.683761,-0.718645,0.194691,0.437465,0.427955,-1.66665,-0.138346,1.94794,1.11909,1.06437,-1.34329,-1.31676,-1.11028,0.561824,-1.27331,0.433057,-0.0365855,-1.40663,1.00982,-0.176435,-1.3306,-1.52264,-2.56841,0.116055,0.674113,-2.07658,-1.1094,-0.391066,3.05018,-6.26929,3.08819,4.54293,1.39901,-0.280353,-1.17618,1.87042,-0.221522,-0.0645219,0.120339,-1.89478,0.797541,0.73313,0.673734,0.728522,1.00692,-3.35187,0.356001,1.31574,0.418437,-1.6686,1.22665,-0.264492,-0.064647,1.55131,-1.32382,-0.85508,1.75196,-1.217,0.239637,-2.3625,-2.70831,0.58117,1.24728,1.35228,-0.589646,0.96043,-0.620471,0.28323,-1.03535,-0.894442,0.419136,-0.124261,-1.80403,1.43188,0.997538,-0.47968,-0.935692,-2.20483,2.22568,-3.11113,0.596651,0.76949,-0.664692,-0.0257024,1.54255,0.279772,2.13816,2.13861,-0.699756,5.20498,-5.92206,1.08525
-169.702,0.996608,0.0643004,6,63,0,201.107,-0.275375,0.898268,-0.0649351,-1.30547,0.770377,0.398767,-0.217471,0.678993,-1.09429,1.78847,1.12151,-0.924538,2.2486,0.977075,-0.384141,-0.100573,3.35768,0.141423,-0.436773,0.141405,1.36341,0.881377,1.06862,0.108259,-1.25603,-0.0762125,-0.590726,0.557825,-1.53269,0.430661,1.04817,1.92699,-0.468174,-0.513682,-0.0455619,1.24392,1.21761,-1.14136,-0.326995,1.88379,-1.39513,0.418223,-0.455091,0.318341,1.19665,1.63629,0.931105,-0.757342,-0.789323,-1.47069,0.398035,1.19148,-0.274611,-1.44821,-1.56741,-0.542767,0.0746448,-0.663845,-0.549214,-0.204298,-3.11093,0.730915,-0.434201,2.09412,-2.73051,4.48775,0.177978,0.0927936,1.1481,-1.22867,-0.000281286,0.399014,-0.786697,0.972614,-0.236952,-1.63609,-0.973726,-0.696367,-0.934651,0.913755,-0.240017,-1.15613,-0.660627,-0.502626,-1.49931,0.122804,-0.589962,-0.760829,1.33222,1.01799,-1.65985,1.63701,-0.523266,1.53011,0.882193,-0.435857,-0.482668,-1.18987,0.133088,-1.31562,0.945259,-0.159112,-0.298461,1.15069,0.0326939,0.241055,1.05001,-1.13211,-1.06136,-0.444772,1.3215,1.02193,-0.902653,1.39398,-0.611982,-0.479261,0.529112,0.278975,-1.39189,-1.29226,-3.18598,-2.18678,-0.545879,-0.132637,2.21854,1.98629,-5.35482,-1.37738,-9.4608,-1.96223,1.03972,0.492763,-0.864014,0.829818,-0.786205,2.18402,0.959851,-0.584087,2.35435,1.02782,-0.227401,-0.067678,2.94945,0.39928,-0.21571,-0.138605,0.793935,0.884109,1.10682,-0.435639,-1.4282,-0.0436829,-0.444827,0.683752,-1.43475,0.276946,1.44662,1.87045,-0.441669,-1.25278,-0.195003,1.30353,1.44453,-1.095,-0.298609,1.61321,-1.70458,-0.881496,-0.455091,0.287719,1.1809,1.54976,0.885525,-0.717825,-0.785579,-1.43892,0.347295,1.18007,-0.259348,-1.45413,-1.56446,-0.542767,-4.39529,-3.33917,-0.549214,-0.672822,-1.2817,2.51932,-1.61171
-164.153,0.986258,0.0643004,6,63,0,214.561,-0.723697,1.15065,0.0205211,0.30983,-0.0668659,1.90129,1.23711,-2.32213,-1.36673,0.0473208,1.33983,0.104305,0.992899,1.00172,-0.219331,-0.672702,2.42549,-0.173501,-1.75306,0.594672,-0.192139,-0.818397,0.566233,-0.713564,-1.75952,-0.533309,0.068382,0.986393,-0.383993,0.200261,0.603043,1.27208,0.115022,0.0572751,-0.625076,0.232113,-0.54759,-1.92176,-0.197655,1.96011,0.543036,2.54551,-0.404969,-0.669665,1.05146,1.04632,0.705333,-1.85011,-0.670229,-0.0437266,-0.904014,1.42613,1.18781,-0.280212,-0.398797,-0.624627,0.664387,-0.217078,-0.4939,-0.112066,-2.7279,0.755908,-0.280712,3.52262,-0.685498,-1.07525,-2.30949,1.18829,-1.26567,-1.34042,2.8877,-0.00268691,2.5643,0.286746,-1.05461,2.23004,0.436313,-0.249365,0.482998,2.24479,0.572594,1.20499,-0.305649,1.98573,2.02321,1.18084,0.896322,-0.0379253,0.359189,-0.85049,-0.0431606,-1.78858,0.453758,1.13027,1.732,-0.735999,-0.950772,0.727232,1.38981,2.28607,0.15885,-0.241034,0.675204,-2.63643,-1.50552,-0.246343,1.36722,0.691301,1.27503,0.674562,0.684727,-0.490073,-1.97905,1.8428,0.161118,-1.612,-1.81596,-1.71143,-0.175547,0.137429,1.53936,-0.299338,-0.739946,-0.756983,0.830848,-2.08904,4.14636,6.93331,4.34435,0.679317,0.355447,2.15291,1.27828,-2.28798,-0.873396,0.42419,1.3451,0.8034,1.19829,1.05653,0.0234821,-0.65201,1.80389,0.238173,-1.46121,0.837998,-1.32832,-1.0375,0.642581,-1.44051,-1.8927,-0.512801,0.349026,1.38128,-0.136514,0.307985,1.2794,1.4685,0.148892,-0.448594,-0.670479,0.265586,-0.332704,-1.89113,-0.16988,1.84892,0.489157,2.47173,-0.404969,-0.687456,1.1086,1.0932,0.658562,-1.7749,-0.610879,0.0456113,-0.993116,1.42316,1.21785,-0.291838,-0.378111,-0.624627,2.54293,4.75932,-0.4939,-0.3306,-0.922407,1.29736,-2.13846
-165.765,0.994485,0.0643004,6,63,0,192.686,-0.194283,0.335503,0.289028,0.641417,-0.789699,-2.4852,-0.145034,1.88583,0.159206,-1.71681,-0.960535,-0.96754,0.0371582,-1.27918,-0.850694,0.317223,0.0577499,-0.876741,0.973697,-0.101448,1.88984,1.72717,-0.441544,1.03626,1.11474,0.504946,-0.720073,-0.863335,-0.230151,-0.829145,-1.32299,0.619248,-0.227466,1.24246,0.698482,-0.388068,0.183261,1.63632,0.259138,-0.986063,-0.836699,-0.213058,0.406809,0.640865,-1.09632,-0.746963,-0.907995,1.45803,1.00375,-0.16068,1.13587,-1.22338,-1.31474,0.376651,0.420218,0.775296,1.3855,-0.694476,0.561569,-1.46067,-2.26514,-0.574815,0.0257375,1.34181,-3.16124,3.06629,-0.149295,0.223416,-0.668124,-0.529956,-0.135184,-0.164786,-1.08711,-0.398304,1.55379,0.736244,-0.551707,-2.47868,-1.40647,0.0751995,0.135157,0.092825,-0.333839,-0.942696,2.33018,0.447513,-1.96442,-1.41557,0.626388,0.169796,1.06351,-1.07338,-2.34421,0.79311,0.191003,0.764083,-1.14783,-0.495703,0.00926278,1.64686,-0.00325398,1.31502,-0.283651,-0.575561,-0.283102,0.0347279,0.422526,-1.15264,1.1565,1.3969,-1.24716,-0.782698,-1.07901,-0.354632,-0.461427,-0.162216,0.182485,0.313853,1.05087,0.458385,-0.713385,-0.45572,0.670243,0.16837,1.38938,-2.14813,-0.0166636,-3.52082,6.23686,0.778239,-0.60769,-2.41424,-0.272492,2.07554,0.491223,-1.56591,-1.20923,-0.748984,-0.171722,-1.24104,-0.767771,0.362604,-0.595516,-0.735716,1.18113,-0.104498,1.46499,1.71425,-0.532149,0.825478,1.34703,0.560009,-0.649245,-0.737999,-0.110028,-0.79853,-1.16135,0.628759,-0.187014,1.20705,0.682798,-0.341545,0.280155,1.77804,0.303654,-1.37671,-0.79341,-0.802031,0.406809,0.628054,-0.88351,-0.954282,-1.0176,1.77046,1.06908,0.0386995,0.958865,-1.37456,-1.2237,0.276683,0.298656,0.775296,1.77435,-1.075,0.561569,-1.35816,-0.618799,0.365835,2.52264
-168.31,0.99493,0.0643004,6,63,0,197.221,0.564173,0.871156,-0.262127,-0.937502,0.597291,2.37741,0.116668,-1.99793,-0.4737,1.5188,1.18078,0.623169,0.222756,1.2226,0.868914,-0.401181,0.563923,0.522858,-1.11513,0.0821963,-1.07598,-1.74506,1.14825,-0.572044,-1.25997,-0.671763,0.443022,0.715646,-0.0319093,0.858389,1.06541,-0.774208,0.147877,-1.37503,-0.870904,0.257192,-0.296731,-1.71293,-0.297618,0.816707,0.87234,1.07631,-0.460332,-0.355629,0.541229,1.05186,1.04404,-1.90448,-0.490041,-0.158954,-1.30128,1.48021,1.00452,-0.133827,-0.29369,-0.921956,0.0296444,-0.694588,-0.556997,-1.77841,0.453907,0.890965,-1.12332,1.04245,-4.77343,3.27798,-0.742817,-0.129457,-0.443693,0.572061,-1.12294,0.244279,-0.390942,0.187605,0.554379,0.0424645,-0.161843,0.823522,0.587647,-1.6238,-0.904676,0.919597,-0.744887,1.78848,0.0206665,1.61603,0.620943,1.50184,0.67384,-1.36872,0.283941,-0.824402,0.748377,-1.25062,-0.228197,-1.00309,-1.06359,-0.588146,0.365685,-0.0100839,-0.654802,-0.298751,-2.06612,0.917599,-0.643586,1.24719,1.09388,-2.28234,-1.84308,-0.544197,-0.850269,1.78177,1.78638,-1.74926,0.0519552,-0.678128,1.83215,0.80182,1.01226,0.0848889,0.783424,0.075623,-0.567365,-0.413358,0.644263,-2.49562,3.62867,0.0537623,-2.75999,-0.928466,0.613822,2.39079,0.124099,-1.97532,-0.446409,1.54747,1.18375,0.655443,0.232743,1.23086,0.883272,-0.389702,0.518832,0.539998,-1.10239,0.0687567,-1.14064,-1.73696,1.16213,-0.599179,-1.24641,-0.664457,0.459611,0.724083,-0.0169273,0.849069,1.08702,-0.801763,0.158457,-1.37072,-0.850906,0.26472,-0.282557,-1.70678,-0.287144,0.808925,0.874448,1.0517,-0.460332,-0.365969,0.977816,1.17053,0.969417,-1.47164,-0.642835,0.364963,-2.09323,2.09218,1.45198,0.0463456,-0.203902,-0.921956,-0.642668,2.78248,-0.556997,-0.754072,2.36399,-0.99758,-4.60895
-167.284,0.998591,0.0643004,6,63,0,196.938,-0.108507,0.604583,-0.340682,-0.0309313,-0.20756,1.14525,-0.0125637,-1.0191,-0.00864069,0.283546,-0.591554,0.0122507,1.65575,-0.920557,-0.373083,2.05937,2.06263,0.144547,-2.7378,1.42833,-1.02804,-0.591543,-0.183462,0.63192,0.411994,-0.151331,0.753165,0.457428,-0.778253,-0.079913,1.01521,-0.983928,1.02384,0.612948,-0.816484,0.15439,0.682244,0.160356,-0.773692,0.434507,0.527351,-0.780946,0.705139,0.233613,1.25393,1.4186,-0.339691,1.35583,-0.249727,0.311487,-1.20754,0.554158,-1.63491,-0.977827,-0.899695,0.228741,0.604694,-0.325729,0.520638,0.127208,-1.8409,-0.66727,-0.902642,-0.0657706,1.70447,6.74235,1.18307,-0.677091,-2.33858,-0.0259772,1.75982,0.408324,-1.63764,-1.37389,-0.761415,0.0458638,-1.38926,-1.09725,0.664632,0.0353444,-0.636268,0.560322,0.248702,1.38114,1.68778,-1.54414,1.02445,1.4308,0.593699,-0.368064,-0.661749,-0.212583,-0.798941,-1.03137,0.978289,-0.0238328,1.72293,0.753735,-0.283098,0.353814,1.64069,0.161933,-0.759179,-0.861196,-0.62531,0.559261,0.515777,-0.341067,-0.731545,-1.29886,1.99904,0.69272,0.0867073,1.35606,-1.79987,-1.59127,-0.123713,0.124822,0.913817,1.23511,0.00129378,0.725128,0.130653,-1.05032,-0.779617,0.700272,-3.71421,-6.89292,-11.9321,-0.319738,-0.0784042,1.27293,-0.240344,-0.865094,0.246788,0.544003,-0.674269,0.322442,1.6831,-0.851281,-0.228886,2.19375,1.8266,0.302646,-2.66112,1.41713,-2.14046,-0.562244,-0.12257,0.427193,0.461889,-0.0624327,0.911345,0.475497,-0.669125,-0.393121,1.28085,-1.95537,1.13225,0.456498,-0.947617,0.249857,0.840298,0.268241,-0.703308,0.246936,0.613762,-1.8134,0.705139,0.222907,1.25982,1.27841,-0.370059,1.43146,-0.394765,0.379344,-1.36687,0.565274,-1.57858,-0.975611,-0.87097,0.228741,-0.554029,0.0638149,0.520638,3.01264,-0.786655,-1.31445,1.70329
-169.94,0.999466,0.0643004,6,63,0,195.094,-0.0165795,1.11194,0.0635532,0.126884,-1.04574,0.0293126,0.373237,0.871092,-0.627694,-0.346361,-0.345229,1.13381,-0.585204,1.25336,2.13928,-2.00055,-0.0972765,-0.776962,1.24808,-1.38229,0.896717,-0.10051,-0.664995,0.64974,-0.0943772,1.6518,-1.58094,-1.25262,0.163033,1.32125,0.181106,0.554793,-2.32345,0.151252,-1.07769,-0.37636,-0.0213323,-0.729396,1.29929,1.56767,-1.56178,0.580687,-0.582541,1.15362,-1.69052,-0.807656,0.154219,-1.26873,0.991486,0.834331,-0.619971,0.827349,1.27702,-0.696678,1.17807,0.36786,-0.268893,-1.14743,-0.0690816,-1.59691,-0.698631,0.202378,-0.559702,0.678513,-4.54092,1.53969,0.001702,0.862327,-1.38193,-0.212377,0.566815,0.146707,-0.241543,0.882993,-0.969452,-1.57295,0.254097,-0.721485,-1.21552,-1.87823,0.0482629,2.43799,-0.887156,1.08847,0.7116,0.380092,-0.875951,-0.524207,-0.988205,-0.17053,0.14898,0.754888,-0.55773,-1.40852,1.11097,0.143482,-0.772293,1.33713,0.0523994,-0.867367,0.278911,0.00787677,-0.930581,0.221255,0.747188,-0.458247,-0.594771,-0.67706,-1.02479,0.821151,-1.14439,-0.0053802,-1.1755,2.08538,-0.775097,1.10717,1.48974,0.238681,-0.533328,2.10092,-1.47051,-0.572031,0.494683,0.65526,0.668377,0.912157,-6.18475,5.38277,1.81809,0.0825664,-0.997555,0.0384858,0.29651,0.887884,-0.535782,-0.289495,-0.403728,1.2358,-0.628205,1.25956,2.18252,-1.99401,-0.489392,-0.726938,1.29797,-1.41968,0.630374,-0.109295,-0.65826,0.522968,-0.0304589,1.66205,-1.5361,-1.22158,0.200415,1.3274,0.229834,0.51143,-2.31637,0.0954424,-1.08871,-0.36798,0.0180443,-0.721819,1.30949,1.46147,-1.59934,0.370738,-0.582541,1.00501,-1.68909,-1.37071,-0.651814,-0.916106,1.09638,1.27269,-1.49232,0.570044,1.45285,-0.846644,1.14574,0.36786,-4.88813,-0.852848,-0.0690816,-1.24688,0.295073,1.12838,0.8869
-172.291,0.994905,0.0643004,6,63,0,203.98,1.01072,0.737132,-0.140208,2.27075,1.2072,-1.47341,0.556946,0.308712,-1.49745,-0.410624,-1.25474,-0.632568,0.557653,-2.04409,1.63016,-0.245076,0.0364151,0.301814,-0.643093,0.356203,0.832216,0.0628885,-0.999715,-0.221285,-1.12726,-0.265759,-0.947186,-1.14921,-0.973726,0.210574,-0.377132,1.18909,0.52003,0.254038,0.602493,1.65771,0.448808,-0.926621,1.17718,1.29567,-0.847888,-0.979443,0.655977,1.63101,-1.20039,2.0946,0.71953,-0.481258,1.37647,0.464486,1.3163,2.15279,-1.41595,-1.00035,0.0915598,1.47775,-0.344584,-1.66001,-0.814002,-3.23866,-2.33371,0.0858862,-0.0916683,-0.340773,7.52074,1.36952,-0.212496,-0.984193,0.176761,0.34517,0.866356,-0.41548,-0.303776,-0.268948,1.14227,-0.612666,1.26034,2.10193,-1.98873,-0.228084,-0.925739,1.36509,-1.43887,0.807739,-0.109734,-0.504994,0.78682,0.0351122,1.60219,-1.55204,-1.19544,0.299631,1.37672,0.255011,0.334503,-2.37243,0.103931,-1.36934,-0.295774,-0.025048,-0.716113,1.28389,1.47701,-1.55672,0.366207,-0.583743,0.95557,-1.56859,-1.09266,-0.198458,-1.05831,0.841003,1.01851,-1.13752,0.209086,1.55857,-0.685667,1.12725,0.400546,1.83667,-1.46897,0.0147516,0.0197286,-0.174584,1.47263,0.335122,3.47256,1.73236,-5.22467,2.27448,1.23301,-1.45919,0.534296,0.327093,-1.45829,-0.378728,-1.27396,-0.588396,0.562233,-2.0397,1.64905,-0.239211,-0.0486015,0.328625,-0.619008,0.358381,0.793053,0.062283,-0.996237,-0.23163,-1.10117,-0.260116,-0.930998,-1.13365,-0.960223,0.211534,-0.344412,1.17195,0.524633,0.224366,0.621574,1.66368,0.467361,-0.91405,1.18188,1.27686,-0.835967,-1.07404,0.655977,1.67554,-1.10172,1.90372,0.582543,-0.273566,1.41527,0.65535,1.28885,2.21924,-1.34134,-1.0385,0.0562403,1.47775,2.64764,-1.36048,-0.814002,-1.07835,-1.36896,-1.43861,-1.08292
-165.686,0.997456,0.0643004,6,63,0,207.352,0.480637,0.620552,-0.0418846,-0.98564,0.0154746,-0.0980896,-0.764033,-0.628194,-0.785749,-0.436211,1.31151,0.781063,-0.98879,0.478342,-0.874026,1.44563,-1.04714,0.859228,0.668549,-0.381669,0.800349,-0.630333,-0.716952,-0.648553,-1.07137,0.225741,2.43547,0.641243,-0.157881,0.257187,2.41038,1.29454,-0.502896,-0.268799,1.16622,-0.0664118,0.487389,0.547768,0.867075,-2.26436,1.22094,0.481625,-0.618558,-0.513496,0.0725057,-0.306362,0.463058,-1.41316,-0.332508,-2.26922,-0.233959,-1.81407,-0.0033602,-0.110283,0.51759,1.11887,-0.0494409,-1.60997,-1.04884,-1.62235,-0.897286,0.0133616,-0.768745,-1.90913,-2.72113,1.61484,-2.07032,-1.58069,1.49483,-0.369746,-0.183057,1.59166,0.291897,1.18253,0.00306183,-0.0446251,1.95328,-1.72901,-0.359112,1.28029,-0.714762,0.322005,-0.248069,-0.711291,0.216738,1.24382,0.664312,1.48153,0.101965,0.18869,1.02793,1.00626,-0.350631,-0.5945,-1.57956,-0.422816,0.0265349,-0.981613,-1.83746,-0.868674,0.686898,-1.6837,-0.875057,0.401271,1.22664,-0.455059,-1.83096,1.62982,-2.5589,0.392498,0.0717972,-2.45905,-0.40428,-0.784135,-2.52216,1.01043,1.84418,-0.0604586,-2.0649,2.12028,-0.00656205,1.18494,-1.00152,0.544644,1.8351,-3.54364,-0.188984,-0.594145,-1.67688,-0.983555,0.0506979,-0.075504,-0.799184,-0.593423,-0.725818,-0.382154,1.2982,0.84298,-1.03289,0.494222,-0.843944,1.45927,-1.20735,0.896205,0.702834,-0.385718,0.690924,-0.625644,-0.721809,-0.70192,-1.04557,0.240647,2.46836,0.654363,-0.127636,0.246521,2.46432,1.2623,-0.487702,-0.290174,1.16362,-0.0517637,0.518532,0.568764,0.883513,-2.35774,1.23497,0.352541,-0.618558,-0.5632,0.238289,-0.526115,0.264267,-1.13862,-0.32823,-2.06,-0.469393,-1.97866,0.164615,-0.0952999,0.498822,1.11887,-1.03239,-0.751942,-1.04884,-0.278451,-1.10195,-1.31935,-4.56506
